,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,12361,15828.0,14766.2,11472.0,10663.0,,15474.9,10335.0,13804.0,,17414.0,13938.0,19440.1,14551.9,10210.6,10320.3,8828.5,13335.9,,,4792.3,12542.3,16297.7,7873.9,13841.0,3467.0,2405.2,-889.0,-1698.0,,3113.9,-2026.0,1443.0,,5053.0,1577.0,7079.1,2190.9,-2150.4,-2040.7,-3532.5,974.9,,,-7568.7,181.3,3936.7,-4487.1,1480.0,True,True,True,,True,True,True,,False,True,False,True,True,True,False,True,,,False,True,False,False,True
Alaska,1101,990.0,1002.1,997.0,712.0,,1126.7,873.0,999.1,,,,1005.5,1605.0,1534.0,758.6,1155.7,1079.1,,,861.9,831.7,874.7,1485.8,972.0,-111.0,-98.9,-104.0,-389.0,,25.7,-228.0,-101.9,,,,-95.5,504.0,433.0,-342.4,54.7,-21.9,,,-239.1,-269.3,-226.3,384.8,-129.0,True,True,False,,True,False,True,,,,True,False,False,False,True,True,,,False,False,False,False,False
Arizona,8034,8460.0,8613.3,7023.0,10065.0,,6780.4,5327.0,6206.5,,9523.0,8063.0,7592.9,9357.0,5068.5,2676.5,6933.9,6942.7,,,1914.8,9311.2,13120.1,6870.8,8799.0,426.0,579.3,-1011.0,2031.0,,-1253.6,-2707.0,-1827.5,,1489.0,29.0,-441.1,1323.0,-2965.5,-5357.5,-1100.1,-1091.3,,,-6119.2,1277.2,5086.1,-1163.2,765.0,False,False,False,,False,False,False,,False,True,False,False,False,False,False,False,,,False,False,False,False,False
Arkansas,10470,8624.0,8684.9,8678.0,10675.0,,8164.7,9915.0,8277.2,,9085.0,8857.0,9086.2,17236.5,5757.7,5797.8,8834.8,8723.6,,,7446.7,8006.6,7909.8,9913.6,8561.0,-1846.0,-1785.1,-1792.0,205.0,,-2305.3,-555.0,-2192.8,,-1385.0,-1613.0,-1383.8,6766.5,-4712.3,-4672.2,-1635.2,-1746.4,,,-3023.3,-2463.4,-2560.2,-556.4,-1909.0,True,True,True,,False,True,False,,True,True,True,False,False,False,True,True,,,False,False,False,True,False
California,47999,66552.0,65804.6,60400.0,72370.0,,50619.3,65987.0,66465.1,,71154.0,116516.0,52186.5,56422.6,62025.0,62243.2,45772.3,55090.1,,,33470.4,58481.5,71564.5,50314.1,51506.0,18553.0,17805.6,12401.0,24371.0,,2620.3,17988.0,18466.1,,23155.0,68517.0,4187.5,8423.6,14026.0,14244.2,-2226.7,7091.1,,,-14528.6,10482.5,23565.5,2315.1,3507.0,True,True,False,,True,True,True,,False,False,True,True,True,True,True,True,,,True,True,False,True,True
Colorado,5370,3892.0,3934.5,3807.0,3698.0,,3550.7,746.0,4088.6,,4323.0,4067.0,3760.0,1368.1,5122.2,2716.8,3533.2,4011.6,,,2766.6,3161.6,4750.8,4363.3,3780.0,-1478.0,-1435.5,-1563.0,-1672.0,,-1819.3,-4624.0,-1281.4,,-1047.0,-1303.0,-1610.0,-4001.9,-247.8,-2653.2,-1836.8,-1358.4,,,-2603.4,-2208.4,-619.2,-1006.7,-1590.0,True,False,False,,False,False,True,,True,True,False,False,True,False,False,True,,,False,False,True,True,False
Connecticut,2162,1740.0,1736.1,1662.0,1999.0,,1184.4,46.0,1828.8,,1078.0,1933.0,2051.4,1536.3,2406.9,1962.8,712.9,1512.2,,,290.5,2101.8,2724.3,1479.3,1448.0,-422.0,-425.9,-500.0,-163.0,,-977.6,-2116.0,-333.2,,-1084.0,-229.0,-110.6,-625.7,244.9,-199.2,-1449.1,-649.8,,,-1871.5,-60.2,562.3,-682.7,-714.0,False,False,True,,False,False,True,,False,True,True,False,True,True,False,False,,,False,True,False,False,False
Delaware,1557,1086.0,1059.6,1097.0,1340.0,,1234.1,23.0,1447.8,,1225.0,1039.0,1092.2,1099.6,845.4,924.3,1206.1,1417.9,,,2127.6,990.1,1510.5,1540.7,2010.0,-471.0,-497.4,-460.0,-217.0,,-322.9,-1534.0,-109.2,,-332.0,-518.0,-464.8,-457.4,-711.6,-632.7,-350.9,-139.1,,,570.6,-566.9,-46.5,-16.3,453.0,False,True,True,,True,False,True,,True,False,True,True,False,False,True,True,,,False,False,True,True,True
District of Columbia,664,626.0,630.6,622.0,557.0,,585.7,102.0,756.7,,632.0,656.0,668.2,746.7,825.0,599.4,507.9,605.4,,,391.9,633.0,,685.9,623.0,-38.0,-33.4,-42.0,-107.0,,-78.3,-562.0,92.7,,-32.0,-8.0,4.2,82.7,161.0,-64.6,-156.1,-58.6,,,-272.1,-31.0,,21.9,-41.0,True,False,False,,False,False,False,,True,True,True,False,False,False,False,False,,,False,True,,True,False
Florida,37366,49728.0,47395.9,40294.0,67810.0,,36651.9,26041.0,41796.5,,50943.0,48917.0,42271.3,40967.2,34755.7,33207.7,31350.9,39620.6,,,22043.4,50292.7,51262.4,40216.2,45471.0,12362.0,10029.9,2928.0,30444.0,,-714.1,-11325.0,4430.5,,13577.0,11551.0,4905.3,3601.2,-2610.3,-4158.3,-6015.1,2254.6,,,-15322.6,12926.7,13896.4,2850.2,8105.0,True,True,False,,True,True,True,,False,True,True,True,True,True,True,True,,,False,False,False,True,True
