,count,mean,median,std,min,25%,75%,max
JHU_IDD-CovidSP,3139,303.9,75.5,945.2,0.0,25.9,229.7,18454.6
OliverWyman-Navigator,2705,320.8,92.2,866.4,0.0,31.0,283.0,24219.0
LNQ-ens1,3141,326.6,82.7,1107.5,0.0,27.0,249.5,25963.9
COVIDhub-ensemble,3141,359.4,102.0,1183.6,0.0,36.0,294.0,27989.0
USC-SI_kJalpha,2769,413.1,109.0,1607.7,0.0,35.0,311.0,45233.0
COVIDhub-baseline,3141,516.0,77.0,3182.1,0.0,24.0,242.0,101962.0
CU-select,3072,561.9,105.0,3408.0,0.0,33.0,350.0,120285.0
LANL-GrowthRate,2950,562.7,116.4,3128.8,0.0,40.8,337.1,113596.1
UCLA-SuEIR,2895,619.7,92.5,4152.6,0.0,29.0,304.0,141064.1
IowaStateLW-STEM,3103,684.8,87.0,4204.1,0.0,24.0,303.0,117880.0
