,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,500,588.0,1106.5,596.0,,,,1215.0,501.1,,,88.0,606.5,96.0,,,,715.0,1.1,,,False,False,,,,False,True,,
01003,1454,2442.0,7292.9,1472.0,,,,2287.7,975.2,,,988.0,5838.9,18.0,,,,833.7,-478.8,,,False,True,,,,True,True,,
01005,199,114.0,,56.0,,,,20.7,281.3,,,-85.0,,-143.0,,,,-178.3,82.3,,,,False,,,,False,True,,
01007,177,396.0,,502.0,,,,394.0,332.9,,,219.0,,325.0,,,,217.0,155.9,,,,False,,,,True,True,,
01009,619,504.0,948.5,170.0,,,,358.4,1515.2,,,-115.0,329.5,-449.0,,,,-260.6,896.2,,,False,False,,,,False,False,,
01011,118,162.0,,40.0,,,,58.3,53.5,,,44.0,,-78.0,,,,-59.7,-64.5,,,,False,,,,False,False,,
01013,126,90.0,,131.0,,,,21.6,70.8,,,-36.0,,5.0,,,,-104.4,-55.2,,,,True,,,,False,False,,
01015,1468,1938.0,3075.9,1052.0,,,,1244.7,1266.2,,,470.0,1607.9,-416.0,,,,-223.3,-201.8,,,False,True,,,,True,True,,
01017,215,198.0,,134.0,,,,30.1,149.2,,,-17.0,,-81.0,,,,-184.9,-65.8,,,,False,,,,False,False,,
01019,248,288.0,,327.0,,,,98.7,257.5,,,40.0,,79.0,,,,-149.3,9.5,,,,False,,,,False,True,,
01021,640,690.0,,461.0,,,,466.4,1095.0,,,50.0,,-179.0,,,,-173.6,455.0,,,,False,,,,False,False,,
01023,54,60.0,,86.0,,,,11.2,71.0,,,6.0,,32.0,,,,-42.8,17.0,,,,False,,,,False,False,,
01025,359,1098.0,,824.0,,,,2589.7,859.6,,,739.0,,465.0,,,,2230.7,500.6,,,,True,,,,False,True,,
01027,280,312.0,,360.0,,,,122.7,151.3,,,32.0,,80.0,,,,-157.3,-128.7,,,,False,,,,False,False,,
01029,238,84.0,,84.0,,,,6.7,56.2,,,-154.0,,-154.0,,,,-231.3,-181.8,,,,False,,,,False,False,,
01031,469,366.0,592.2,211.0,,,,224.8,249.1,,,-103.0,123.2,-258.0,,,,-244.2,-219.9,,,False,False,,,,False,False,,
01033,398,726.0,1226.6,478.0,,,,345.7,737.0,,,328.0,828.6,80.0,,,,-52.3,339.0,,,False,True,,,,True,False,,
01035,105,150.0,,129.0,,,,52.2,80.5,,,45.0,,24.0,,,,-52.8,-24.5,,,,True,,,,False,True,,
01037,56,72.0,,66.0,,,,42.4,95.8,,,16.0,,10.0,,,,-13.6,39.8,,,,True,,,,True,False,,
01039,432,300.0,,153.0,,,,51.6,164.6,,,-132.0,,-279.0,,,,-380.4,-267.4,,,,False,,,,False,False,,
01041,179,210.0,,227.0,,,,52.5,220.1,,,31.0,,48.0,,,,-126.5,41.1,,,,False,,,,False,False,,
01043,527,780.0,2069.5,756.0,,,,175.2,852.2,,,253.0,1542.5,229.0,,,,-351.8,325.2,,,False,True,,,,False,False,,
01045,466,384.0,,110.0,,,,208.4,428.3,,,-82.0,,-356.0,,,,-257.6,-37.7,,,,False,,,,False,True,,
01047,333,318.0,,202.0,,,,74.9,179.6,,,-15.0,,-131.0,,,,-258.1,-153.4,,,,False,,,,False,False,,
01049,468,888.0,1370.3,894.0,,,,589.8,561.2,,,420.0,902.3,426.0,,,,121.8,93.2,,,False,False,,,,True,True,,
01051,762,918.0,1886.4,540.0,,,,525.8,752.7,,,156.0,1124.4,-222.0,,,,-236.2,-9.3,,,False,False,,,,False,True,,
01053,368,738.0,,483.0,,,,319.4,350.3,,,370.0,,115.0,,,,-48.6,-17.7,,,,True,,,,True,True,,
