,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,445,431.3,433.0,415.3,-13.7,-12.0,-29.7,True,False
Austria,639,638.4,651.0,638.9,-0.6,12.0,-0.1,False,True
Belgium,9237,9391.4,9344.0,9724.6,154.4,107.0,487.6,True,False
Brazil,22013,20399.4,20732.0,19607.0,-1613.6,-1281.0,-2406.0,True,False
Bulgaria,126,122.6,123.0,123.8,-3.4,-3.0,-2.2,True,True
Canada,6466,6684.7,6672.0,6762.8,218.7,206.0,296.8,True,False
Chile,673,568.3,563.0,437.8,-104.7,-110.0,-235.2,False,False
Colombia,705,669.1,680.0,727.4,-35.9,-25.0,22.4,True,True
Croatia,99,99.3,104.0,111.1,0.3,5.0,12.1,False,False
Cyprus,17,17.9,18.0,10.0,0.9,1.0,-7.0,False,False
Czechia,314,313.4,314.0,325.4,-0.6,0.0,11.4,True,False
Denmark,561,564.1,573.0,630.0,3.1,12.0,69.0,False,False
Dominican Republic,458,462.3,459.0,522.0,4.3,1.0,64.0,True,False
Ecuador,3096,3258.0,3278.0,5002.9,162.0,182.0,1906.9,False,False
Egypt,735,720.0,723.0,737.4,-15.0,-12.0,2.4,True,True
Estonia,64,65.6,68.0,63.7,1.6,4.0,-0.3,False,True
Finland,306,324.6,324.0,337.6,18.6,18.0,31.6,True,False
France,28335,29592.1,29405.0,28961.3,1257.1,1070.0,626.3,True,True
Germany,8261,8298.9,8350.0,8519.8,37.9,89.0,258.8,False,False
Greece,171,173.3,170.0,161.6,2.3,-1.0,-9.4,True,False
Hungary,482,483.6,486.0,511.7,1.6,4.0,29.7,False,False
Iceland,10,10.0,10.0,5.6,0.0,0.0,-4.4,True,False
Ireland,1604,1615.9,1621.0,1641.8,11.9,17.0,37.8,False,False
Israel,279,289.1,286.0,262.9,10.1,7.0,-16.1,True,False
Italy,32735,33063.4,32928.0,32709.8,328.4,193.0,-25.2,True,True
Latvia,22,19.9,21.0,15.3,-2.1,-1.0,-6.7,True,False
Lithuania,63,61.1,60.0,54.4,-1.9,-3.0,-8.6,False,False
Luxembourg,109,112.1,111.0,112.0,3.1,2.0,3.0,True,True
Malaysia,115,117.3,118.0,112.1,2.3,3.0,-2.9,False,False
Mexico,7179,6644.4,6645.0,3693.4,-534.6,-534.0,-3485.6,True,False
Moldova,242,247.0,252.0,228.0,5.0,10.0,-14.0,False,False
Netherlands,5830,5904.7,5953.0,6213.0,74.7,123.0,383.0,False,False
Norway,235,243.1,240.0,224.9,8.1,5.0,-10.1,True,False
Panama,299,301.6,304.0,320.4,2.6,5.0,21.4,False,False
Peru,3373,3298.6,3256.0,3094.8,-74.4,-117.0,-278.2,False,False
Philippines,863,914.0,910.0,992.5,51.0,47.0,129.5,True,False
Poland,993,1032.1,1026.0,1024.0,39.1,33.0,31.0,True,True
Portugal,1302,1289.1,1292.0,1305.1,-12.9,-10.0,3.1,True,True
Romania,1176,1232.1,1241.0,1344.2,56.1,65.0,168.2,False,False
Slovakia,28,29.7,30.0,24.1,1.7,2.0,-3.9,False,False
Slovenia,106,105.7,108.0,114.9,-0.3,2.0,8.9,False,False
South Korea,266,269.0,270.0,284.2,3.0,4.0,18.2,False,False
Spain,28678,28370.4,28287.0,28385.7,-307.6,-391.0,-292.3,False,True
Sweden,4360,4068.1,4079.0,4278.1,-291.9,-281.0,-81.9,True,True
Switzerland,1905,1922.1,1936.0,1909.3,17.1,31.0,4.3,False,True
Turkey,4308,4443.4,4398.0,4413.1,135.4,90.0,105.1,True,True
Ukraine,605,619.4,635.0,551.0,14.4,30.0,-54.0,False,False
United Kingdom,35660,37104.0,36720.0,37861.9,1444.0,1060.0,2201.9,True,False
