,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,10149,7900.4,8165.2,8299.9,7921.0,7157.8,-2248.6,-1983.8,-1849.1,-2228.0,-2991.2,True,True,True,False
Alaska,305,425.9,634.3,272.7,,510.3,120.9,329.3,-32.3,,205.3,False,True,,False
Arizona,16323,11012.9,14292.1,11895.4,9694.0,10218.5,-5310.1,-2030.9,-4427.6,-6629.0,-6104.5,True,True,False,False
Arkansas,5297,5102.9,5025.2,4374.6,5058.0,6169.3,-194.1,-271.8,-922.4,-239.0,872.3,False,False,False,False
California,54134,29918.0,45402.1,48568.4,28395.0,29578.9,-24205.0,-8720.9,-5554.6,-25728.0,-24544.1,True,True,False,False
Colorado,5986,7894.6,9297.1,10021.0,7600.0,8065.6,1908.6,3311.1,4035.0,1614.0,2079.6,False,False,True,False
Connecticut,7704,7524.6,7930.9,7828.3,7128.0,6624.7,-179.4,226.9,124.3,-576.0,-1079.3,False,True,False,False
Delaware,1464,1088.7,1348.3,1155.3,1061.0,1071.3,-319.3,-59.7,-252.7,-347.0,-336.7,True,True,False,False
District of Columbia,1030,915.6,1016.3,1135.2,864.0,859.2,-114.4,-13.7,105.2,-166.0,-170.8,True,True,False,False
Florida,31620,27881.3,28373.5,30901.6,24256.0,27244.7,-3738.7,-3246.5,-718.4,-7364.0,-4375.3,True,True,False,False
Georgia,17905,14486.0,12674.7,14951.4,12960.0,14628.7,-3419.0,-5230.3,-2953.6,-4945.0,-3276.3,False,True,False,True
Hawaii,443,493.4,309.3,647.7,,315.5,50.4,-133.7,204.7,,-127.5,False,False,,False
Idaho,1879,2513.6,2459.2,2385.9,2430.0,2448.6,634.6,580.2,506.9,551.0,569.6,True,True,True,True
Illinois,23003,29981.7,25247.6,26170.8,23862.0,27863.2,6978.7,2244.6,3167.8,859.0,4860.2,True,True,True,True
Indiana,12726,13403.4,14293.2,10145.5,12506.0,14674.7,1422.4,2312.2,-1835.5,525.0,2693.7,False,False,True,False
Iowa,5552,6805.6,4548.4,4783.0,6949.0,6644.4,1253.6,-1003.6,-769.0,1397.0,1092.4,True,True,False,True
Kansas,4768,5090.3,4349.3,4291.3,4760.0,4583.1,322.3,-418.7,-476.7,-8.0,-184.9,False,False,True,True
Kentucky,4806,4334.9,4743.4,4652.6,3929.0,5748.9,-471.1,-62.6,-153.4,-877.0,942.9,True,True,False,False
Louisiana,9716,8859.7,11688.0,9560.9,8787.0,8972.7,-856.3,1972.0,-155.1,-929.0,-743.3,False,True,False,True
Maine,704,689.9,660.1,687.4,806.0,330.8,-14.1,-43.9,-16.6,102.0,-373.2,False,False,False,False
Maryland,7941,7687.4,9504.7,10073.3,7322.0,7135.5,-253.6,1563.7,2132.3,-619.0,-805.5,False,False,False,False
Massachusetts,16374,14629.7,16986.8,14862.3,14671.0,13756.2,-1744.3,612.8,-1511.7,-1703.0,-2617.8,True,True,True,False
Michigan,16658,21301.0,22376.8,16633.6,19512.0,19057.8,4643.0,5718.8,-24.4,2854.0,2399.8,False,True,True,True
Minnesota,6614,9263.0,10579.1,7587.4,10960.0,11112.8,2649.0,3965.1,973.4,4346.0,4498.8,False,True,False,False
Mississippi,6805,5953.9,6768.7,5655.2,5830.0,6183.2,-851.1,-36.3,-1149.8,-975.0,-621.8,True,False,False,True
Missouri,8512,9864.0,7712.7,7837.8,7812.0,8298.6,1381.0,-770.3,-645.2,-671.0,-184.4,True,True,True,True
Montana,1379,1571.7,1723.3,2132.7,1903.0,1617.9,192.7,344.3,753.7,524.0,238.9,False,False,False,False
Nebraska,2113,3982.1,2961.5,3252.1,4070.0,3073.7,1869.1,848.5,1139.1,1957.0,960.7,True,True,False,True
