,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,10149,6562.1,5740.1,7225.1,6966.0,-3586.9,-4408.9,-2923.9,-3183.0,False,True,True
Alaska,305,177.3,705.5,303.4,,-127.7,400.5,-1.6,,False,True,
Arizona,16323,8870.9,13623.0,14873.7,8861.0,-7452.1,-2700.0,-1449.3,-7462.0,True,True,False
Arkansas,5297,4942.1,5371.2,3944.4,5167.0,-354.9,74.2,-1352.6,-130.0,True,False,True
California,54134,25619.7,33896.8,38546.5,24906.0,-28513.3,-20236.2,-15586.5,-29227.0,True,True,False
Colorado,5986,6668.9,8601.0,8664.8,6749.0,682.9,2615.0,2678.8,763.0,False,False,False
Connecticut,7704,6180.0,9093.4,7950.3,6785.0,-1524.0,1389.4,246.3,-919.0,True,True,True
Delaware,1464,926.3,1463.9,1298.7,1043.0,-495.7,41.9,-123.3,-379.0,True,True,True
District of Columbia,1030,818.6,937.7,1106.3,734.0,-211.4,-92.3,76.3,-296.0,True,True,False
Florida,31620,25018.4,25915.5,26263.1,24618.0,-6601.6,-5704.5,-5356.9,-7002.0,True,True,False
Georgia,17905,12778.6,23926.3,16637.1,12988.0,-5126.4,6021.3,-1267.9,-4917.0,False,True,True
Hawaii,443,396.4,372.9,295.3,,-46.6,-70.1,-147.7,,False,False,
Idaho,1879,2186.1,2518.5,2422.5,2230.0,307.1,639.5,543.5,351.0,False,False,False
Illinois,23003,25243.1,29922.1,23797.9,24303.0,2241.1,6920.1,795.9,1301.0,False,True,True
Indiana,12726,11173.6,15870.7,10016.7,11959.0,-1083.4,3613.7,-2240.3,-298.0,False,False,True
Iowa,5552,5366.6,7356.2,5099.1,5444.0,-185.4,1804.2,-452.9,-108.0,False,False,True
Kansas,4768,3435.7,4244.4,3080.4,3699.0,-1248.3,-439.6,-1603.6,-985.0,True,False,True
Kentucky,4806,3659.0,4529.7,4575.2,3777.5,-1147.0,-276.3,-230.8,-1028.5,True,True,True
Louisiana,9716,8325.1,10443.6,11368.4,9867.0,-1390.9,727.6,1652.4,151.0,True,False,True
Maine,704,339.4,1017.0,592.9,413.0,-364.6,313.0,-111.1,-291.0,True,True,True
Maryland,7941,6395.1,8072.5,9060.2,6634.0,-1545.9,131.5,1119.2,-1307.0,True,True,True
Massachusetts,16374,13230.9,17071.6,14584.8,14090.0,-3143.1,697.6,-1789.2,-2284.0,True,True,True
Michigan,16658,16288.7,26400.5,17901.4,19166.0,-369.3,9742.5,1243.4,2508.0,False,False,False
Minnesota,6614,8289.0,14126.6,8015.3,10434.0,1675.0,7512.6,1401.3,3820.0,False,True,False
Mississippi,6805,5652.0,5133.1,5704.1,5672.0,-1153.0,-1671.9,-1100.9,-1133.0,False,True,True
Missouri,8512,6415.7,11540.9,7546.1,7239.0,-2073.3,3051.9,-942.9,-1250.0,False,True,True
Montana,1379,1836.1,2216.3,1138.7,2208.0,457.1,837.3,-240.3,829.0,False,True,False
Nebraska,2113,2840.4,3365.4,2372.6,2739.0,727.4,1252.4,259.6,626.0,False,True,True
Nevada,5036,3621.6,4265.5,4334.6,2871.0,-1414.4,-770.5,-701.4,-2165.0,True,True,False
New Hampshire,1181,705.1,1178.2,878.5,880.0,-475.9,-2.8,-302.5,-301.0,True,True,True
New Jersey,23557,19658.1,27506.0,23247.6,19925.0,-3898.9,3949.0,-309.4,-3632.0,False,True,True
New Mexico,3796,3879.0,6253.1,4405.4,3936.0,83.0,2457.1,609.4,140.0,False,False,False
New York,48247,38583.0,48243.6,47386.8,38370.0,-9664.0,-3.4,-860.2,-9877.0,True,True,False
North Carolina,11502,8421.4,9878.7,14826.1,8840.0,-3080.6,-1623.3,3324.1,-2662.0,True,False,True
North Dakota,1479,2480.3,2749.3,1519.1,2977.0,1001.3,1270.3,40.1,1498.0,False,True,False
Ohio,18295,10066.9,16613.3,15787.5,12098.0,-7298.1,-751.7,-1577.5,-5267.0,True,True,True
Oklahoma,4534,3208.9,4667.6,3986.2,3874.0,-1325.1,133.6,-547.8,-660.0,True,True,True
Oregon,2296,1696.6,2846.5,2888.9,1816.0,-599.4,550.5,592.9,-480.0,True,True,True
Pennsylvania,24306,17630.9,23098.1,20913.1,20950.0,-6675.1,-1207.9,-3392.9,-3356.0,True,True,True
Rhode Island,2541,1888.3,2550.4,2055.2,1778.0,-603.7,58.4,-436.8,-714.0,True,True,False
South Carolina,8719,6823.6,6451.6,5995.8,5976.0,-1895.4,-2267.4,-2723.2,-2743.0,False,False,False
South Dakota,1898,3419.0,2467.4,1384.8,3837.0,1521.0,569.4,-513.2,1939.0,True,True,False
Tennessee,11543,9807.7,11464.1,9550.2,10268.0,-1735.3,-78.9,-1992.8,-1275.0,True,False,True
Texas,45249,36137.6,39183.6,38251.5,40496.0,-8784.4,-5738.4,-6670.5,-4426.0,True,True,True
Utah,1975,1907.3,3187.7,2663.2,2464.0,-67.7,1212.7,688.2,489.0,False,False,False
Vermont,208,122.4,57.9,89.5,113.0,-85.6,-150.1,-118.5,-95.0,False,False,False
Virginia,9519,5988.3,5961.0,7244.6,6066.0,-3530.7,-3558.0,-2274.4,-3453.0,False,True,True
Washington,5041,4104.7,16435.0,6256.2,4290.0,-943.3,11387.0,1208.2,-758.0,False,False,True
West Virginia,2323,1850.6,3069.6,2514.5,2297.0,-472.4,746.6,191.5,-26.0,False,True,True
Wisconsin,7103,9078.0,8245.9,8086.2,8536.0,1975.0,1142.9,983.2,1433.0,True,True,True
Wyoming,682,651.4,1258.3,457.9,1045.0,-30.6,576.3,-224.1,363.0,False,False,False
US,525162,413896.3,572093.3,479108.4,437395.0,-109343.7,48853.3,-44131.6,-85845.0,True,True,True
