,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,10149,7505.0,8725.0,8009.7,7384.0,7057.3,-2644.0,-1424.0,-2139.3,-2765.0,-3091.7,True,True,False,False
Alaska,305,270.9,480.0,430.3,,343.2,-34.1,175.0,125.3,,38.2,False,False,,False
Arizona,16323,14637.3,14494.4,13467.9,14302.0,12294.6,-1685.7,-1828.6,-2855.1,-2021.0,-4028.4,False,False,False,False
Arkansas,5297,6407.3,5809.0,4173.3,6992.0,5961.1,1110.3,512.0,-1123.7,1695.0,664.1,True,False,False,True
California,54134,40426.4,56584.3,61391.1,38570.0,37150.2,-13705.6,2452.3,7259.1,-15562.0,-16981.8,True,True,False,False
Colorado,5986,8819.4,8019.3,8217.2,8614.0,7088.3,2833.4,2033.3,2231.2,2628.0,1102.3,True,True,True,True
Connecticut,7704,7947.9,8821.9,8017.7,7928.0,6268.3,243.9,1117.9,313.7,224.0,-1435.7,False,False,True,False
Delaware,1464,1361.4,1295.3,1332.0,1359.0,1296.7,1.4,-64.7,-28.0,-1.0,-63.3,False,False,True,False
District of Columbia,1030,975.9,1009.1,982.6,909.0,818.0,-54.1,-20.9,-47.4,-121.0,-212.0,True,True,False,False
Florida,31620,28189.7,31699.0,31069.8,25900.0,26417.4,-3430.3,79.0,-550.2,-5720.0,-5202.6,True,True,False,False
Georgia,17905,13716.1,14607.1,15955.0,14196.0,13663.1,-4188.9,-3297.9,-1950.0,-3709.0,-4241.9,True,True,True,False
Hawaii,443,368.9,411.9,569.8,,344.5,-74.1,-31.1,126.8,,-98.5,True,False,,False
Idaho,1879,2420.0,2444.6,2591.2,2564.0,1922.7,541.0,565.6,712.2,685.0,43.7,False,False,False,True
Illinois,23003,28002.4,24287.1,27452.5,25603.0,21884.5,4999.4,1284.1,4449.5,2600.0,-1118.5,True,True,True,True
Indiana,12726,13907.4,12887.4,11774.5,13935.0,12654.0,2157.4,1137.4,24.5,2185.0,904.0,True,True,False,True
Iowa,5552,7702.9,5372.1,4184.3,7918.0,5461.7,2150.9,-179.9,-1367.7,2366.0,-90.3,True,True,False,True
Kansas,4768,5261.6,4427.1,5555.7,5342.0,4904.0,493.6,-340.9,787.7,574.0,136.0,True,False,False,True
Kentucky,4806,4459.9,4374.9,4441.2,4206.5,4961.3,-346.1,-431.1,-364.8,-599.5,155.3,False,False,False,True
Louisiana,9716,9474.0,9646.3,9480.2,9866.0,9640.0,-242.0,-69.7,-235.8,150.0,-76.0,True,True,True,True
Maine,704,672.0,1107.1,845.5,710.0,519.2,-32.0,403.1,141.5,6.0,-184.8,False,False,True,False
