,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,10149,5250.3,4008.2,6635.3,3546.0,,-4898.7,-6140.8,-3513.7,-6603.0,,False,True,False,
Alaska,305,206.0,394.1,276.8,,,-99.0,89.1,-28.2,,,True,True,,
Arizona,16323,7177.3,7076.0,10068.3,6404.0,,-9145.7,-9247.0,-6254.7,-9919.0,,False,True,False,
Arkansas,5297,4384.7,3410.1,4303.3,4688.0,,-912.3,-1886.9,-993.7,-609.0,,False,False,True,
California,54134,24921.9,22503.8,48610.8,20386.0,,-29212.1,-31630.2,-5523.2,-33748.0,,False,True,False,
Colorado,5986,3427.0,3797.2,7688.8,2747.0,,-2559.0,-2188.8,1702.8,-3239.0,,True,True,False,
Connecticut,7704,4780.3,4900.8,6506.4,4719.0,,-2923.7,-2803.2,-1197.6,-2985.0,,True,True,False,
Delaware,1464,883.4,842.4,1312.1,767.0,,-557.6,-598.6,-128.9,-674.0,,False,True,False,
District of Columbia,1030,720.4,715.9,1156.5,671.0,,-309.6,-314.1,126.5,-359.0,,False,True,False,
Florida,31620,27940.9,23832.6,30336.5,20368.0,,-3679.1,-7787.4,-1283.5,-11252.0,,False,True,False,
Georgia,17905,12046.3,9701.0,14483.8,9953.0,,-5858.7,-8204.0,-3421.2,-7952.0,,False,True,False,
Hawaii,443,544.4,499.0,973.3,,,101.4,56.0,530.3,,,True,False,,
Idaho,1879,945.0,1235.6,2059.3,922.0,,-934.0,-643.4,180.3,-957.0,,True,True,False,
Illinois,23003,14319.1,15299.8,20067.5,12209.0,,-8683.9,-7703.2,-2935.5,-10794.0,,True,True,False,
Indiana,12726,6875.9,7502.6,9784.3,5601.0,,-5732.1,-5105.4,-2823.7,-7007.0,,True,True,False,
Iowa,5552,2922.0,3154.2,4566.0,2684.5,,-2630.0,-2397.8,-986.0,-2867.5,,True,True,False,
Kansas,4768,2546.9,1995.4,3772.8,1656.0,,-2221.1,-2772.6,-995.2,-3112.0,,False,True,False,
Kentucky,4806,2628.6,2660.1,4503.4,2210.0,,-2177.4,-2145.9,-302.6,-2596.0,,True,True,False,
Louisiana,9716,7636.4,6691.0,9159.6,6971.0,,-2079.6,-3025.0,-556.4,-2745.0,,False,True,False,
Maine,704,205.6,169.4,233.9,218.0,,-498.4,-534.6,-470.1,-486.0,,False,True,True,
Maryland,7941,4791.6,4582.5,6306.5,4361.0,93291.0,-3149.4,-3358.5,-1634.5,-3580.0,85350.0,False,True,False,False
Massachusetts,16374,12378.0,11883.3,14901.6,11093.5,,-3996.0,-4490.7,-1472.4,-5280.5,,False,True,False,
Michigan,16658,9742.7,10123.7,14369.2,8771.0,,-6915.3,-6534.3,-2288.8,-7887.0,,True,True,False,
Minnesota,6614,4133.7,4369.6,6078.5,4146.0,,-2480.3,-2244.4,-535.5,-2468.0,,True,True,True,
Mississippi,6805,4561.0,4271.2,5255.5,4592.0,,-2244.0,-2533.8,-1549.5,-2213.0,,False,True,True,
Missouri,8512,5928.0,6163.9,6798.9,5328.0,,-2567.0,-2331.1,-1696.1,-3167.0,,True,True,False,
Montana,1379,856.6,1454.1,973.5,847.0,,-522.4,75.1,-405.5,-532.0,,True,True,False,
Nebraska,2113,1123.9,1501.6,2356.4,973.0,,-989.1,-611.4,243.4,-1140.0,,True,True,False,
Nevada,5036,2683.0,2904.8,3150.6,2191.0,,-2353.0,-2131.2,-1885.4,-2845.0,,True,True,False,
New Hampshire,1181,664.6,776.2,3339.9,627.0,,-516.4,-404.8,2158.9,-554.0,,True,False,False,
New Jersey,23557,16945.7,16971.1,17223.6,16550.0,,-6611.3,-6585.9,-6333.4,-7007.0,,True,True,False,
New Mexico,3796,1390.7,2886.1,2613.4,1208.0,,-2405.3,-909.9,-1182.6,-2588.0,,True,True,False,
New York,48247,34608.0,34031.1,46834.3,33951.0,,-13437.0,-14013.9,-1210.7,-14094.0,,False,True,False,
North Carolina,11502,7190.6,6984.2,12122.7,6341.0,,-4311.4,-4517.8,620.7,-5161.0,,False,True,False,
North Dakota,1479,1734.4,1627.8,1295.3,1467.0,,255.4,148.8,-183.7,-12.0,,True,True,True,
Ohio,18295,6417.3,9564.4,13026.3,7720.0,,-12133.7,-8986.6,-5524.7,-10831.0,,True,True,True,
Oklahoma,4534,2620.6,2140.8,3517.0,2441.0,,-1913.4,-2393.2,-1017.0,-2093.0,,False,True,False,
