,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,10149,11509.7,11304.0,11860.8,8883.0,7505.2,,7322.4,12424.0,,10243.0,7316.7,1360.7,1155.0,1711.8,-1266.0,-2643.8,,-2826.6,2275.0,,94.0,-2832.3,True,False,True,False,,False,False,,True,False
Alaska,305,263.3,248.3,266.7,260.0,289.9,,317.3,,,341.4,265.2,-41.7,-56.7,-38.3,-45.0,-15.1,,12.3,,,36.4,-39.8,False,True,False,True,,True,,,True,True
Arizona,16323,18980.3,27681.3,19732.3,22676.0,18055.3,,17443.5,19100.0,,15555.0,12980.6,2657.3,11358.3,3409.3,6353.0,1732.3,,1120.5,2777.0,,-768.0,-3342.4,False,False,False,True,,True,False,,True,False
Arkansas,5297,6148.7,6846.1,6273.7,7672.0,6767.5,,5870.8,6641.0,,6180.2,5105.3,851.7,1549.1,976.7,2375.0,1470.5,,573.8,1344.0,,883.2,-191.7,False,False,False,False,,True,False,,False,True
California,54134,58376.1,108345.5,59319.1,51603.0,51244.4,,59960.9,58910.0,,49050.9,39177.4,4242.1,54211.5,5185.1,-2531.0,-2889.6,,5826.9,4776.0,,-5083.1,-14956.6,False,False,True,True,,False,False,,False,False
Colorado,5986,6551.6,6653.4,6573.7,6829.0,6862.6,,7369.5,7210.0,,6529.1,6356.0,565.6,667.4,587.7,843.0,876.6,,1383.5,1224.0,,543.1,370.0,False,False,False,False,,False,False,,True,True
Connecticut,7704,8445.4,8220.5,8485.2,9474.0,8386.8,,8219.3,8384.0,,7648.2,6995.4,741.4,516.5,781.2,1770.0,682.8,,515.3,680.0,,-55.8,-708.6,True,False,False,True,,True,True,,True,True
Delaware,1464,1317.7,1532.8,1345.3,1249.0,1306.5,,1229.4,1520.0,,1215.2,1130.1,37.7,252.8,65.3,-31.0,26.5,,-50.6,240.0,,-64.8,-149.9,False,False,True,True,,False,False,,False,False
District of Columbia,1030,1076.3,1032.0,1084.9,1082.0,1065.3,,937.4,1128.0,,1011.8,918.2,46.3,2.0,54.9,52.0,35.3,,-92.6,98.0,,-18.2,-111.8,True,False,False,True,,False,False,,True,False
Florida,31620,32537.0,34526.2,32409.2,39346.0,30355.3,,30915.2,31780.0,,31062.0,26794.5,917.0,2906.2,789.2,7726.0,-1264.7,,-704.8,160.0,,-558.0,-4825.5,False,True,False,False,,True,True,,True,False
