,mean_rank
LNQ-ens1,11.3
UMass-MechBayes,11.5
Karlen-pypm,12.4
CU-select,12.7
RobertWalraven-ESG,12.9
USC-SI_kJalpha,13.2
OliverWyman-Navigator,13.7
IHME-CurveFit,14.2
COVIDhub-ensemble,14.3
BPagano-RtDriven,15.2
LANL-GrowthRate,15.3
Columbia_UNC-SurvCon,16.2
CovidAnalytics-DELPHI,16.7
CMU-TimeSeries,17.0
Covid19Sim-Simulator,17.3
epiforecasts-ensemble1,17.7
Google_Harvard-CPF,17.9
UA-EpiCovDA,18.0
MOBS-GLEAM_COVID,18.0
WalmartLabsML-LogForecasting,18.0
UMich-RidgeTfReg,18.2
PSI-DRAFT,18.5
GT-DeepCOVID,18.8
MIT_ISOLAT-Mixtures,19.8
SigSci-TS,19.8
AIpert-pwllnod,21.4
JHU_CSSE-DECOM,21.5
Microsoft-DeepSTIA,21.6
UCSD_NEU-DeepGLEAM,21.8
JHU_IDD-CovidSP,22.7
CEID-Walk,23.4
COVIDhub-baseline,23.9
IowaStateLW-STEM,27.2
TTU-squider,28.2
MIT_CritData-GBCF,28.3
JHUAPL-Bucky,28.9
COVIDhub-trained_ensemble,35.3
