location,actual_deaths,Baseline,error-Baseline
Alabama,10149,4488.7,-5660.3
Alaska,305,68.9,-236.1
Arizona,16323,9174.9,-7148.1
Arkansas,5297,5952.4,655.4
California,54134,30236.9,-23897.1
Colorado,5986,2634.3,-3351.7
Connecticut,7704,4778.3,-2925.7
Delaware,1464,764.1,-685.9
District of Columbia,1030,715.4,-314.6
Florida,31620,29709.7,-1910.3
Georgia,17905,13019.6,-4885.4
Hawaii,443,621.0,178.0
Idaho,1879,1111.0,-768.0
Illinois,23003,12145.3,-10857.7
Indiana,12726,5128.3,-7615.7
Iowa,5552,2338.6,-3213.4
Kansas,4768,2193.4,-2573.6
Kentucky,4806,2327.7,-2478.3
Louisiana,9716,8541.0,-1175.0
Maine,704,210.6,-493.4
Maryland,7941,4857.1,-3083.9
Massachusetts,16374,11695.7,-4678.3
Michigan,16658,8352.7,-8305.3
Minnesota,6614,3114.4,-3499.6
Mississippi,6805,5505.9,-1299.1
Missouri,8512,4092.4,-4390.6
Montana,1379,681.9,-697.1
Nebraska,2113,632.9,-1480.1
Nevada,5036,3415.7,-1620.3
New Hampshire,1181,485.7,-695.3
New Jersey,23557,16925.9,-6631.1
New Mexico,3796,1469.3,-2326.7
New York,48247,34613.9,-13633.1
North Carolina,11502,7799.7,-3702.3
North Dakota,1479,764.6,-714.4
Ohio,18295,9386.4,-9284.6
Oklahoma,4534,1924.1,-2609.9
Oregon,2296,931.6,-1364.4
Pennsylvania,24306,11085.3,-13220.7
Rhode Island,2541,1493.6,-1020.4
South Carolina,8719,6419.7,-2299.3
South Dakota,1898,631.4,-1266.6
Tennessee,11543,5558.0,-5985.0
Texas,45249,31382.4,-13588.6
Utah,1975,607.0,-1368.0
Vermont,208,58.0,-150.0
Virginia,9519,9907.7,390.7
Washington,5041,3134.4,-1909.6
West Virginia,2323,1435.3,-887.7
Wisconsin,7103,2005.4,-5032.6
Wyoming,682,216.0,-466.0
US,525162,329244.1,-195895.9
