,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,10149,9822.9,11406.0,9885.5,8801.0,8761.4,7696.0,,,7922.3,10368.0,7624.7,8418.3,10319.0,9586.5,,7914.5,9222.0,7852.3,-326.1,1257.0,-263.5,-1348.0,-1387.6,-2453.0,,,-2226.7,219.0,-2524.3,-1730.7,170.0,-562.5,,-2234.5,-927.0,-2296.7,False,True,False,False,False,,,False,True,False,False,True,False,,False,False,False
Alaska,305,434.7,288.3,439.0,291.0,280.4,342.0,,,253.1,,301.1,361.7,284.0,317.0,,404.4,299.0,302.4,129.7,-16.7,134.0,-14.0,-24.6,37.0,,,-51.9,,-3.9,56.7,-21.0,12.0,,99.4,-6.0,-2.6,True,False,True,True,True,,,True,,True,True,True,True,,True,True,True
Arizona,16323,17931.1,24303.4,17701.2,18645.0,19893.6,18220.0,,,17193.9,18519.0,15363.2,16363.7,16818.0,18687.5,,14472.6,17750.0,13983.7,1608.1,7980.4,1378.2,2322.0,3570.6,1897.0,,,870.9,2196.0,-959.8,40.7,495.0,2364.5,,-1850.4,1427.0,-2339.3,False,True,False,False,False,,,True,False,True,True,True,False,,False,True,False
Arkansas,5297,6333.9,6752.4,6182.5,6061.0,6451.2,5892.0,,,5698.4,6311.0,5362.6,5836.6,5686.0,5889.5,,6221.7,5650.0,5345.1,1036.9,1455.4,885.5,764.0,1154.2,595.0,,,401.4,1014.0,65.6,539.6,389.0,592.5,,924.7,353.0,48.1,False,True,True,False,True,,,True,True,True,True,True,True,,True,True,True
California,54134,57656.1,73687.2,57475.0,50116.0,54508.5,52324.0,,,59365.1,58166.0,48639.0,52091.9,55100.0,73331.5,,48478.7,50732.0,42994.5,3522.1,19553.2,3341.0,-4018.0,374.5,-1810.0,,,5231.1,4032.0,-5495.0,-2042.1,966.0,19197.5,,-5655.3,-3402.0,-11139.5,False,True,False,True,True,,,False,False,False,True,True,False,,False,True,False
Colorado,5986,6243.0,6190.8,6197.6,6334.0,6528.9,6523.0,,,6611.5,6692.0,5950.5,6673.6,5786.0,6126.0,,6596.9,6009.0,6326.1,257.0,204.8,211.6,348.0,542.9,537.0,,,625.5,706.0,-35.5,687.6,-200.0,140.0,,610.9,23.0,340.1,True,True,False,False,False,,,False,False,True,False,True,True,,False,True,False
Connecticut,7704,8136.9,8268.4,8171.0,8612.0,8762.4,9800.0,,,8216.0,8191.0,7641.1,8318.4,8101.0,8375.0,,7378.0,8105.0,7188.5,432.9,564.4,467.0,908.0,1058.4,2096.0,,,512.0,487.0,-62.9,614.4,397.0,671.0,,-326.0,401.0,-515.5,False,False,False,False,False,,,False,False,True,False,True,False,,True,True,False
Delaware,1464,1187.4,1270.6,1159.3,1205.0,1326.9,1217.0,,,1214.4,1234.5,1173.3,1420.9,1164.0,1334.0,,1176.5,1208.0,1144.2,-50.6,32.6,-78.7,-33.0,88.9,-21.0,,,-23.6,-3.5,-64.7,182.9,-74.0,96.0,,-61.5,-30.0,-93.8,True,False,True,False,True,,,True,True,False,False,False,False,,False,True,False
District of Columbia,1030,1000.9,979.2,1007.9,1066.0,1082.1,1219.0,,,1066.9,1005.0,1036.1,1030.2,953.5,1105.0,,924.8,995.0,931.7,-29.1,-50.8,-22.1,36.0,52.1,189.0,,,36.9,-25.0,6.1,0.2,-76.5,75.0,,-105.2,-35.0,-98.3,False,True,False,False,False,,,False,True,True,True,False,False,,False,False,False
Florida,31620,32063.9,34509.9,32123.9,32475.0,31582.9,43823.0,,,30899.6,30686.0,29013.1,35598.5,31240.0,32808.5,,30053.6,31443.0,27865.8,443.9,2889.9,503.9,855.0,-37.1,12203.0,,,-720.4,-934.0,-2606.9,3978.5,-380.0,1188.5,,-1566.4,-177.0,-3754.2,False,False,False,True,False,,,False,False,False,False,True,False,,False,True,False
Georgia,17905,18837.7,24308.9,18978.9,18682.0,16388.1,15468.0,,,17459.8,18159.0,16158.1,16362.1,24439.0,16912.5,,17581.6,18576.0,14223.6,932.7,6403.9,1073.9,777.0,-1516.9,-2437.0,,,-445.2,254.0,-1746.9,-1542.9,6534.0,-992.5,,-323.4,671.0,-3681.4,False,False,True,False,False,,,True,True,False,False,False,False,,True,True,False
