,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,10149,10242.0,10173.9,10252.3,10325.3,10330.0,10286.1,10271.0,10163.0,10390.0,10189.1,10136.0,10418.4,10448.0,10977.9,,10229.9,,10346.2,,10334.8,10305.0,10562.0,9655.6,10344.0,9946.4,10207.2,9861.0,10045.2,10498.0,10207.8,10299.4,10271.2,,10065.5,10201.5,,10579.9,10307.2,10108.0,10315.0,8344.9,10144.0,9880.2,,10280.8,9940.6,10205.0,10422.1,10171.0,,10283.5,10192.0,93.0,24.9,103.3,176.3,181.0,137.1,122.0,14.0,241.0,40.1,-13.0,269.4,299.0,828.9,,80.9,,197.2,,185.8,156.0,413.0,-493.4,195.0,-202.6,58.2,-288.0,-103.8,349.0,58.8,150.4,122.2,,-83.5,52.5,,430.9,158.2,-41.0,166.0,-1804.1,-5.0,-268.8,,131.8,-208.4,56.0,273.1,22.0,,134.5,43.0,True,False,False,False,False,False,True,False,True,True,False,False,False,,True,,False,,False,False,False,False,False,False,True,False,False,False,True,False,False,,True,True,,False,False,True,False,False,True,False,,False,False,True,False,True,,False,True
Alaska,305,302.0,296.6,295.0,314.7,303.0,303.0,301.0,300.0,303.0,298.3,298.0,298.4,299.0,299.8,,300.1,,301.7,,281.9,303.5,,394.7,305.0,314.3,300.5,298.0,295.1,321.0,309.4,306.0,301.0,,301.5,303.0,,,305.4,301.0,301.0,348.2,325.0,332.3,,299.6,309.4,295.0,,299.0,,302.6,298.0,-3.0,-8.4,-10.0,9.7,-2.0,-2.0,-4.0,-5.0,-2.0,-6.7,-7.0,-6.6,-6.0,-5.2,,-4.9,,-3.3,,-23.1,-1.5,,89.7,0.0,9.3,-4.5,-7.0,-9.9,16.0,4.4,1.0,-4.0,,-3.5,-2.0,,,0.4,-4.0,-4.0,43.2,20.0,27.3,,-5.4,4.4,-10.0,,-6.0,,-2.4,-7.0,False,False,False,True,True,False,False,True,False,False,False,False,False,,False,,False,,False,True,,False,True,False,False,False,False,False,False,True,False,,False,True,,,True,False,False,False,False,False,,False,False,False,,False,,True,False
Arizona,16323,16483.7,17050.4,16555.4,16613.5,16566.0,16544.3,16412.0,16372.0,16225.0,16316.7,16034.0,16130.7,16573.0,17239.5,,16034.1,,16519.6,,16498.7,16624.7,16560.0,15594.7,16507.0,16219.2,16240.9,16566.0,16247.3,16332.0,16297.3,16517.5,16406.4,,16320.4,17098.0,,16915.7,16419.3,16294.0,16275.0,16763.3,16129.0,16224.0,,16515.3,16052.6,16281.0,16422.4,16219.0,,16385.0,16169.0,160.7,727.4,232.4,290.5,243.0,221.3,89.0,49.0,-98.0,-6.3,-289.0,-192.3,250.0,916.5,,-288.9,,196.6,,175.7,301.7,237.0,-728.3,184.0,-103.8,-82.1,243.0,-75.7,9.0,-25.7,194.5,83.4,,-2.6,775.0,,592.7,96.3,-29.0,-48.0,440.3,-194.0,-99.0,,192.3,-270.4,-42.0,99.4,-104.0,,62.0,-154.0,False,False,False,False,False,True,True,True,True,False,False,False,False,,False,,False,,False,False,False,False,False,True,True,False,True,True,True,False,True,,True,False,,False,True,True,True,False,False,True,,False,False,True,True,True,,True,True
Arkansas,5297,5527.9,5547.4,5528.6,5538.5,5575.0,5540.0,5538.0,5508.0,5565.0,5583.6,5529.0,5521.3,5521.0,5646.4,,,,5556.3,,5537.3,5570.2,5570.0,5631.2,5662.0,5620.2,5567.2,5446.0,5481.8,5635.0,5552.8,5532.6,5576.2,,5464.5,5567.0,,5644.0,5508.8,5661.0,5583.0,6398.0,5482.0,5602.5,,5525.2,5479.2,5480.0,5553.7,5518.0,,5616.2,5487.0,230.9,250.4,231.6,241.5,278.0,243.0,241.0,211.0,268.0,286.6,232.0,224.3,224.0,349.4,,,,259.3,,240.3,273.2,273.0,334.2,365.0,323.2,270.2,149.0,184.8,338.0,255.8,235.6,279.2,,167.5,270.0,,347.0,211.8,364.0,286.0,1101.0,185.0,305.5,,228.2,182.2,183.0,256.7,221.0,,319.2,190.0,False,False,False,False,False,False,True,False,False,False,True,True,False,,,,False,,False,False,False,False,False,False,False,True,True,False,False,False,False,,True,False,,False,True,False,False,False,True,False,,True,True,True,False,True,,False,True
California,54134,53594.1,52822.2,52822.6,53757.2,52814.0,53612.7,52485.0,52651.0,52485.0,51987.8,51460.0,51410.8,53594.0,55110.7,,,,52284.5,,52124.1,54256.5,53729.0,48849.0,52603.0,52057.5,52448.5,52651.0,52809.4,52800.0,52367.7,53151.9,52586.5,,52786.3,53366.0,,52859.9,52342.0,51527.0,52170.0,51678.3,52828.0,52467.1,,53148.1,52258.0,52451.0,52226.8,52895.0,,52539.8,51855.0,-539.9,-1311.8,-1311.4,-376.8,-1320.0,-521.3,-1649.0,-1483.0,-1649.0,-2146.2,-2674.0,-2723.2,-540.0,976.7,,,,-1849.5,,-2009.9,122.5,-405.0,-5285.0,-1531.0,-2076.5,-1685.5,-1483.0,-1324.6,-1334.0,-1766.3,-982.1,-1547.5,,-1347.7,-768.0,,-1274.1,-1792.0,-2607.0,-1964.0,-2455.7,-1306.0,-1666.9,,-985.9,-1876.0,-1683.0,-1907.2,-1239.0,,-1594.2,-2279.0,False,False,True,False,True,False,False,False,False,False,False,False,False,,,,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Colorado,5986,6018.3,6024.3,6001.9,6036.7,6058.0,6033.1,6028.0,6017.0,6070.0,6043.1,6021.0,5988.3,6095.0,6039.6,,6016.9,,6127.3,,6027.3,6101.2,5995.0,7002.5,6051.0,6169.8,6006.0,5967.0,6023.1,6075.0,5906.0,6042.7,6015.7,,6013.7,5973.0,,6020.7,6016.7,6147.0,6032.0,6119.4,6069.0,6091.6,,6042.0,6056.0,6026.0,6052.9,6033.0,,6109.1,6015.0,32.3,38.3,15.9,50.7,72.0,47.1,42.0,31.0,84.0,57.1,35.0,2.3,109.0,53.6,,30.9,,141.3,,41.3,115.2,9.0,1016.5,65.0,183.8,20.0,-19.0,37.1,89.0,-80.0,56.7,29.7,,27.7,-13.0,,34.7,30.7,161.0,46.0,133.4,83.0,105.6,,56.0,70.0,40.0,66.9,47.0,,123.1,29.0,False,True,False,False,False,False,True,False,False,False,True,False,False,,True,,False,,False,False,True,False,False,False,True,True,False,False,False,False,True,,True,True,,False,True,False,False,False,False,False,,False,False,False,False,False,,False,True
Connecticut,7704,7786.7,7840.6,7667.7,7814.8,7794.0,7807.0,7742.0,7715.0,7675.0,7719.3,7660.0,7699.0,7747.0,7818.3,,7799.0,,7783.9,,7760.7,7746.0,7818.0,7970.7,7837.0,7812.5,7689.9,7726.0,7699.6,7758.0,,7778.1,7754.9,,7724.4,7681.0,,7737.7,7704.4,7910.0,7735.0,7592.0,7658.0,7726.2,,7773.0,7712.7,7721.0,7742.6,7706.0,,7693.4,7718.0,82.7,136.6,-36.3,110.8,90.0,103.0,38.0,11.0,-29.0,15.3,-44.0,-5.0,43.0,114.3,,95.0,,79.9,,56.7,42.0,114.0,266.7,133.0,108.5,-14.1,22.0,-4.4,54.0,,74.1,50.9,,20.4,-23.0,,33.7,0.4,206.0,31.0,-112.0,-46.0,22.2,,69.0,8.7,17.0,38.6,2.0,,-10.6,14.0,False,True,False,False,False,True,True,True,True,True,True,True,False,,False,,True,,True,True,False,False,False,False,True,True,True,True,,True,True,,True,True,,True,True,False,True,False,True,True,,True,True,True,True,True,,True,True
Delaware,1464,1378.1,1413.5,1384.2,1385.5,1489.0,1386.0,1404.0,1396.0,1418.0,1459.0,1419.0,1432.0,1403.0,1405.7,,1487.5,,1399.3,,1437.6,1397.4,1416.0,1435.4,1405.0,1447.9,1403.4,1380.0,1384.2,1416.0,1386.1,1441.5,1394.6,,1383.6,1412.0,,,1381.7,1436.0,1394.0,1400.4,1529.0,1406.5,,1444.6,1423.1,1389.0,1392.2,1387.0,,1411.0,1393.0,-85.9,-50.5,-79.8,-78.5,25.0,-78.0,-60.0,-68.0,-46.0,-5.0,-45.0,-32.0,-61.0,-58.3,,23.5,,-64.7,,-26.4,-66.6,-48.0,-28.6,-59.0,-16.1,-60.6,-84.0,-79.8,-48.0,-77.9,-22.5,-69.4,,-80.4,-52.0,,,-82.3,-28.0,-70.0,-63.6,65.0,-57.5,,-19.4,-40.9,-75.0,-71.8,-77.0,,-53.0,-71.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,,True,True
District of Columbia,1030,1024.7,1010.3,1031.4,1018.0,1026.0,1024.0,1031.0,1022.0,1034.0,1034.2,1037.0,1076.2,1041.0,1032.5,,1043.3,,1037.0,,1010.2,,1032.0,1031.1,1028.0,1027.8,1025.1,1011.0,1013.3,1036.0,,,1032.1,,1018.8,1021.0,,,1021.0,1045.0,1028.0,977.3,1051.0,1007.7,,,1016.0,1025.0,,1031.0,,1028.3,1029.0,-5.3,-19.7,1.4,-12.0,-4.0,-6.0,1.0,-8.0,4.0,4.2,7.0,46.2,11.0,2.5,,13.3,,7.0,,-19.8,,2.0,1.1,-2.0,-2.2,-4.9,-19.0,-16.7,6.0,,,2.1,,-11.2,-9.0,,,-9.0,15.0,-2.0,-52.7,21.0,-22.3,,,-14.0,-5.0,,1.0,,-1.7,-1.0,False,True,False,True,False,True,False,True,True,False,False,False,True,,False,,False,,False,,True,True,True,True,True,False,False,False,,,True,,False,False,,,False,False,True,False,False,False,,,False,True,,True,,True,True
Florida,31620,31999.0,31953.5,31677.4,32075.7,31793.0,32072.9,31632.0,31701.0,31328.0,31369.9,31390.0,30910.9,31774.0,32666.3,,31674.2,,31527.8,,31624.2,31867.6,31993.0,31251.7,31583.0,32074.3,31417.6,31763.0,31637.2,31541.0,31615.7,31546.7,31702.8,,32020.6,31650.5,,31980.0,31595.9,31440.0,31688.0,33504.1,31459.0,31821.4,,31566.8,31458.6,31573.0,31781.1,31701.0,,31141.6,31344.0,379.0,333.5,57.4,455.7,173.0,452.9,12.0,81.0,-292.0,-250.1,-230.0,-709.1,154.0,1046.3,,54.2,,-92.2,,4.2,247.6,373.0,-368.3,-37.0,454.3,-202.4,143.0,17.2,-79.0,-4.3,-73.3,82.8,,400.6,30.5,,360.0,-24.1,-180.0,68.0,1884.1,-161.0,201.4,,-53.2,-161.4,-47.0,161.1,81.0,,-478.4,-276.0,True,True,False,True,False,True,True,True,True,True,False,True,False,,True,,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,,True,True,True,True,False,True,True,,True,True,True,True,True,,False,True
