,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,17905,18540.3,18782.2,18386.8,18657.4,18107.0,18665.3,17881.0,17561.0,16675.0,17774.4,17391.0,17913.2,16910.0,18209.6,,16873.7,16286.0,17589.4,,17448.9,18946.0,16180.7,18309.0,16526.1,17476.9,16966.0,17946.9,18538.0,,17870.4,18333.0,18022.3,20243.5,,19547.4,17890.2,17302.0,17637.0,18675.8,16824.0,17532.8,,17924.6,17448.0,17877.6,17850.0,,15863.7,18960.0,635.3,877.2,481.8,752.4,202.0,760.3,-24.0,-344.0,-1230.0,-130.6,-514.0,8.2,-995.0,304.6,,-1031.3,-1619.0,-315.6,,-456.1,1041.0,-1724.3,404.0,-1378.9,-428.1,-939.0,41.9,633.0,,-34.6,428.0,117.3,2338.5,,1642.4,-14.8,-603.0,-268.0,770.8,-1081.0,-372.2,,19.6,-457.0,-27.4,-55.0,,-2041.3,1055.0,False,True,False,True,False,True,True,False,True,True,True,False,True,,False,False,True,,True,False,False,True,False,True,False,True,True,,True,True,True,False,,False,True,True,True,False,False,True,,True,True,True,True,,False,False
Hawaii,443,447.9,477.5,563.5,491.9,475.0,451.6,466.0,458.0,448.0,482.5,486.0,518.3,453.0,482.7,,,,555.9,,440.7,,586.0,468.0,557.6,441.3,444.0,459.6,575.0,,452.5,483.4,459.3,466.0,,,460.0,459.0,459.0,442.1,465.0,442.1,,468.2,452.0,468.9,448.0,,455.0,526.0,4.9,34.5,120.5,48.9,32.0,8.6,23.0,15.0,5.0,39.5,43.0,75.3,10.0,39.7,,,,112.9,,-2.3,,143.0,25.0,114.6,-1.7,1.0,16.6,132.0,,9.5,40.4,16.3,23.0,,,17.0,16.0,16.0,-0.9,22.0,-0.9,,25.2,9.0,25.9,5.0,,12.0,83.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,,True,,False,False,False,True,True,False,False,,False,False,False,False,,,False,False,False,True,False,True,,False,False,False,False,,False,False
Idaho,1879,1929.0,1936.2,1879.0,1938.5,1916.0,1935.0,1913.0,1878.0,1864.0,1933.9,1905.0,1866.0,1861.0,1972.4,,1849.1,,1980.0,,1905.6,2012.0,1851.0,1948.0,1998.7,1871.6,1856.0,1870.5,2043.0,1856.5,1908.1,1952.6,1878.2,1911.0,,,1897.1,1909.0,1917.0,1734.2,1855.0,1964.5,,1960.8,1862.0,1933.8,1875.0,,1921.8,1979.0,50.0,57.2,-0.0,59.5,37.0,56.0,34.0,-1.0,-15.0,54.9,26.0,-13.0,-18.0,93.4,,-29.9,,101.0,,26.6,133.0,-28.0,69.0,119.7,-7.4,-23.0,-8.5,164.0,-22.5,29.1,73.6,-0.8,32.0,,,18.1,30.0,38.0,-144.8,-24.0,85.5,,81.8,-17.0,54.8,-4.0,,42.8,100.0,False,True,False,True,False,True,True,True,False,True,True,True,False,,True,,False,,True,False,True,False,False,True,True,True,False,True,True,False,True,True,,,True,True,True,False,True,False,,False,True,False,True,,True,False
Illinois,23003,23608.7,23463.3,22884.2,23495.9,23290.0,23528.3,23133.0,23097.0,22911.0,23384.8,23090.0,22810.7,23133.0,24532.2,,23096.8,,23029.3,,23360.0,23804.0,24855.5,23093.0,21461.2,23191.6,22812.0,23185.8,24087.0,22463.4,23439.9,23699.1,23031.1,23129.0,,23425.8,23045.0,23605.0,23314.0,23023.9,22892.0,22689.9,,23461.8,23100.0,23355.5,22972.0,,21150.2,23249.0,605.7,460.3,-118.8,492.9,287.0,525.3,130.0,94.0,-92.0,381.8,87.0,-192.3,130.0,1529.2,,93.8,,26.3,,357.0,801.0,1852.5,90.0,-1541.8,188.6,-191.0,182.8,1084.0,-539.6,436.9,696.1,28.1,126.0,,422.8,42.0,602.0,311.0,20.9,-111.0,-313.1,,458.8,97.0,352.5,-31.0,,-1852.8,246.0,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,,True,,True,False,False,True,False,True,True,True,False,True,True,False,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,False,True
Indiana,12726,18925.7,12833.5,14041.2,18949.1,12596.0,18892.1,12888.0,12670.0,12163.0,13023.0,13902.0,10914.5,12992.0,13610.3,,13827.7,,13778.7,,10888.7,13320.0,11812.7,12621.0,12450.2,12358.1,12750.0,15070.9,13777.0,19779.7,12545.8,14140.1,12775.4,12763.0,,12539.3,12914.1,12905.0,13484.0,10954.4,12525.0,12704.4,,12705.5,12785.0,12497.4,12500.0,,12821.7,36452.0,6199.7,107.5,1315.2,6223.1,-130.0,6166.1,162.0,-56.0,-563.0,297.0,1176.0,-1811.5,266.0,884.3,,1101.7,,1052.7,,-1837.3,594.0,-913.3,-105.0,-275.8,-367.9,24.0,2344.9,1051.0,7053.7,-180.2,1414.1,49.4,37.0,,-186.7,188.1,179.0,758.0,-1771.6,-201.0,-21.6,,-20.5,59.0,-228.6,-226.0,,95.7,23726.0,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,True,False
Iowa,5552,5906.4,5739.4,5908.4,7100.7,5516.0,6935.5,5859.0,5670.0,5500.0,5793.7,5866.0,4901.9,5758.0,5690.8,,6188.9,,5818.0,,5513.7,6159.0,5545.0,,5620.4,5477.3,5960.0,5887.8,5854.0,6054.3,5691.3,5962.7,5691.1,5502.0,,6270.7,5661.4,5522.0,5879.0,4677.8,5985.0,6028.2,,5863.1,5504.0,,5960.0,,5647.1,6579.0,354.4,187.4,356.4,1548.7,-36.0,1383.5,307.0,118.0,-52.0,241.7,314.0,-650.1,206.0,138.8,,636.9,,266.0,,-38.3,607.0,-7.0,,68.4,-74.7,408.0,335.8,302.0,502.3,139.3,410.7,139.1,-50.0,,718.7,109.4,-30.0,327.0,-874.2,433.0,476.2,,311.1,-48.0,,408.0,,95.1,1027.0,True,False,False,True,False,True,True,True,True,True,False,True,True,,False,,True,,True,False,True,,True,True,False,True,True,False,True,False,True,True,,False,True,True,True,False,False,False,,True,True,,False,,True,False
Kansas,4768,5263.0,4591.2,4603.9,5450.8,4521.0,5307.1,4740.0,4761.0,4542.0,4556.5,4929.0,4389.3,4529.0,6639.7,,4903.1,,4877.5,,4351.6,4645.0,4707.1,4770.0,4608.6,4596.9,4966.0,4579.9,4680.0,4656.7,4772.3,4773.0,5251.1,4649.0,,,4722.3,4564.0,4740.0,5483.3,4640.0,5005.1,,4877.5,4528.0,4803.5,4455.0,,4599.5,5158.0,495.0,-176.8,-164.1,682.8,-247.0,539.1,-28.0,-7.0,-226.0,-211.5,161.0,-378.7,-239.0,1871.7,,135.1,,109.5,,-416.4,-123.0,-60.9,2.0,-159.4,-171.1,198.0,-188.1,-88.0,-111.3,4.3,5.0,483.1,-119.0,,,-45.7,-204.0,-28.0,715.3,-128.0,237.1,,109.5,-240.0,35.5,-313.0,,-168.5,390.0,True,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,False,True,True,,True,True,True,True,,True,True
Kentucky,4806,5231.3,5089.1,5098.9,5265.4,4856.0,5243.6,5071.0,4994.0,4457.0,4959.8,5293.0,4616.0,4702.0,4980.7,,4935.6,,5173.9,,5037.6,5513.0,5603.2,5134.0,5053.5,4844.7,5230.0,4948.5,5222.0,5230.8,5112.3,5053.4,5279.4,5220.0,,,4987.7,4706.0,4956.0,4419.0,4768.0,5117.2,,5165.0,4842.0,5237.8,4926.0,,4527.6,5364.0,425.3,283.1,292.9,459.4,50.0,437.6,265.0,188.0,-349.0,153.8,487.0,-190.0,-104.0,174.7,,129.6,,367.9,,231.6,707.0,797.2,328.0,247.5,38.7,424.0,142.5,416.0,424.8,306.3,247.4,473.4,414.0,,,181.7,-100.0,150.0,-387.0,-38.0,311.2,,359.0,36.0,431.8,120.0,,-278.4,558.0,True,True,False,True,False,True,True,True,True,False,True,True,True,,True,,True,,True,False,False,True,True,True,True,True,True,True,True,True,False,True,,,True,True,True,True,True,True,,True,True,False,True,,True,False
Louisiana,9716,10121.9,10428.6,9995.0,10208.9,10142.0,10177.0,9948.0,9881.0,9809.0,10067.6,10036.0,9877.3,10235.0,10845.0,,9856.1,,9927.1,,10005.1,10743.0,10614.0,10044.0,9886.0,9821.1,9756.0,9920.4,10446.0,10190.2,9873.0,10213.1,9802.7,10198.0,,10007.3,9743.0,10011.0,10006.0,10650.5,9765.0,10122.7,,9905.5,9880.0,10106.5,9799.0,,9704.2,9948.0,405.9,712.6,279.0,492.9,426.0,461.0,232.0,165.0,93.0,351.6,320.0,161.3,519.0,1129.0,,140.1,,211.1,,289.1,1027.0,898.0,328.0,170.0,105.1,40.0,204.4,730.0,474.2,157.0,497.1,86.7,482.0,,291.3,27.0,295.0,290.0,934.5,49.0,406.7,,189.5,164.0,390.5,83.0,,-11.8,232.0,False,True,False,False,False,True,True,True,True,True,True,False,False,,True,,True,,True,False,False,True,True,True,True,True,False,False,True,False,True,False,,True,True,True,True,False,True,False,,True,True,True,True,,True,True
Maine,704,808.6,849.4,793.3,793.4,764.0,810.0,779.0,767.0,740.0,816.1,719.0,832.5,726.0,791.3,,730.3,,824.1,,785.7,900.0,683.1,830.0,954.1,766.3,705.0,730.2,858.0,,791.1,823.4,761.8,827.0,,,713.5,787.0,766.0,899.4,711.0,703.3,,842.8,729.0,761.8,746.0,,737.8,792.0,104.6,145.4,89.3,89.4,60.0,106.0,75.0,63.0,36.0,112.1,15.0,128.5,22.0,87.3,,26.3,,120.1,,81.7,196.0,-20.9,126.0,250.1,62.3,1.0,26.2,154.0,,87.1,119.4,57.8,123.0,,,9.5,83.0,62.0,195.4,7.0,-0.7,,138.8,25.0,57.8,42.0,,33.8,88.0,False,True,True,True,False,True,True,True,False,True,False,True,True,,True,,False,,True,False,True,False,False,True,True,True,False,,True,False,True,False,,,True,True,True,False,True,True,,False,True,True,True,,True,True
Maryland,7941,8205.3,8308.2,8078.9,8241.0,8171.0,8217.0,8105.0,8055.0,7979.0,8134.0,7985.0,7905.4,8131.0,8397.7,,8112.5,,8153.1,,8183.3,8077.0,8284.8,8106.0,8166.5,8118.7,7859.0,7988.5,8288.0,7912.7,8209.5,8292.1,7973.0,8176.0,,8117.0,8181.5,8148.0,7997.0,7939.5,7865.0,8041.5,,8258.5,7921.0,8012.1,7941.0,,7776.2,8109.0,264.3,367.2,137.9,300.0,230.0,276.0,164.0,114.0,38.0,193.0,44.0,-35.6,190.0,456.7,,171.5,,212.1,,242.3,136.0,343.8,165.0,225.5,177.7,-82.0,47.5,347.0,-28.3,268.5,351.1,32.0,235.0,,176.0,240.5,207.0,56.0,-1.5,-76.0,100.5,,317.5,-20.0,71.1,0.0,,-164.8,168.0,False,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,False,True,True,True,True,True,False,True,False,False,True,True,,True,True,True,True,True,True,True,,False,True,True,True,,True,True
Massachusetts,16374,16626.7,16494.1,16233.1,16442.3,16385.0,16480.2,16281.0,16084.0,16281.0,16305.3,16103.0,16069.4,16312.0,16881.2,,16297.7,,15965.1,,16263.6,16492.0,16819.7,16156.0,16066.3,15871.6,16033.0,16309.9,16315.0,17259.7,16397.7,16839.1,16205.8,16815.0,,16208.9,16316.7,16757.0,16332.0,18958.1,16098.0,15923.7,,16434.4,16342.0,16517.8,16116.0,,15673.5,16316.0,252.7,120.1,-140.9,68.3,11.0,106.2,-93.0,-290.0,-93.0,-68.7,-271.0,-304.6,-62.0,507.2,,-76.3,,-408.9,,-110.4,118.0,445.7,-218.0,-307.7,-502.4,-341.0,-64.1,-59.0,885.7,23.7,465.1,-168.2,441.0,,-165.1,-57.3,383.0,-42.0,2584.1,-276.0,-450.3,,60.4,-32.0,143.8,-258.0,,-700.5,-58.0,True,True,True,True,True,True,False,True,True,False,False,True,False,,True,,False,,True,True,False,True,False,False,False,True,True,False,True,False,True,False,,True,True,False,True,False,False,False,,True,True,True,False,,False,True
Michigan,16658,17123.0,17046.3,16740.3,17327.3,16740.0,17169.8,16872.0,16821.0,16994.0,17108.4,17430.0,16611.5,17004.0,18333.4,,16862.6,,16749.8,,16530.2,17340.0,18765.4,16766.0,17109.1,16762.5,16665.0,16688.1,17109.0,17487.1,16893.4,17052.7,16896.6,16821.0,,16820.2,16633.2,,16735.0,16673.0,16501.0,16620.8,,16915.4,16711.0,17394.5,16711.0,,16986.7,17570.0,465.0,388.3,82.3,669.3,82.0,511.8,214.0,163.0,336.0,450.4,772.0,-46.5,346.0,1675.4,,204.6,,91.8,,-127.8,682.0,2107.4,108.0,451.1,104.5,7.0,30.1,451.0,829.1,235.4,394.7,238.6,163.0,,162.2,-24.8,,77.0,15.0,-157.0,-37.2,,257.4,53.0,736.5,53.0,,328.7,912.0,True,True,False,True,False,True,True,True,True,False,True,True,False,,True,,True,,True,False,False,True,True,True,True,True,True,False,True,True,True,True,,True,True,,True,True,True,True,,True,True,False,True,,True,False
Minnesota,6614,6748.9,6653.1,6551.3,6774.3,6728.0,6765.1,6716.0,6665.0,6720.0,6815.3,6796.0,6611.3,6680.0,6938.1,,6765.1,,6631.2,,6632.3,6847.0,8066.0,6780.0,6925.6,6636.4,6526.0,6708.7,6737.0,6478.6,6660.5,6801.4,6656.0,6708.0,,6801.0,6613.7,6823.0,6716.0,5761.8,6689.0,7193.8,,6710.6,6678.0,6726.0,6696.0,,6780.7,6757.0,134.9,39.1,-62.7,160.3,114.0,151.1,102.0,51.0,106.0,201.3,182.0,-2.7,66.0,324.1,,151.1,,17.2,,18.3,233.0,1452.0,166.0,311.6,22.4,-88.0,94.7,123.0,-135.4,46.5,187.4,42.0,94.0,,187.0,-0.3,209.0,102.0,-852.2,75.0,579.8,,96.6,64.0,112.0,82.0,,166.7,143.0,True,True,False,True,False,True,True,True,False,False,True,True,False,,False,,True,,True,False,False,False,False,True,True,True,True,False,True,False,True,True,,False,True,False,True,False,True,False,,True,True,True,True,,False,False
Mississippi,6805,7133.0,6944.5,7065.7,7231.7,7130.0,7257.8,7020.0,6920.0,6633.0,7082.8,7036.0,7029.0,6966.0,7370.5,,6894.0,,6929.3,,6954.8,7098.0,7108.5,7124.0,6785.3,6915.0,6706.5,6865.6,7352.0,7027.3,7142.3,7233.5,6944.0,7188.0,,7254.0,6925.0,7011.0,7048.0,6692.0,6689.0,7138.0,,7185.1,6960.0,7020.9,6951.0,,6835.1,7209.0,328.0,139.5,260.7,426.7,325.0,452.8,215.0,115.0,-172.0,277.8,231.0,224.0,161.0,565.5,,89.0,,124.3,,149.8,293.0,303.5,319.0,-19.7,110.0,-98.5,60.6,547.0,222.3,337.3,428.5,139.0,383.0,,449.0,120.0,206.0,243.0,-113.0,-116.0,333.0,,380.1,155.0,215.9,146.0,,30.1,404.0,True,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,True,True,True,True,True,True,False,True,False,False,True,False,,False,True,True,True,True,True,False,,False,True,True,True,,True,False
Missouri,8512,9022.7,8784.2,8374.4,9067.8,8104.0,9059.1,8364.0,8313.0,7964.0,8204.4,8307.0,7767.8,8188.0,8589.4,,8570.0,,8206.3,,7544.7,8829.0,7403.4,8488.0,7910.5,8169.7,8023.5,8242.7,8364.0,8652.0,8408.9,8500.9,8697.5,8410.0,,8115.9,8343.3,8086.0,8286.0,7787.9,8006.0,7860.1,,8581.7,8171.0,8381.2,7917.0,,7687.4,8593.0,535.7,297.2,-112.6,580.8,-383.0,572.1,-123.0,-174.0,-523.0,-282.6,-180.0,-719.2,-299.0,102.4,,83.0,,-280.7,,-942.3,342.0,-1083.6,1.0,-576.5,-317.3,-463.5,-244.3,-123.0,165.0,-78.1,13.9,210.5,-77.0,,-371.1,-143.7,-401.0,-201.0,-699.1,-481.0,-626.9,,94.7,-316.0,-105.8,-570.0,,-799.6,106.0,True,True,False,True,False,True,True,True,True,True,False,True,True,,True,,True,,False,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,False,,True,True,True,False,,False,True
Montana,1379,1626.4,1544.7,1582.4,1649.6,1562.0,1632.0,1497.0,1485.0,1417.0,1453.5,1676.0,1404.7,1408.0,1514.1,,1646.7,,1514.2,,1520.1,1484.0,1631.7,1551.0,1470.4,1423.7,1423.0,1491.9,1497.0,1555.5,1540.3,1554.8,1540.8,1597.5,,,1431.8,,1476.0,1083.2,1451.0,1597.1,,1590.3,1437.0,1497.8,1461.0,,1455.7,1598.0,247.4,165.7,203.4,270.6,183.0,253.0,118.0,106.0,38.0,74.5,297.0,25.7,29.0,135.1,,267.7,,135.2,,141.1,105.0,252.7,172.0,91.4,44.7,44.0,112.9,118.0,176.5,161.3,175.8,161.8,218.5,,,52.8,,97.0,-295.8,72.0,218.1,,211.3,58.0,118.8,82.0,,76.7,219.0,True,True,False,True,False,True,True,True,True,False,True,True,True,,False,,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,False,True,True,,True,True,True,True,,True,True
Nebraska,2113,2153.1,2066.1,2027.3,2171.0,2125.0,2160.3,2127.0,2104.0,2083.0,2174.3,2083.0,2069.4,2071.0,2212.1,,2128.3,,2143.3,,2122.3,2192.0,2129.4,2156.0,2249.6,2088.8,2074.5,2077.2,2225.0,2001.0,2116.5,2164.5,2109.9,2120.0,,,2073.9,2135.0,2125.0,1806.6,2069.0,2145.0,,2170.5,2087.0,2137.7,2081.0,,2114.8,2181.0,40.1,-46.9,-85.7,58.0,12.0,47.3,14.0,-9.0,-30.0,61.3,-30.0,-43.6,-42.0,99.1,,15.3,,30.3,,9.3,79.0,16.4,43.0,136.6,-24.2,-38.5,-35.8,112.0,-112.0,3.5,51.5,-3.1,7.0,,,-39.1,22.0,12.0,-306.4,-44.0,32.0,,57.5,-26.0,24.7,-32.0,,1.8,68.0,False,False,False,True,False,True,True,True,False,True,False,False,False,,True,,True,,True,False,True,False,False,True,True,True,False,False,True,False,True,True,,,True,True,True,False,False,True,,False,True,True,True,,True,False
Nevada,5036,5484.3,5478.3,5247.8,5402.0,5051.0,5423.9,5213.0,5094.0,5093.0,5178.4,5166.0,4959.1,5251.0,5502.3,,5229.5,,5044.1,,5074.5,5425.0,4651.2,5269.0,4904.1,4959.2,5174.0,5145.1,5382.0,5235.5,5237.2,5307.7,5237.4,5356.0,,5391.8,5123.4,4966.0,5048.0,4813.9,4986.0,5282.4,,5274.5,5024.0,5132.7,5030.0,,5044.9,5293.0,448.3,442.3,211.8,366.0,15.0,387.9,177.0,58.0,57.0,142.4,130.0,-76.9,215.0,466.3,,193.5,,8.1,,38.5,389.0,-384.8,233.0,-131.9,-76.8,138.0,109.1,346.0,199.5,201.2,271.7,201.4,320.0,,355.8,87.4,-70.0,12.0,-222.1,-50.0,246.4,,238.5,-12.0,96.7,-6.0,,8.9,257.0,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,True,True
New Hampshire,1181,1285.3,1281.5,1289.4,1314.1,1273.0,1322.1,1288.0,1250.0,1226.0,1290.3,1258.0,1280.8,1267.0,1377.8,,1265.5,,1287.5,,1299.5,1276.0,1331.0,1312.0,1393.6,1222.1,1238.0,1236.4,1320.0,,1311.1,1360.9,1260.5,1307.0,,,1262.7,1293.0,1315.0,1387.9,1213.0,1259.3,,1366.7,1255.0,1291.7,1277.0,,1200.4,1291.0,104.3,100.5,108.4,133.1,92.0,141.1,107.0,69.0,45.0,109.3,77.0,99.8,86.0,196.8,,84.5,,106.5,,118.5,95.0,150.0,131.0,212.6,41.1,57.0,55.4,139.0,,130.1,179.9,79.5,126.0,,,81.7,112.0,134.0,206.9,32.0,78.3,,185.7,74.0,110.7,96.0,,19.4,110.0,True,False,False,True,False,False,True,True,False,True,True,True,False,,True,,False,,False,True,False,False,False,True,True,True,False,,False,False,True,False,,,True,False,False,False,True,True,,False,True,False,True,,True,False
New Jersey,23557,23936.9,23796.4,23484.1,23958.1,23907.0,24000.0,23659.0,23521.0,23967.0,23607.8,23421.0,23568.3,24017.0,24169.6,,23507.0,,23790.0,,23583.8,23673.0,24981.6,23772.0,23636.2,23527.7,23404.0,23697.1,23835.0,23400.6,23698.3,24139.7,23525.4,22843.0,,23379.0,23550.1,24765.0,23797.0,22016.7,23330.0,23945.5,,23722.2,23156.0,23864.7,23584.0,,22703.3,24076.0,379.9,239.4,-72.9,401.1,350.0,443.0,102.0,-36.0,410.0,50.8,-136.0,11.3,460.0,612.6,,-50.0,,233.0,,26.8,116.0,1424.6,215.0,79.2,-29.3,-153.0,140.1,278.0,-156.4,141.3,582.7,-31.6,-714.0,,-178.0,-6.9,1208.0,240.0,-1540.3,-227.0,388.5,,165.2,-401.0,307.7,27.0,,-853.7,519.0,True,True,False,True,False,True,True,False,True,True,True,False,False,,True,,True,,True,True,False,True,True,True,True,True,True,True,True,False,True,False,,True,True,False,True,False,True,False,,True,False,True,True,,False,False
New Mexico,3796,3846.4,3856.6,3782.5,3821.7,3721.0,3870.1,3767.0,3743.0,3713.0,3831.6,3770.0,3725.4,3854.0,3901.3,,3746.4,,3787.2,,3807.5,3946.0,4168.5,3991.0,3704.2,3763.7,3624.0,3686.1,3900.0,3982.8,3744.6,3895.4,3710.5,3852.0,,,3763.3,,3771.0,3533.1,3659.0,3669.6,,3795.8,3736.0,3818.8,3680.0,,3752.2,3754.0,50.4,60.6,-13.5,25.7,-75.0,74.1,-29.0,-53.0,-83.0,35.6,-26.0,-70.6,58.0,105.3,,-49.6,,-8.8,,11.5,150.0,372.5,195.0,-91.8,-32.3,-172.0,-109.9,104.0,186.8,-51.4,99.4,-85.5,56.0,,,-32.7,,-25.0,-262.9,-137.0,-126.4,,-0.2,-60.0,22.8,-116.0,,-43.8,-42.0,False,True,True,False,False,True,False,False,True,True,False,False,False,,True,,True,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,,,True,,True,False,False,False,,True,False,True,False,,True,True
New York,48247,49486.9,49010.3,48593.0,49407.0,49318.0,49512.2,48836.0,48455.0,48536.0,49078.4,47164.0,48001.9,48934.0,50248.1,,48349.4,,49053.9,,49597.7,48223.0,48499.8,49794.0,49288.2,48186.7,47599.0,49046.3,49548.0,45865.6,48695.7,49571.2,49221.1,51084.0,,47808.1,49051.2,51348.0,49213.0,46349.6,47720.0,49647.6,,48737.1,47888.0,48700.5,48277.0,,45569.3,48483.0,1239.9,763.3,346.0,1160.0,1071.0,1265.2,589.0,208.0,289.0,831.4,-1083.0,-245.1,687.0,2001.1,,102.4,,806.9,,1350.7,-24.0,252.8,1547.0,1041.2,-60.3,-648.0,799.3,1301.0,-2381.4,448.7,1324.2,974.1,2837.0,,-438.9,804.2,3101.0,966.0,-1897.4,-527.0,1400.6,,490.1,-359.0,453.5,30.0,,-2677.7,236.0,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,,True,,False,True,True,False,True,True,True,True,False,False,True,False,True,False,,True,True,False,True,False,True,False,,True,True,True,True,,False,True
