,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,10149,6627.6,8460.7,7450.7,7640.0,5090.3,-3521.4,-1688.3,-2698.3,-2509.0,-5058.7,True,True,True,False
Alaska,305,567.3,557.7,339.7,,507.3,262.3,252.7,34.7,,202.3,True,True,,True
Arizona,16323,12182.9,14505.2,11833.7,12461.0,10503.7,-4140.1,-1817.8,-4489.3,-3862.0,-5819.3,True,False,True,False
Arkansas,5297,6324.3,4833.1,4173.3,6495.0,6914.1,1027.3,-463.9,-1123.7,1198.0,1617.1,True,False,False,False
California,54134,34225.1,47087.8,48568.4,34052.0,33105.0,-19902.9,-7040.2,-5559.6,-20076.0,-21023.0,True,True,False,False
Colorado,5986,11096.0,7809.7,6959.9,11076.0,6342.3,5110.0,1823.7,973.9,5090.0,356.3,True,True,True,True
Connecticut,7704,7936.0,8463.3,8247.0,8006.0,6591.6,232.0,759.3,543.0,302.0,-1112.4,False,False,False,False
Delaware,1464,1088.7,1300.5,1172.5,1324.0,1240.5,-291.3,-79.5,-207.5,-56.0,-139.5,True,True,True,True
District of Columbia,1030,928.4,1052.3,1008.5,918.0,818.5,-101.6,22.3,-21.5,-112.0,-211.5,True,True,False,False
Florida,31620,28035.6,30541.8,29218.6,27676.0,26835.0,-3584.4,-1078.2,-2401.4,-3944.0,-4785.0,True,True,False,False
Georgia,17905,13277.4,14653.8,15354.8,14652.0,12626.7,-4627.6,-3251.2,-2550.2,-3253.0,-5278.3,True,True,True,False
Hawaii,443,416.3,372.0,531.2,,302.7,-26.7,-71.0,88.2,,-140.3,False,False,,False
Idaho,1879,2835.0,2309.5,2096.2,2864.0,2260.5,956.0,430.5,217.2,985.0,381.5,True,True,False,True
Illinois,23003,29840.3,23261.7,23824.5,28747.0,25127.5,6837.3,258.7,821.5,5744.0,2124.5,True,True,True,True
Indiana,12726,13480.6,12930.7,10569.0,14193.0,11305.5,1638.6,1088.7,-1273.0,2351.0,-536.5,True,True,False,True
Iowa,5552,9042.7,4324.2,4184.3,8470.0,5435.0,3490.7,-1227.8,-1367.7,2918.0,-117.0,True,True,True,True
Kansas,4768,5463.1,4016.1,4493.6,5624.0,4788.0,695.1,-751.9,-274.4,856.0,20.0,False,True,False,True
Kentucky,4806,3807.7,4760.4,4127.6,4595.0,4134.3,-998.3,-45.6,-678.4,-211.0,-671.7,True,True,True,True
Louisiana,9716,9592.6,10246.9,9096.1,9795.0,9772.6,-123.4,530.9,-619.9,79.0,56.6,False,False,True,True
Maine,704,612.7,829.4,707.7,993.0,386.8,-91.3,125.4,3.7,289.0,-317.2,False,True,False,False
Maryland,7941,8330.3,9011.2,9558.2,8056.0,7478.3,389.3,1070.2,1617.2,115.0,-462.7,False,False,True,False
Massachusetts,16374,15439.7,17091.9,14505.2,16247.0,14208.7,-934.3,717.9,-1868.8,-127.0,-2165.3,True,False,True,False
Michigan,16658,21558.1,18721.3,17956.0,21166.0,14710.3,4900.1,2063.3,1298.0,4508.0,-1947.7,True,True,True,True
Minnesota,6614,9957.3,8424.7,7086.7,11546.0,9497.7,3343.3,1810.7,472.7,4932.0,2883.7,True,True,False,True
Mississippi,6805,7021.0,7037.2,5406.1,6915.0,7207.9,216.0,232.2,-1398.9,110.0,402.9,False,False,True,False
Missouri,8512,8462.6,7368.9,7161.0,10660.0,6013.7,-20.4,-1114.1,-1322.0,2177.0,-2469.3,False,False,False,False
Montana,1379,1790.3,1388.7,1185.1,2106.0,1855.4,411.3,9.7,-193.9,727.0,476.4,True,True,False,False
Nebraska,2113,3365.0,2780.7,2507.4,3870.0,1904.0,1252.0,667.7,394.4,1757.0,-209.0,True,True,False,True
Nevada,5036,5195.0,5802.0,4630.1,4856.0,5071.4,159.0,766.0,-405.9,-180.0,35.4,False,False,False,True
New Hampshire,1181,1065.4,1236.9,1747.7,1436.0,946.2,-115.6,55.9,566.7,255.0,-234.8,True,False,False,False
New Jersey,23557,22849.6,23004.3,23097.7,22138.0,23928.5,-707.4,-552.7,-459.3,-1419.0,371.5,True,True,False,True
New Mexico,3796,4423.3,4478.9,4344.8,4553.0,2385.4,627.3,682.9,548.8,757.0,-1410.6,False,True,False,False
New York,48247,42659.4,49526.9,46064.1,42922.0,43985.0,-5524.6,1342.9,-2119.9,-5262.0,-4199.0,True,True,True,True
North Carolina,11502,9143.0,11228.7,10161.5,10715.0,8689.0,-2359.0,-273.3,-1340.5,-787.0,-2813.0,True,True,True,False
North Dakota,1479,2729.0,1621.8,1372.5,3188.0,2060.2,1250.0,142.8,-106.5,1709.0,581.2,True,True,False,True
Ohio,18295,13811.9,17019.5,14952.0,17649.0,17381.4,-1702.1,1505.5,-562.0,2135.0,1867.4,True,True,False,False
Oklahoma,4534,4056.0,3954.4,3132.4,4996.0,4339.7,-478.0,-579.6,-1401.6,462.0,-194.3,False,False,True,True
Oregon,2296,2601.6,3195.4,4975.2,2781.0,3067.1,305.6,899.4,2679.2,485.0,771.1,False,False,False,False
