location,actual_deaths,Baseline,error-Baseline
Alabama,10149,3963.9,-6185.1
Alaska,305,307.4,2.4
Arizona,16323,8960.1,-7362.9
Arkansas,5297,4210.9,-1086.1
California,54134,29091.7,-25042.3
Colorado,5986,2658.1,-3327.9
Connecticut,7704,4706.7,-2997.3
Delaware,1464,907.3,-543.7
District of Columbia,1030,715.4,-314.6
Florida,31620,30854.9,-765.1
Georgia,17905,14808.9,-3096.1
Hawaii,443,406.3,-36.7
Idaho,1879,848.6,-1030.4
Illinois,23003,12479.3,-10523.7
Indiana,12726,5271.4,-7441.6
Iowa,5552,2481.7,-3070.3
Kansas,4768,1549.3,-3218.7
Kentucky,4806,2208.4,-2597.6
Louisiana,9716,7682.1,-2033.9
Maine,704,162.9,-541.1
Maryland,7941,5215.0,-2726.0
Massachusetts,16374,11552.6,-4821.4
Michigan,16658,8758.3,-7899.7
Minnesota,6614,3042.9,-3571.1
Mississippi,6805,5410.4,-1394.6
Missouri,8512,7241.6,-1241.4
Montana,1379,538.7,-840.3
Nebraska,2113,1110.0,-1003.0
Nevada,5036,2819.3,-2216.7
New Hampshire,1181,461.9,-719.1
New Jersey,23557,16997.4,-6559.6
New Mexico,3796,1350.0,-2446.0
New York,48247,34136.7,-13948.3
North Carolina,11502,7966.7,-3535.3
North Dakota,1479,1122.4,-356.6
Ohio,18295,7621.0,-11050.0
Oklahoma,4534,2377.4,-2156.6
Oregon,2296,931.6,-1364.4
Pennsylvania,24306,10966.0,-13340.0
Rhode Island,2541,1541.3,-985.7
South Carolina,8719,6228.9,-2490.1
South Dakota,1898,583.7,-1314.3
Tennessee,11543,6011.3,-5531.7
Texas,45249,30762.1,-14202.9
Utah,1975,750.1,-1224.9
Vermont,208,58.0,-150.0
Virginia,9519,6448.4,-3068.6
Washington,5041,3540.0,-1520.0
West Virginia,2323,910.4,-1412.6
Wisconsin,7103,2172.4,-4841.6
Wyoming,682,72.9,-609.1
US,525162,324687.4,-200260.6
