,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,10149,12681.1,12238.4,12111.6,,9457.1,10069.0,,,8779.5,12461.0,8344.8,8945.8,8954.5,11107.0,13128.5,,11268.4,,11224.0,9043.5,2532.1,2089.4,1962.6,,-691.9,-80.0,,,-1369.5,2312.0,-1804.2,-1203.2,-1194.5,958.0,2979.5,,1119.4,,1075.0,-1105.5,True,True,,True,True,,,True,True,True,True,True,True,False,,True,,True,True
Alaska,305,276.6,278.1,280.4,,275.5,302.0,,,354.7,,460.2,345.8,289.3,276.0,320.0,,379.1,,279.0,295.8,-28.4,-26.9,-24.6,,-29.5,-3.0,,,49.7,,155.2,40.8,-15.7,-29.0,15.0,,74.1,,-26.0,-9.2,True,True,,False,True,,,False,,False,False,True,False,True,,False,,True,True
Arizona,16323,17404.0,17264.7,17739.1,,18183.0,17971.0,,,17053.1,19100.0,15610.0,15938.7,16130.7,15342.0,18331.0,,16099.3,,16729.0,14786.6,1081.0,941.7,1416.1,,1860.0,1648.0,,,730.1,2777.0,-713.0,-384.3,-192.3,-981.0,2008.0,,-223.7,,406.0,-1536.4,True,False,,False,False,,,True,False,True,True,True,True,False,,True,,True,False
Arkansas,5297,6140.6,6667.4,6212.8,,5815.0,5901.0,,,5976.5,6458.0,5587.1,5807.8,5744.7,5768.0,5859.5,,6256.9,,5773.0,5526.8,843.6,1370.4,915.8,,518.0,604.0,,,679.5,1161.0,290.1,510.8,447.7,471.0,562.5,,959.9,,476.0,229.8,False,False,,True,True,,,True,False,True,True,True,True,True,,False,,True,True
California,54134,59419.1,59160.2,59981.9,,53904.9,53398.0,,,53098.5,62276.0,42142.6,51744.9,50664.0,52762.5,70146.5,,54052.8,,51743.0,46786.2,5285.1,5026.2,5847.9,,-229.1,-736.0,,,-1035.5,8142.0,-11991.4,-2389.1,-3470.0,-1371.5,16012.5,,-81.2,,-2391.0,-7347.8,True,False,,True,True,,,True,False,False,True,True,True,False,,True,,True,False
Colorado,5986,6295.7,6118.6,6311.1,,6038.7,6378.0,,,6118.4,6602.0,8720.1,6589.8,6143.7,6008.0,6093.0,,6576.2,,6065.0,6245.4,309.7,132.6,325.1,,52.7,392.0,,,132.4,616.0,2734.1,603.8,157.7,22.0,107.0,,590.2,,79.0,259.4,True,False,,True,False,,,True,False,False,False,True,True,True,,False,,True,True
Connecticut,7704,8148.6,8194.4,8180.4,,8158.8,8224.0,,,8272.4,8207.0,8597.9,8141.4,8036.5,7972.0,7580.0,,7787.8,,7831.0,7409.9,444.6,490.4,476.4,,454.8,520.0,,,568.4,503.0,893.9,437.4,332.5,268.0,-124.0,,83.8,,127.0,-294.1,False,False,,False,False,,,False,False,False,True,True,True,True,,True,,True,True
Delaware,1464,1328.0,1377.2,1306.0,,1246.4,1213.0,,,1224.9,1271.0,1355.3,1372.1,1196.0,1205.0,1275.0,,1321.3,,1220.0,1193.9,79.0,128.2,57.0,,-2.6,-36.0,,,-24.1,22.0,106.3,123.1,-53.0,-44.0,26.0,,72.3,,-29.0,-55.1,False,True,,True,True,,,True,True,False,False,True,True,True,,True,,True,True
District of Columbia,1030,1112.1,1073.3,1104.0,,1045.4,1086.0,,,971.6,1083.0,1337.2,1019.1,1037.7,1088.0,1125.0,,1067.4,,1044.0,956.8,82.1,43.3,74.0,,15.4,56.0,,,-58.4,53.0,307.2,-10.9,7.7,58.0,95.0,,37.4,,14.0,-73.2,True,True,,True,True,,,True,True,False,True,True,True,False,,True,,True,True
Florida,31620,32239.6,34337.3,32339.5,,30715.9,31224.0,,,31381.1,32904.0,28764.0,34383.8,30390.5,31386.0,32169.5,,30642.7,,30841.0,28895.0,619.6,2717.3,719.5,,-904.1,-396.0,,,-238.9,1284.0,-2856.0,2763.8,-1229.5,-234.0,549.5,,-977.3,,-779.0,-2725.0,False,False,,False,True,,,True,False,False,False,False,True,True,,False,,False,False
Georgia,17905,18802.6,19143.9,18944.9,,17739.6,16126.0,,,17950.4,19114.0,15172.4,16515.1,17468.8,20135.5,19992.0,,17545.5,,18066.0,15129.8,897.6,1238.9,1039.9,,-165.4,-1779.0,,,45.4,1209.0,-2732.6,-1389.9,-436.2,2230.5,2087.0,,-359.5,,161.0,-2775.2,False,False,,True,False,,,True,False,False,False,True,False,False,,True,,True,False
