,actual_deaths,Baseline,IowaStateLW-STEM,error-Baseline,error-IowaStateLW-STEM,beat_baseline-IowaStateLW-STEM
Alabama,10149,5848.6,4992.0,-4300.4,-5157.0,False
Alaska,305,320.0,,15.0,,
Arizona,16323,8490.3,7966.0,-7832.7,-8357.0,False
Arkansas,5297,3737.0,4492.0,-1560.0,-805.0,True
California,54134,22844.7,21549.0,-31286.3,-32582.0,False
Colorado,5986,4956.3,4658.0,-1029.7,-1328.0,False
Connecticut,7704,5783.6,5520.0,-1920.4,-2184.0,False
Delaware,1464,1021.4,964.0,-409.6,-467.0,False
District of Columbia,1030,755.1,695.0,-274.9,-335.0,False
Florida,31620,23813.3,21750.0,-7806.7,-9870.0,False
Georgia,17905,13856.9,12280.0,-4048.1,-5625.0,False
Hawaii,443,237.9,,-205.1,,
Idaho,1879,1916.6,2040.0,37.6,161.0,False
Illinois,23003,21056.9,20192.0,-1946.1,-2811.0,False
Indiana,12726,9365.9,10181.0,-3010.1,-2195.0,True
Iowa,5552,4272.4,4548.0,-1279.6,-1004.0,True
Kansas,4768,2531.9,2691.0,-2164.1,-2005.0,True
Kentucky,4806,3183.3,3032.5,-1622.7,-1773.5,False
Louisiana,9716,7468.9,7393.0,-2236.1,-2312.0,False
Maine,704,371.1,304.0,-332.9,-400.0,False
Maryland,7941,5729.1,5167.0,-2211.9,-2774.0,False
Massachusetts,16374,13183.3,13725.0,-3190.7,-2649.0,True
Michigan,16658,15210.4,15018.0,-1447.6,-1640.0,False
Minnesota,6614,6941.1,8440.0,327.1,1826.0,False
Mississippi,6805,5128.7,5392.0,-1676.3,-1413.0,True
Missouri,8512,6907.3,6696.0,-1582.7,-1794.0,False
Montana,1379,1534.9,2005.0,155.9,626.0,False
Nebraska,2113,1984.1,2371.0,-128.9,258.0,False
Nevada,5036,2828.7,2642.0,-2207.3,-2394.0,False
New Hampshire,1181,657.6,815.0,-523.4,-366.0,True
New Jersey,23557,18738.4,18080.0,-4818.6,-5477.0,False
New Mexico,3796,2753.1,2798.0,-1042.9,-998.0,True
New York,48247,36077.6,36423.0,-12169.4,-11824.0,True
North Carolina,11502,7961.6,7501.0,-3540.4,-4001.0,False
North Dakota,1479,2274.1,2858.0,795.1,1379.0,False
Ohio,18295,8972.7,10752.0,-8838.3,-7059.0,True
Oklahoma,4534,2955.1,3466.0,-1578.9,-1068.0,True
Oregon,2296,1252.6,1343.0,-1043.4,-953.0,True
Pennsylvania,24306,13809.3,13306.0,-10496.7,-11000.0,False
Rhode Island,2541,1729.7,1704.0,-774.3,-800.0,False
South Carolina,8719,5317.1,5147.5,-3401.9,-3571.5,False
South Dakota,1898,2356.6,2553.0,458.6,655.0,False
Tennessee,11543,8618.4,9144.0,-2924.6,-2399.0,True
Texas,45249,32918.6,30708.0,-11952.4,-14163.0,False
Utah,1975,1653.6,2167.0,-321.4,192.0,True
Vermont,208,59.0,76.0,-149.0,-132.0,True
Virginia,9519,5274.7,5182.0,-4244.3,-4337.0,False
Washington,5041,3787.6,3600.0,-1267.4,-1455.0,False
West Virginia,2323,1818.9,1942.0,-504.1,-381.0,True
Wisconsin,7103,5621.1,6514.0,-1481.9,-589.0,True
Wyoming,682,619.7,604.0,-62.3,-78.0,False
US,525162,368624.1,368220.0,-155159.9,-155564.0,False
