location,actual_deaths,Baseline,error-Baseline
Alabama,10149,4874.9,-5274.1
Alaska,305,101.7,-203.3
Arizona,16323,6864.4,-9458.6
Arkansas,5297,4572.4,-724.6
California,54134,25589.3,-28544.7
Colorado,5986,3051.6,-2934.4
Connecticut,7704,4884.6,-2819.4
Delaware,1464,841.7,-601.3
District of Columbia,1030,762.1,-267.9
Florida,31620,29818.0,-1802.0
Georgia,17905,12713.7,-5191.3
Hawaii,443,440.1,-2.9
Idaho,1879,1028.4,-850.6
Illinois,23003,13192.9,-9810.1
Indiana,12726,6187.6,-6475.4
Iowa,5552,3026.3,-2525.7
Kansas,4768,2526.0,-2242.0
Kentucky,4806,2148.9,-2657.1
Louisiana,9716,7281.9,-2434.1
Maine,704,163.9,-540.1
Maryland,7941,4854.1,-3086.9
Massachusetts,16374,11564.6,-4809.4
Michigan,16658,9200.4,-7457.6
Minnesota,6614,3466.3,-3147.7
Mississippi,6805,4936.4,-1868.6
Missouri,8512,7388.0,-1111.0
Montana,1379,689.7,-689.3
Nebraska,2113,894.4,-1218.6
Nevada,5036,2453.6,-2582.4
New Hampshire,1181,727.1,-453.9
New Jersey,23557,16966.6,-6590.4
New Mexico,3796,1307.3,-2488.7
New York,48247,35150.3,-12921.7
North Carolina,11502,6606.6,-4895.4
North Dakota,1479,1651.0,172.0
Ohio,18295,6542.4,-12120.6
Oklahoma,4534,2078.3,-2455.7
Oregon,2296,1162.1,-1133.9
Pennsylvania,24306,11145.7,-13160.3
Rhode Island,2541,1380.3,-1136.7
South Carolina,8719,5616.9,-3102.1
South Dakota,1898,1078.6,-819.4
Tennessee,11543,6729.9,-4813.1
Texas,45249,30549.0,-14432.0
Utah,1975,1330.4,-644.6
Vermont,208,58.0,-150.0
Virginia,9519,5127.9,-4388.1
Washington,5041,3191.1,-1868.9
West Virginia,2323,823.0,-1500.0
Wisconsin,7103,3300.4,-3671.6
Wyoming,682,74.9,-607.1
US,525162,320034.0,-204815.0
