,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,10149,4883.7,6390.7,4285.0,,-5265.3,-3758.3,-5864.0,,True,False,
Alaska,305,350.9,518.7,,,45.9,213.7,,,False,,
Arizona,16323,7854.0,8434.1,6694.0,,-8469.0,-7888.9,-9629.0,,True,False,
Arkansas,5297,4565.1,4705.4,4472.0,,-731.9,-591.6,-825.0,,True,False,
California,54134,23260.3,27584.1,21498.0,,-30872.7,-26548.9,-32635.0,,True,False,
Colorado,5986,3448.7,6453.4,3223.0,,-2537.3,467.4,-2763.0,,True,False,
Connecticut,7704,5312.4,7365.4,4966.0,,-2391.6,-338.6,-2738.0,,True,False,
Delaware,1464,1227.9,1023.2,881.0,,-208.1,-412.8,-555.0,,False,False,
District of Columbia,1030,717.4,829.3,687.0,,-312.6,-200.7,-343.0,,True,False,
Florida,31620,23217.6,28396.7,21913.0,,-8402.4,-3223.3,-9707.0,,True,False,
Georgia,17905,11052.4,13012.9,11010.0,,-6852.6,-4892.1,-6895.0,,True,False,
Hawaii,443,344.0,594.2,,,-99.0,151.2,,,False,,
Idaho,1879,1647.9,1796.6,1438.0,,-231.1,-82.4,-441.0,,True,False,
Illinois,23003,15432.1,27789.0,14397.0,,-7570.9,4786.0,-8606.0,,True,False,
Indiana,12726,8542.6,12012.2,7834.0,,-4003.4,-533.8,-4712.0,,True,False,
Iowa,5552,3483.0,5671.0,3410.0,,-2069.0,119.0,-2142.0,,True,False,
Kansas,4768,2257.1,4700.9,2368.0,,-2506.9,-63.1,-2396.0,,True,True,
Kentucky,4806,2953.3,4547.6,3110.0,,-1852.7,-258.4,-1696.0,,True,True,
Louisiana,9716,7515.3,7597.4,7387.0,,-2200.7,-2118.6,-2329.0,,True,False,
Maine,704,164.9,210.0,294.0,,-539.1,-494.0,-410.0,,True,True,
Maryland,7941,5152.0,5794.1,4658.0,93777.0,-2789.0,-2146.9,-3283.0,85836.0,True,False,False
Massachusetts,16374,12673.7,16302.3,11842.0,,-3700.3,-71.7,-4532.0,,True,False,
Michigan,16658,10859.7,21050.1,11396.0,,-5798.3,4392.1,-5262.0,,True,True,
Minnesota,6614,4796.9,8153.8,5467.0,,-1817.1,1539.8,-1147.0,,True,True,
Mississippi,6805,5008.7,4719.5,4600.0,,-1796.3,-2085.5,-2205.0,,False,False,
Missouri,8512,6930.9,9847.2,5798.0,,-1563.1,1353.2,-2696.0,,True,False,
Montana,1379,1786.7,1987.3,1892.0,,407.7,608.3,513.0,,False,False,
Nebraska,2113,1689.7,2556.7,1628.0,,-423.3,443.7,-485.0,,False,False,
Nevada,5036,2366.3,3015.7,2268.0,,-2665.7,-2016.3,-2764.0,,True,False,
New Hampshire,1181,661.6,1052.3,765.0,,-519.4,-128.7,-416.0,,True,True,
New Jersey,23557,17586.1,18922.7,17269.0,,-5970.9,-4634.3,-6288.0,,True,False,
New Mexico,3796,2079.6,3260.5,1806.0,,-1716.4,-535.5,-1990.0,,True,False,
New York,48247,35552.9,43337.5,35036.0,,-12477.1,-4692.5,-12994.0,,True,False,
North Carolina,11502,8418.7,9114.0,8090.0,,-3083.3,-2388.0,-3412.0,,True,False,
North Dakota,1479,1870.3,2519.3,1969.0,,391.3,1040.3,490.0,,False,False,
Ohio,18295,7035.1,9074.3,8833.0,,-11239.9,-9200.7,-9442.0,,True,True,
Oklahoma,4534,3059.3,2925.3,3156.0,,-1474.7,-1608.7,-1378.0,,False,True,
Oregon,2296,1369.6,1507.8,1155.0,,-926.4,-788.2,-1141.0,,True,False,
Pennsylvania,24306,11588.7,16933.7,12208.0,,-12717.3,-7372.3,-12098.0,,True,True,
Rhode Island,2541,1629.6,3348.2,1621.0,,-892.4,826.2,-901.0,,True,False,
South Carolina,8719,6328.9,6845.6,5964.0,,-2390.1,-1873.4,-2755.0,,True,False,
South Dakota,1898,1544.1,2110.2,1506.0,,-353.9,212.2,-392.0,,True,False,
Tennessee,11543,7317.3,9667.0,6783.0,,-4225.7,-1876.0,-4760.0,,True,False,
Texas,45249,28269.9,30192.5,28756.0,47239.0,-16641.1,-14718.5,-16155.0,2328.0,True,True,True
Utah,1975,1364.0,2266.4,1489.0,,-611.0,291.4,-486.0,,True,True,
Vermont,208,58.0,78.3,60.0,,-150.0,-129.7,-148.0,,True,True,
Virginia,9519,5012.1,5801.8,5467.0,,-4506.9,-3717.2,-4052.0,,True,True,
Washington,5041,3616.0,5185.5,3339.0,,-1438.0,131.5,-1715.0,,True,False,
West Virginia,2323,1085.0,1056.7,1069.0,,-1238.0,-1266.3,-1254.0,,False,False,
Wisconsin,7103,6850.6,7767.1,5923.0,,63.6,980.1,-864.0,,False,False,
Wyoming,682,426.3,702.9,431.0,,-255.7,20.9,-251.0,,True,True,
US,525162,333887.9,496523.2,326934.0,311704.0,-190142.1,-27506.8,-197096.0,-212326.0,True,False,False
