,mean_rank
Microsoft-DeepSTIA,15.3
LNQ-ens1,15.4
COVIDhub-trained_ensemble,15.6
UMass-MechBayes,15.8
COVIDhub-ensemble,16.1
Karlen-pypm,16.9
LANL-GrowthRate,17.6
CovidAnalytics-DELPHI,17.7
epiforecasts-ensemble1,17.7
GT-DeepCOVID,17.9
OliverWyman-Navigator,18.0
BPagano-RtDriven,19.2
CMU-TimeSeries,19.5
USC-SI_kJalpha,19.6
MOBS-GLEAM_COVID,19.7
SteveMcConnell-CovidComplete,20.1
Caltech-CS156,20.2
JHU_CSSE-DECOM,20.2
UCSD_NEU-DeepGLEAM,20.7
Google_Harvard-CPF,20.7
COVIDhub-baseline,21.0
CEID-Walk,21.0
UMich-RidgeTfReg,21.0
PSI-DRAFT,21.3
AIpert-pwllnod,21.8
RobertWalraven-ESG,22.0
MIT_CritData-GBCF,22.3
UA-EpiCovDA,22.4
DDS-NBDS,22.5
Columbia_UNC-SurvCon,23.2
MIT_ISOLAT-Mixtures,23.3
CU-select,23.5
UCLA-SuEIR,23.9
IowaStateLW-STEM,24.1
Geneva-DetGrowth,25.0
UChicagoCHATTOPADHYAY-UnIT,25.4
SigSci-TS,25.4
JHU_IDD-CovidSP,26.0
IHME-CurveFit,27.6
JHUAPL-Bucky,29.6
Covid19Sim-Simulator,30.6
TTU-squider,36.1
