,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,10149,4955.1,6128.8,4634.0,-5193.9,-4020.2,-5515.0,True,False
Alaska,305,100.9,510.8,,-204.1,205.8,,False,
Arizona,16323,9282.6,9125.8,7681.0,-7040.4,-7197.2,-8642.0,False,False
Arkansas,5297,4225.9,5130.3,4539.0,-1071.1,-166.7,-758.0,True,True
California,54134,23063.9,28489.3,22058.0,-31066.1,-25640.7,-32072.0,True,False
Colorado,5986,4180.9,6736.7,3848.0,-1805.1,750.7,-2138.0,True,False
Connecticut,7704,5598.1,8175.3,5411.0,-2105.9,471.3,-2293.0,True,False
Delaware,1464,852.9,1346.6,934.0,-576.1,-82.4,-495.0,True,True
District of Columbia,1030,788.9,749.7,688.0,-241.1,-280.3,-342.0,False,False
Florida,31620,22717.6,34343.7,22432.0,-8902.4,2723.7,-9188.0,True,False
Georgia,17905,11784.6,12630.8,11135.0,-5666.4,-4820.2,-6316.0,True,False
Hawaii,443,254.7,472.1,,-188.3,29.1,,True,
Idaho,1879,1630.0,2160.3,1626.0,-249.0,281.3,-253.0,False,False
Illinois,23003,18342.9,32594.3,15421.0,-4660.1,9591.3,-7582.0,False,False
Indiana,12726,9096.1,13348.6,8237.0,-3370.9,881.6,-4230.0,True,False
Iowa,5552,3733.0,7466.0,3853.0,-1819.0,1914.0,-1699.0,False,True
Kansas,4768,2346.4,4821.5,2626.0,-2354.6,120.5,-2075.0,True,True
Kentucky,4806,2846.1,3786.1,2947.0,-1959.9,-1019.9,-1859.0,True,True
Louisiana,9716,7890.3,8077.2,7163.0,-1825.7,-1638.8,-2553.0,True,False
Maine,704,236.3,397.9,302.0,-467.7,-306.1,-402.0,True,True
Maryland,7941,5223.4,6370.8,5040.0,-2717.6,-1570.2,-2901.0,True,False
Massachusetts,16374,12441.6,16805.4,12058.0,-3932.4,431.4,-4316.0,True,False
Michigan,16658,12091.9,25151.5,11896.0,-4566.1,8493.5,-4762.0,False,False
Minnesota,6614,5761.1,9836.4,7170.0,-852.9,3222.4,556.0,False,True
Mississippi,6805,5044.4,4419.4,4642.0,-1760.6,-2385.6,-2163.0,False,False
Missouri,8512,5305.9,10341.8,6162.0,-3186.1,1849.8,-2330.0,True,True
Montana,1379,1804.6,2559.1,1985.0,425.6,1180.1,606.0,False,False
Nebraska,2113,1529.0,3177.9,1696.0,-584.0,1064.9,-417.0,False,True
Nevada,5036,3031.0,3106.2,2478.0,-2005.0,-1929.8,-2558.0,True,False
New Hampshire,1181,590.1,990.7,760.0,-590.9,-190.3,-421.0,True,True
New Jersey,23557,17693.3,19225.2,17948.0,-5863.7,-4331.8,-5609.0,True,True
New Mexico,3796,2668.9,3153.2,2305.0,-1127.1,-642.8,-1491.0,True,False
New York,48247,36448.4,58102.8,36087.0,-11798.6,9855.8,-12160.0,True,False
North Carolina,11502,8383.0,8670.4,7998.0,-3119.0,-2831.6,-3504.0,True,False
North Dakota,1479,2459.6,2563.9,2350.0,980.6,1084.9,871.0,False,True
Ohio,18295,9124.4,10478.2,9530.0,-8975.6,-7621.8,-8570.0,True,True
Oklahoma,4534,3005.7,3011.1,3586.0,-1528.3,-1522.9,-948.0,True,True
Oregon,2296,1387.4,2040.5,1309.0,-908.6,-255.5,-987.0,True,False
Pennsylvania,24306,12410.1,16374.9,12414.0,-11895.9,-7931.1,-11892.0,True,True
Rhode Island,2541,1611.7,3103.2,1661.0,-906.3,585.2,-857.0,True,True
South Carolina,8719,5721.7,6895.9,5704.0,-2997.3,-1823.1,-3015.0,True,False
South Dakota,1898,2204.9,2209.9,2000.0,306.9,311.9,102.0,False,True
Tennessee,11543,7674.4,8896.4,7022.0,-3868.6,-2646.6,-4521.0,True,False
Texas,45249,30680.6,34099.9,29681.0,-14217.4,-10798.1,-15217.0,True,False
Utah,1975,1417.6,2783.5,1758.0,-557.4,808.5,-217.0,False,True
Vermont,208,75.9,64.1,75.0,-132.1,-143.9,-133.0,False,False
Virginia,9519,4583.6,6100.4,5076.0,-4935.4,-3418.6,-4443.0,True,True
Washington,5041,3669.6,7741.9,3468.0,-1388.4,2683.9,-1590.0,False,False
West Virginia,2323,1245.7,1392.9,1532.0,-1077.3,-930.1,-791.0,True,True
Wisconsin,7103,6779.1,9993.1,6797.0,-65.9,3148.1,-48.0,False,True
Wyoming,682,569.1,950.9,542.0,-112.9,268.9,-140.0,False,False
US,525162,348412.4,602409.9,336058.0,-175099.6,78897.9,-187454.0,True,False
