location,actual_deaths,Baseline,error-Baseline
Alabama,10149,3803.9,-6345.1
Alaska,305,101.7,-203.3
Arizona,16323,7520.1,-8802.9
Arkansas,5297,3982.3,-1314.7
California,54134,27971.7,-26162.3
Colorado,5986,2658.1,-3327.9
Connecticut,7704,4775.3,-2928.7
Delaware,1464,907.3,-540.7
District of Columbia,1030,784.0,-246.0
Florida,31620,28637.7,-2982.3
Georgia,17905,11883.1,-6021.9
Hawaii,443,680.6,237.6
Idaho,1879,962.9,-916.1
Illinois,23003,13302.1,-9700.9
Indiana,12726,5728.6,-6951.4
Iowa,5552,2938.9,-2613.1
Kansas,4768,1892.1,-2867.9
Kentucky,4806,2345.6,-2460.4
Louisiana,9716,8025.0,-1691.0
Maine,704,185.7,-518.3
Maryland,7941,4460.7,-3480.3
Massachusetts,16374,11826.9,-4547.1
Michigan,16658,8872.6,-7785.4
Minnesota,6614,3728.6,-2885.4
Mississippi,6805,5067.6,-1737.4
Missouri,8512,5093.0,-3403.0
Montana,1379,493.0,-886.0
Nebraska,2113,1178.6,-934.4
Nevada,5036,2453.6,-2582.4
New Hampshire,1181,530.4,-650.6
New Jersey,23557,16791.7,-6765.3
New Mexico,3796,1372.9,-2423.1
New York,48247,34822.4,-13240.6
North Carolina,11502,7852.4,-3649.6
North Dakota,1479,1213.9,-265.1
Ohio,18295,8946.7,-9792.3
Oklahoma,4534,2034.6,-2499.4
Oregon,2296,1205.9,-1090.1
Pennsylvania,24306,10577.4,-13728.6
Rhode Island,2541,1358.4,-1167.6
South Carolina,8719,6228.9,-2490.1
South Dakota,1898,903.7,-994.3
Tennessee,11543,6948.4,-4594.6
Texas,45249,28887.9,-16080.1
Utah,1975,1024.4,-950.6
Vermont,208,58.0,-150.0
Virginia,9519,5739.9,-3776.1
Washington,5041,3060.0,-1996.0
West Virginia,2323,910.4,-1412.6
Wisconsin,7103,3475.3,-3551.7
Wyoming,682,118.6,-563.4
US,525162,318241.7,-206732.3
