,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,10149,7667.9,8809.5,7191.5,9574.0,6261.0,-2481.1,-1339.5,-2957.5,-575.0,-3888.0,True,False,True,False
Alaska,305,357.7,401.6,449.1,,426.7,52.7,96.6,144.1,,121.7,False,False,,False
Arizona,16323,12921.9,15878.8,14849.1,14752.0,10294.0,-3401.1,-444.2,-1473.9,-1571.0,-6029.0,True,True,True,False
Arkansas,5297,5897.0,6792.7,5763.2,6902.0,5769.5,600.0,1495.7,466.2,1605.0,472.5,False,True,False,True
California,54134,40122.4,63616.9,62480.7,42723.0,35024.1,-14004.6,9489.9,8353.7,-11404.0,-19102.9,True,True,True,False
Colorado,5986,6995.4,8007.4,8217.2,8412.0,6177.0,1009.4,2021.4,2231.2,2426.0,191.0,False,False,False,True
Connecticut,7704,7861.0,8919.2,7802.8,8115.0,6673.6,157.0,1215.2,98.8,411.0,-1030.4,False,True,False,False
Delaware,1464,1242.0,1371.9,1330.5,1464.0,1083.6,-87.0,42.9,1.5,135.0,-245.4,True,True,False,False
District of Columbia,1030,1073.6,1015.1,1042.9,962.0,986.1,43.6,-14.9,12.9,-68.0,-43.9,True,True,False,False
Florida,31620,27560.0,31828.0,31182.2,28110.0,26476.8,-4060.0,208.0,-437.8,-3510.0,-5143.2,True,True,True,False
Georgia,17905,13705.3,15185.3,15955.0,14808.0,13776.9,-4199.7,-2719.7,-1950.0,-3097.0,-4128.1,True,True,True,True
Hawaii,443,314.6,459.8,524.9,,342.8,-128.4,16.8,81.9,,-100.2,True,True,,True
Idaho,1879,2083.4,2614.8,2458.9,2223.0,1928.1,204.4,735.8,579.9,344.0,49.1,False,False,False,True
Illinois,23003,26493.3,24887.5,25794.8,25278.0,21494.5,3490.3,1884.5,2791.8,2275.0,-1508.5,True,True,True,True
Indiana,12726,12170.3,13384.7,11666.1,13250.0,10104.0,597.3,1811.7,93.1,1677.0,-1469.0,False,True,False,False
Iowa,5552,5281.7,6281.3,4184.3,6566.0,5400.6,-270.3,729.3,-1367.7,1014.0,-151.4,False,False,False,True
Kansas,4768,4099.9,4955.0,4989.9,5132.0,4599.9,-668.1,187.0,221.9,364.0,-168.1,True,True,True,True
Kentucky,4806,4112.4,4108.3,4200.9,4360.5,4219.3,-693.6,-697.7,-605.1,-445.5,-586.7,False,True,True,True
Louisiana,9716,9745.4,10184.8,9673.4,10974.0,9967.5,29.4,468.8,-42.6,1258.0,251.5,False,False,False,False
Maine,704,628.6,1362.5,858.1,828.0,436.6,-75.4,658.5,154.1,124.0,-267.4,False,False,False,False
Maryland,7941,8314.3,9297.5,9446.3,8867.0,7154.5,373.3,1356.5,1505.3,926.0,-786.5,False,False,False,False
Massachusetts,16374,15983.9,18461.2,16164.8,16978.0,13661.8,-390.1,2087.2,-209.2,604.0,-2712.2,False,True,False,False
Michigan,16658,18762.0,17512.2,18292.5,20667.0,15519.6,2104.0,854.2,1634.5,4009.0,-1138.4,True,True,False,True
Minnesota,6614,8133.6,7319.2,7761.2,9556.0,6706.4,1519.6,705.2,1147.2,2942.0,92.4,True,True,False,True
Mississippi,6805,6547.9,7953.8,6865.1,7411.0,6412.1,-257.1,1148.8,60.1,606.0,-392.9,False,True,False,False
Missouri,8512,9364.6,8882.6,8729.2,10052.0,6709.1,882.6,400.6,247.2,1570.0,-1772.9,True,True,False,False
Montana,1379,1505.6,1211.6,1335.2,1724.0,1673.0,126.6,-167.4,-43.8,345.0,294.0,False,True,False,False
Nebraska,2113,2278.6,2675.5,2751.8,2902.5,1901.2,165.6,562.5,638.8,789.5,-211.8,False,False,False,False
Nevada,5036,4635.6,5298.7,5305.5,5378.0,4506.0,-400.4,262.7,269.5,342.0,-530.0,True,True,True,False
New Hampshire,1181,1220.6,1651.8,1799.3,1503.5,967.6,39.6,470.8,618.3,322.5,-213.4,False,False,False,False
New Jersey,23557,22927.7,23763.8,24216.8,23091.0,22833.7,-629.3,206.8,659.8,-466.0,-723.3,True,False,True,False
New Mexico,3796,4071.0,3606.4,4311.9,4218.0,2687.4,275.0,-189.6,515.9,422.0,-1108.6,True,False,False,False
New York,48247,47071.0,48245.0,49629.0,46843.0,49488.8,-1176.0,-2.0,1382.0,-1404.0,1241.8,True,False,False,False
North Carolina,11502,9752.6,11341.9,11628.1,11354.0,9765.5,-1749.4,-160.1,126.1,-148.0,-1736.5,True,True,True,True
North Dakota,1479,1611.0,1673.3,1911.9,2230.0,1397.7,132.0,194.3,432.9,751.0,-81.3,False,False,False,True
Ohio,18295,13063.0,15195.2,14627.9,15390.0,12917.2,-943.0,1189.2,621.9,1384.0,-1088.8,False,True,False,False
Oklahoma,4534,3927.4,3985.4,4167.8,4733.0,4364.9,-606.6,-548.6,-366.2,199.0,-169.1,True,True,True,True
Oregon,2296,2274.7,3015.1,4185.9,3298.0,2371.0,-21.3,719.1,1889.9,1002.0,75.0,False,False,False,False
Pennsylvania,24306,26156.9,32755.3,28829.8,30373.0,20324.5,1850.9,8449.3,4523.8,6067.0,-3981.5,False,False,False,False
Rhode Island,2541,2482.7,2813.3,2759.2,2775.5,1927.5,106.7,437.3,383.2,399.5,-448.5,False,False,False,False
South Carolina,8719,7323.6,8879.9,7550.9,7661.0,7307.6,-1395.4,160.9,-1168.1,-1058.0,-1411.4,True,True,True,False
South Dakota,1898,2283.9,2236.6,1852.2,2365.0,1734.0,385.9,338.6,-45.8,467.0,-164.0,True,True,False,True
Tennessee,11543,10859.0,15784.1,13476.5,14476.0,12263.3,-684.0,4241.1,1933.5,2933.0,720.3,False,False,False,False
Texas,45249,38193.3,40503.8,38849.8,42850.0,33976.7,-6891.7,-4581.2,-6235.2,-2235.0,-11108.3,True,True,True,False
Utah,1975,1795.6,2523.9,2667.8,2540.0,1742.4,-179.4,548.9,692.8,565.0,-232.6,False,False,False,False
Vermont,208,284.7,357.2,277.9,372.0,150.6,76.7,149.2,69.9,164.0,-57.4,False,True,False,True
Virginia,9519,6864.9,7755.7,9649.3,7565.0,5449.5,-2654.1,-1763.3,130.3,-1954.0,-4069.5,True,True,True,False
Washington,5041,3972.6,4164.9,7204.3,5055.5,4746.3,-1068.4,-876.1,2163.3,14.5,-294.7,True,False,True,True
West Virginia,2323,2496.0,3144.6,2918.7,2969.0,2515.8,173.0,821.6,595.7,646.0,192.8,False,False,False,False
Wisconsin,7103,7956.7,7532.2,7461.2,9108.0,7353.3,853.7,429.2,358.2,2005.0,250.3,True,True,False,True
Wyoming,682,589.9,629.3,707.8,804.0,502.1,-92.1,-52.7,25.8,122.0,-179.9,True,True,False,False
US,525162,485410.9,509424.3,537951.0,527981.0,384188.4,-33808.1,-9794.7,18732.0,8762.0,-135030.6,True,True,True,False
