,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,10149,5239.9,7365.4,6202.0,4660.8,-4909.1,-2783.6,-3947.0,-5488.2,True,True,False
Alaska,305,370.4,651.0,,567.0,65.4,346.0,,262.0,False,,False
Arizona,16323,8989.7,14978.8,9023.0,8300.3,-7333.3,-1344.2,-7300.0,-8022.7,True,True,False
Arkansas,5297,4035.9,5507.3,4873.0,4994.7,-1261.1,210.3,-424.0,-302.3,True,True,True
California,54134,25040.3,35289.4,25402.0,26157.1,-29092.7,-18843.6,-28731.0,-27975.9,True,True,True
Colorado,5986,5732.9,9916.4,6240.0,5262.2,-253.1,3930.4,254.0,-723.8,False,False,False
Connecticut,7704,6804.0,8272.4,6546.0,5569.8,-900.0,568.4,-1158.0,-2134.2,True,False,False
Delaware,1464,1074.9,1345.0,1029.0,1075.0,-342.1,-72.0,-388.0,-342.0,True,False,True
District of Columbia,1030,818.6,933.5,841.0,706.9,-211.4,-96.5,-189.0,-323.1,True,True,False
Florida,31620,25553.3,26111.0,23456.0,25989.8,-6066.7,-5509.0,-8164.0,-5630.2,True,False,True
Georgia,17905,12823.1,15361.1,12850.0,12913.3,-5081.9,-2543.9,-5055.0,-4991.7,True,True,True
Hawaii,443,396.4,359.4,,304.9,-46.6,-83.6,,-138.1,False,,False
Idaho,1879,1903.9,2719.4,2084.0,1519.2,24.9,840.4,205.0,-359.8,False,False,False
Illinois,23003,24411.1,28479.6,23495.0,26200.1,1408.1,5476.6,492.0,3197.1,False,True,False
Indiana,12726,10950.7,15392.0,11612.0,11247.1,-1109.3,3332.0,-448.0,-812.9,False,True,True
Iowa,5552,5128.9,6017.9,5345.0,5099.7,-423.1,465.9,-207.0,-452.3,False,True,False
Kansas,4768,3178.0,4933.5,3572.0,4551.9,-1590.0,165.5,-1196.0,-216.1,True,True,True
Kentucky,4806,3406.4,4836.5,3996.0,3953.5,-1399.6,30.5,-810.0,-852.5,True,True,True
Louisiana,9716,8444.0,12458.6,8213.0,9095.5,-1272.0,2742.6,-1503.0,-620.5,False,False,True
Maine,704,398.9,856.8,597.0,299.7,-305.1,152.8,-107.0,-404.3,True,True,False
Maryland,7941,7271.7,8406.3,6758.0,6901.9,-669.3,465.3,-1183.0,-1039.1,True,False,False
Massachusetts,16374,13632.0,16732.3,13714.0,12293.0,-2742.0,358.3,-2660.0,-4081.0,True,True,False
Michigan,16658,17670.4,25380.2,18520.0,12031.3,1012.4,8722.2,1862.0,-4626.7,False,False,False
Minnesota,6614,8348.4,12527.2,10194.0,10004.4,1734.4,5913.2,3580.0,3390.4,False,False,False
Mississippi,6805,5607.4,5943.5,5365.0,5891.9,-1197.6,-861.5,-1440.0,-913.1,True,False,True
Missouri,8512,7619.1,9166.2,7679.0,6446.0,-863.9,683.2,-804.0,-2037.0,True,True,False
Montana,1379,1613.3,2035.4,2044.0,1479.7,234.3,656.4,665.0,100.7,False,False,True
