,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,10149,8956.1,10334.3,8713.5,,7389.2,,8183.0,6919.9,6981.0,8578.3,6303.4,-1192.9,185.3,-1435.5,,-2759.8,,-1966.0,-3229.1,-3168.0,-1570.7,-3845.6,True,False,,False,,False,False,False,False,False
Alaska,305,294.7,292.1,297.0,,303.4,,,312.2,300.3,365.0,269.8,-10.3,-12.9,-8.0,,-1.6,,,7.2,-4.7,60.0,-35.2,False,True,,True,,,True,True,False,False
Arizona,16323,18626.7,26153.2,17835.5,,15784.6,,16667.0,14773.0,13563.6,15547.4,11717.3,2303.7,9830.2,1512.5,,-538.4,,344.0,-1550.0,-2759.4,-775.6,-4605.7,False,True,,True,,True,True,False,True,False
Arkansas,5297,6353.0,6863.2,6259.5,,6851.7,,6502.0,6817.5,5254.9,6280.7,4867.8,1056.0,1566.2,962.5,,1554.7,,1205.0,1520.5,-42.1,983.7,-429.2,False,True,,False,,False,False,True,True,True
California,54134,56451.1,104385.4,55028.9,,53446.1,,51206.0,37376.5,38016.1,47659.6,34959.4,2317.1,50251.4,894.9,,-687.9,,-2928.0,-16757.5,-16117.9,-6474.4,-19174.6,False,True,,True,,False,False,False,False,False
Colorado,5986,7360.9,7063.8,7412.9,,6803.0,,7264.0,6830.7,8249.4,7220.4,6283.9,1374.9,1077.8,1426.9,,817.0,,1278.0,844.7,2263.4,1234.4,297.9,True,False,,True,,True,True,False,True,True
Connecticut,7704,8091.9,7783.5,8125.3,,7694.2,,8348.0,8069.1,7872.4,6861.9,6730.3,387.9,79.5,421.3,,-9.8,,644.0,365.1,168.4,-842.1,-973.7,True,False,,True,,False,True,True,False,False
Delaware,1464,1302.0,1562.8,1281.9,,1269.8,,1313.5,1110.6,1098.1,1175.7,1086.0,3.0,263.8,-17.1,,-29.2,,14.5,-188.4,-200.9,-123.3,-213.0,False,False,,False,,False,False,False,False,False
District of Columbia,1030,997.7,954.1,981.2,,1056.4,,938.0,1011.6,1031.8,866.6,871.3,-32.3,-75.9,-48.8,,26.4,,-92.0,-18.4,1.8,-163.4,-158.7,False,False,,True,,False,True,True,False,False
Florida,31620,30179.9,30274.8,30114.7,,30444.3,,28075.0,29603.4,28703.5,28919.2,25574.4,-1440.1,-1345.2,-1505.3,,-1175.7,,-3545.0,-2016.6,-2916.5,-2700.8,-6045.6,True,False,,True,,False,False,False,False,False
Georgia,17905,15339.4,14328.1,15432.0,,15346.9,,14682.0,15313.5,13574.5,15967.7,12390.1,-2565.6,-3576.9,-2473.0,,-2558.1,,-3223.0,-2591.5,-4330.5,-1937.3,-5514.9,False,True,,True,,False,False,False,True,False
Hawaii,443,457.3,363.8,450.9,,386.5,,,404.9,357.3,362.1,345.4,14.3,-79.2,7.9,,-56.5,,,-38.1,-85.7,-80.9,-97.6,False,True,,False,,,False,False,False,False
Idaho,1879,2209.7,1983.6,2167.7,,1989.5,,2254.0,1835.9,2007.0,2078.7,1823.7,330.7,104.6,288.7,,110.5,,375.0,-43.1,128.0,199.7,-55.3,True,True,,True,,False,True,True,True,True
Illinois,23003,26922.3,29360.9,27178.1,,23796.1,,25155.0,22903.2,23769.0,23347.3,22614.5,3919.3,6357.9,4175.1,,793.1,,2152.0,-99.8,766.0,344.3,-388.5,False,False,,True,,True,True,True,True,True
Indiana,12726,12992.1,14126.1,13412.9,,11926.5,,13274.0,11625.8,11875.7,12130.4,10330.2,1428.1,2562.1,1848.9,,362.5,,1710.0,61.8,311.7,566.4,-1233.8,False,False,,True,,False,True,True,True,True
Iowa,5552,5646.6,5148.9,5574.0,,6156.8,,6036.0,5502.7,5092.9,5923.1,5019.6,94.6,-403.1,22.0,,604.8,,484.0,-49.3,-459.1,371.1,-532.4,False,True,,False,,False,True,False,False,False
Kansas,4768,5254.6,7245.5,5293.5,,4894.4,,5226.0,5811.7,4281.5,4996.4,3781.3,486.6,2477.5,525.5,,126.4,,458.0,1043.7,-486.5,228.4,-986.7,False,False,,True,,True,False,True,True,False
Kentucky,4806,4299.6,4554.2,4300.0,,3950.2,,4656.0,5284.5,3978.8,4689.2,3450.2,-506.4,-251.8,-506.0,,-855.8,,-150.0,478.5,-827.2,-116.8,-1355.8,True,True,,False,,True,True,False,True,False
Louisiana,9716,10513.0,9382.6,10592.8,,10358.5,,9927.0,10494.7,9141.0,10856.6,8685.6,797.0,-333.4,876.8,,642.5,,211.0,778.7,-575.0,1140.6,-1030.4,True,False,,True,,True,True,True,False,False
Maine,704,1005.6,698.4,1024.1,,774.3,,751.0,695.9,991.6,553.8,552.1,301.6,-5.6,320.1,,70.3,,47.0,-8.1,287.6,-150.2,-151.9,True,False,,True,,True,True,True,True,True
Maryland,7941,8456.3,8144.9,8477.6,,8570.5,,7928.0,8216.2,9348.1,8025.9,6864.2,515.3,203.9,536.6,,629.5,,-13.0,275.2,1407.1,84.9,-1076.8,True,False,,False,,True,True,False,True,False
