,mean_rank
COVIDhub-ensemble,14.8
Microsoft-DeepSTIA,16.1
Google_Harvard-CPF,17.5
COVIDhub-trained_ensemble,17.8
RobertWalraven-ESG,18.1
LNQ-ens1,18.4
UMass-MechBayes,18.9
Karlen-pypm,18.9
SteveMcConnell-CovidComplete,19.0
UChicagoCHATTOPADHYAY-UnIT,19.2
MOBS-GLEAM_COVID,19.4
CovidAnalytics-DELPHI,19.5
JHU_CSSE-DECOM,19.5
epiforecasts-ensemble1,19.6
CMU-TimeSeries,19.7
Caltech-CS156,19.7
USC-SI_kJalpha,19.9
MIT_CritData-GBCF,20.3
GT-DeepCOVID,20.5
IowaStateLW-STEM,20.7
UCSD_NEU-DeepGLEAM,20.9
CU-select,21.3
OliverWyman-Navigator,21.5
LANL-GrowthRate,22.2
WalmartLabsML-LogForecasting,22.9
BPagano-RtDriven,22.9
IUPUI-HkPrMobiDyR,23.0
PSI-DRAFT,23.1
UA-EpiCovDA,23.4
COVIDhub-baseline,23.4
UMich-RidgeTfReg,23.4
IHME-CurveFit,24.0
AIpert-pwllnod,24.1
Covid19Sim-Simulator,24.2
MIT_ISOLAT-Mixtures,24.2
Columbia_UNC-SurvCon,24.3
SigSci-TS,25.2
DDS-NBDS,25.6
CEID-Walk,26.7
UCLA-SuEIR,27.0
JHU_IDD-CovidSP,28.4
JHUAPL-Bucky,29.8
TTU-squider,37.1
