,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,TTU-squider,UA-EpiCovDA,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UA-EpiCovDA,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,10149,11319.1,12368.7,11368.5,11435.7,10890.0,11429.0,10981.0,12359.0,10538.0,11287.0,11119.2,10604.0,,10706.7,,10923.7,,10452.8,11865.0,9633.3,11240.0,9932.9,10383.4,10870.0,10662.1,11454.0,10516.5,11477.8,11156.8,10833.2,11026.0,,11496.2,10920.2,10109.0,7622.7,10606.0,,11554.7,10517.0,11736.9,10765.0,,10267.8,11595.0,1170.1,2219.7,1219.5,1286.7,741.0,1280.0,832.0,2210.0,389.0,1138.0,970.2,455.0,,557.7,,774.7,,303.8,1716.0,-515.7,1091.0,-216.1,234.4,721.0,513.1,1305.0,367.5,1328.8,1007.8,684.2,877.0,,1347.2,771.2,-40.0,-2526.3,457.0,,1405.7,368.0,1587.9,616.0,,118.8,1446.0,False,False,False,True,False,True,False,True,True,True,True,,True,,True,,True,False,True,True,True,True,True,True,False,True,False,True,True,True,,False,True,True,False,True,,False,True,False,True,,True,False
Alaska,305,290.6,289.2,291.4,319.5,295.0,292.0,303.0,449.0,303.0,299.0,314.3,296.0,,302.1,,317.5,,308.2,,377.2,316.0,319.0,301.1,315.0,293.8,338.0,301.4,309.5,304.4,292.8,299.0,,,294.3,299.0,357.3,302.0,,316.9,289.0,304.6,290.0,,302.6,303.0,-14.4,-15.8,-13.6,14.5,-10.0,-13.0,-2.0,144.0,-2.0,-6.0,9.3,-9.0,,-2.9,,12.5,,3.2,,72.2,11.0,14.0,-3.9,10.0,-11.2,33.0,-3.6,4.5,-0.6,-12.2,-6.0,,,-10.7,-6.0,52.3,-3.0,,11.9,-16.0,-0.4,-15.0,,-2.4,-2.0,False,True,False,True,True,True,False,True,True,True,True,,True,,True,,True,,False,True,True,True,True,True,False,True,True,True,True,True,,,True,True,False,True,,True,False,True,False,,True,True
Arizona,16323,17635.1,17502.6,16927.4,17676.4,17124.0,17759.5,16812.0,17964.0,16205.0,16728.0,16119.9,17339.0,,16800.1,,16868.2,,16452.6,17752.0,14783.1,17090.0,16412.5,16354.0,16320.0,16811.9,17187.0,17091.8,17225.1,17137.3,17176.1,16783.0,,17674.3,16931.0,16460.0,16766.4,16553.0,,17226.4,16390.0,16795.4,16352.0,,16228.0,16805.0,1312.1,1179.6,604.4,1353.4,801.0,1436.5,489.0,1641.0,-118.0,405.0,-203.1,1016.0,,477.1,,545.2,,129.6,1429.0,-1539.9,767.0,89.5,31.0,-3.0,488.9,864.0,768.8,902.1,814.3,853.1,460.0,,1351.3,608.0,137.0,443.4,230.0,,903.4,67.0,472.4,29.0,,-95.0,482.0,True,True,False,True,False,True,False,True,True,True,True,,True,,True,,True,False,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,,True,True,True,True,,True,True
Arkansas,5297,5805.0,5664.0,5659.5,5808.3,5771.0,5825.1,5712.0,6135.0,5664.0,5672.0,5610.6,5816.0,,5578.0,,5697.4,,5649.0,5860.0,6427.3,5797.0,5766.3,5668.2,5549.0,5642.4,5933.0,5623.4,5716.1,5847.5,5618.3,5619.0,,5911.4,5658.8,5768.0,6401.2,5693.0,,5750.6,5584.0,5781.1,5696.0,,5677.2,5792.0,508.0,367.0,362.5,511.3,474.0,528.1,415.0,838.0,367.0,375.0,313.6,519.0,,281.0,,400.4,,352.0,563.0,1130.3,500.0,469.3,371.2,252.0,345.4,636.0,326.4,419.1,550.5,321.3,322.0,,614.4,361.8,471.0,1104.2,396.0,,453.6,287.0,484.1,399.0,,380.2,495.0,True,True,False,True,False,True,False,True,True,True,False,,True,,True,,True,False,False,True,True,True,True,True,False,True,True,False,True,True,,False,True,True,False,True,,True,True,True,True,,True,True
California,54134,55348.4,55527.8,53622.7,55668.3,53963.0,55522.3,53123.0,57180.0,52168.0,52695.0,52373.9,53858.0,,51903.7,,51696.1,,53434.1,54322.0,47364.6,53110.0,52395.7,52763.4,51933.5,53190.0,54851.0,52782.7,54773.8,54825.6,54552.1,54303.0,,55468.0,52860.4,51124.0,57492.6,51795.0,,54773.0,52370.0,52584.4,52913.0,,51653.2,53588.0,1214.4,1393.8,-511.3,1534.3,-171.0,1388.3,-1011.0,3046.0,-1966.0,-1439.0,-1760.1,-276.0,,-2230.3,,-2437.9,,-699.9,188.0,-6769.4,-1024.0,-1738.3,-1370.6,-2200.5,-944.0,717.0,-1351.3,639.8,691.6,418.1,169.0,,1334.0,-1273.6,-3010.0,3358.6,-2339.0,,639.0,-1764.0,-1549.6,-1221.0,,-2480.8,-546.0,False,True,False,True,False,True,False,False,False,False,True,,False,,False,,True,True,False,True,False,False,False,True,True,False,True,True,True,True,,False,False,False,False,False,,True,False,False,False,,False,True
Colorado,5986,6089.7,6043.1,6005.7,6085.7,6087.0,6089.8,6082.0,6600.0,6091.0,6013.0,5989.9,6169.0,,6033.3,,6326.5,,6009.9,5957.0,8837.7,6091.0,6326.0,6010.4,6019.0,6080.4,6213.0,5852.9,6095.7,6141.3,6058.8,5968.0,,6077.8,6073.6,6219.0,6119.4,6082.0,,6130.7,6069.0,6104.8,6083.0,,6160.5,6035.0,103.7,57.1,19.7,99.7,101.0,103.8,96.0,614.0,105.0,27.0,3.9,183.0,,47.3,,340.5,,23.9,-29.0,2851.7,105.0,340.0,24.4,33.0,94.4,227.0,-133.1,109.7,155.3,72.8,-18.0,,91.8,87.6,233.0,133.4,96.0,,144.7,83.0,118.8,97.0,,174.5,49.0,True,True,True,True,False,True,False,False,True,True,False,,True,,False,,True,True,False,False,False,True,True,True,False,False,False,False,True,True,,True,True,False,False,True,,False,True,False,True,,False,True
Connecticut,7704,7858.1,7913.0,7699.4,7863.9,7816.0,7882.1,7775.0,8315.0,7724.0,7754.0,7690.2,7792.0,,8033.1,,7825.5,,7702.7,8010.0,8438.8,7900.0,7921.9,7628.2,7684.0,7713.6,7857.0,7702.9,7826.1,7867.9,7739.5,7758.0,,7753.8,7723.5,8011.0,7592.0,7561.0,,7850.3,7722.0,7861.0,7671.0,,7627.1,7728.0,154.1,209.0,-4.6,159.9,112.0,178.1,71.0,611.0,20.0,50.0,-13.8,88.0,,329.1,,121.5,,-1.3,306.0,734.8,196.0,217.9,-75.8,-20.0,9.6,153.0,-1.1,122.1,163.9,35.5,54.0,,49.8,19.5,307.0,-112.0,-143.0,,146.3,18.0,157.0,-33.0,,-76.9,24.0,False,True,False,True,False,True,False,True,True,True,True,,False,,True,,True,False,False,False,False,True,True,True,True,True,True,False,True,True,,True,True,False,True,True,,True,True,False,True,,True,True
Delaware,1464,1400.1,1390.4,1341.8,1401.2,1389.0,1414.0,1375.0,1665.0,1371.0,1347.0,1347.5,1341.0,,1433.0,,1348.8,,1375.3,1401.0,1347.4,1391.0,1433.8,1345.4,1325.0,1351.4,1431.0,1330.3,1358.3,1383.3,1386.8,1349.0,,,1358.8,1389.0,1283.0,1594.0,,1397.7,1371.0,1370.7,1358.0,,1343.8,1456.0,14.1,4.4,-44.2,15.2,3.0,28.0,-11.0,279.0,-15.0,-39.0,-38.5,-45.0,,47.0,,-37.2,,-10.7,15.0,-38.6,5.0,47.8,-40.6,-61.0,-34.6,45.0,-55.7,-27.7,-2.7,0.8,-37.0,,,-27.2,3.0,-103.0,208.0,,11.7,-15.0,-15.3,-28.0,,-42.2,70.0,True,False,False,True,False,True,False,False,False,False,False,,False,,False,,True,False,False,True,False,False,False,False,False,False,False,True,True,False,,,False,True,False,False,,True,False,False,False,,False,False
District of Columbia,1030,1056.1,1089.3,1077.5,1071.3,1061.0,1075.0,1067.0,1139.0,1040.0,1066.0,1092.4,1056.0,,1080.2,,1056.0,,1079.2,1067.0,1032.5,1074.0,1042.8,1033.1,1033.0,1029.6,1057.0,,,,1046.0,1075.0,,,1057.5,1066.0,977.3,1132.0,,,1036.0,,1068.0,,1029.0,1079.0,26.1,59.3,47.5,41.3,31.0,45.0,37.0,109.0,10.0,36.0,62.4,26.0,,50.2,,26.0,,49.2,37.0,2.5,44.0,12.8,3.1,3.0,-0.4,27.0,,,,16.0,45.0,,,27.5,36.0,-52.7,102.0,,,6.0,,38.0,,-1.0,49.0,False,False,False,False,False,False,False,True,False,False,True,,False,,True,,False,False,True,False,True,True,True,True,False,,,,True,False,,,False,False,False,False,,,True,,False,,True,False
Florida,31620,31873.3,32028.5,31443.1,31930.1,31499.0,31934.9,31438.0,32688.0,30802.0,31273.0,31107.9,31544.0,,30943.0,,31067.2,,31409.3,32180.0,30086.8,31812.0,32734.1,30939.1,31272.0,31434.5,32151.0,31523.1,31241.9,31971.9,31830.7,32736.5,,32746.8,31167.8,31312.0,33504.1,31044.0,,31268.0,31352.0,31542.5,31378.0,,30519.3,31646.0,253.3,408.5,-176.9,310.1,-121.0,314.9,-182.0,1068.0,-818.0,-347.0,-512.1,-76.0,,-677.0,,-552.8,,-210.7,560.0,-1533.2,192.0,1114.1,-680.9,-348.0,-185.5,531.0,-96.9,-378.1,351.9,210.7,1116.5,,1126.8,-452.2,-308.0,1884.1,-576.0,,-352.0,-268.0,-77.5,-242.0,,-1100.7,26.0,False,True,False,True,False,True,False,False,False,False,True,,False,,False,,True,False,False,True,False,False,False,True,False,True,False,False,True,False,,False,False,False,False,False,,False,False,True,True,,False,True
