,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR
Alabama,10149,6485.0,8189.7,7716.0,6740.8,6143.7,-3664.0,-1959.3,-2433.0,-3408.2,-4005.3,True,True,True,False
Alaska,305,347.9,358.0,,272.0,408.2,42.9,53.0,,-33.0,103.2,False,,True,False
Arizona,16323,14676.4,15022.4,13670.0,12052.4,12890.6,-1646.6,-1300.6,-2653.0,-4270.6,-3432.4,True,False,False,False
Arkansas,5297,6113.9,6899.2,6264.0,5910.8,6457.7,816.9,1602.2,967.0,613.8,1160.7,False,False,True,False
California,54134,47505.4,62708.5,45630.0,35411.8,42703.2,-6628.6,8574.5,-8504.0,-18722.2,-11430.8,False,False,False,False
Colorado,5986,7803.7,7488.2,7152.0,5971.6,7404.4,1817.7,1502.2,1166.0,-14.4,1418.4,True,True,True,True
Connecticut,7704,8827.0,7829.6,7867.0,7985.4,7988.4,1123.0,125.6,163.0,281.4,284.4,True,True,True,True
Delaware,1464,1222.3,1318.1,1386.0,1065.4,1043.9,-91.7,4.1,72.0,-248.6,-270.1,True,True,False,False
District of Columbia,1030,1024.3,1042.7,1036.0,1007.6,889.7,-5.7,12.7,6.0,-22.4,-140.3,False,False,False,False
Florida,31620,28851.3,30915.8,26708.0,26675.6,27742.0,-2768.7,-704.2,-4912.0,-4944.4,-3878.0,True,False,False,False
Georgia,17905,13399.7,15024.4,14094.0,14989.5,13828.7,-4505.3,-2880.6,-3811.0,-2915.5,-4076.3,True,True,True,True
Hawaii,443,324.4,474.9,,310.0,338.5,-118.6,31.9,,-133.0,-104.5,True,,False,True
Idaho,1879,2280.6,2214.6,2185.0,1693.0,2249.3,401.6,335.6,306.0,-186.0,370.3,True,True,True,True
Illinois,23003,27055.1,24684.2,24085.0,21269.2,24029.4,4052.1,1681.2,1082.0,-1733.8,1026.4,True,True,True,True
Indiana,12726,14072.7,12636.9,12383.0,10194.6,13139.0,2496.7,1060.9,807.0,-1381.4,1563.0,True,True,True,True
Iowa,5552,5735.1,6664.7,5620.0,4862.2,5440.0,183.1,1112.7,68.0,-689.8,-112.0,False,True,False,True
Kansas,4768,6140.3,4910.0,4430.0,5418.7,5089.6,1372.3,142.0,-338.0,650.7,321.6,True,True,True,True
Kentucky,4806,4211.0,3802.7,4046.0,4223.9,4384.7,-595.0,-1003.3,-760.0,-582.1,-421.3,False,False,True,True
Louisiana,9716,9715.9,10153.0,9843.0,9462.4,9372.1,-0.1,437.0,127.0,-253.6,-343.9,False,False,False,False
Maine,704,677.9,1104.8,765.0,628.7,598.9,-26.1,400.8,61.0,-75.3,-105.1,False,False,False,False
Maryland,7941,8491.7,9110.5,8081.0,7908.6,7891.6,550.7,1169.5,140.0,-32.4,-49.4,False,True,True,True
Massachusetts,16374,17038.6,16810.8,16723.0,15306.0,15932.0,664.6,436.8,349.0,-1068.0,-442.0,True,True,False,True
Michigan,16658,18762.0,16710.7,18364.0,15552.7,14932.3,2104.0,52.7,1706.0,-1105.3,-1725.7,True,True,True,True
Minnesota,6614,7995.6,7446.5,8338.0,6022.3,7826.4,1381.6,832.5,1724.0,-591.7,1212.4,True,False,True,True
Mississippi,6805,7218.1,7195.4,6852.0,6285.5,7222.2,413.1,390.4,47.0,-519.5,417.2,True,True,False,False
Missouri,8512,8083.1,9208.1,9080.0,6824.4,6793.2,-394.9,730.1,602.0,-1653.6,-1684.8,False,False,False,False
Montana,1379,1397.1,1203.8,1542.0,1151.9,1529.8,18.1,-175.2,163.0,-227.1,150.8,False,False,False,False
Nebraska,2113,2672.9,2459.5,2365.5,2025.8,2353.8,559.9,346.5,252.5,-87.2,240.8,True,True,True,True
Nevada,5036,5217.1,5122.8,4853.0,3707.5,4912.8,181.1,86.8,-183.0,-1328.5,-123.2,True,False,False,True
New Hampshire,1181,1417.7,1454.4,1491.0,1209.4,1099.2,236.7,273.4,310.0,28.4,-81.8,False,False,True,True
New Jersey,23557,24327.4,24201.2,22824.0,21094.8,24131.9,770.4,644.2,-733.0,-2462.2,574.9,True,True,False,True
New Mexico,3796,4366.7,3763.6,3838.0,3306.4,3671.7,570.7,-32.4,42.0,-489.6,-124.3,True,True,True,True
New York,48247,47307.6,55060.3,45900.0,45817.4,51969.9,-939.4,6813.3,-2347.0,-2429.6,3722.9,False,False,False,False
North Carolina,11502,10107.4,10806.3,10643.0,9927.4,9912.7,-1394.6,-695.7,-859.0,-1574.6,-1589.3,True,True,False,False
North Dakota,1479,1699.7,1632.8,1747.0,1440.8,1456.3,227.7,160.8,275.0,-31.2,-15.7,True,False,True,True
Ohio,18295,14098.0,13558.7,14742.0,10959.5,14332.0,582.0,42.7,1226.0,-2556.5,816.0,True,False,False,False
Oklahoma,4534,4114.7,3969.4,4361.0,3452.4,4306.6,-419.3,-564.6,-173.0,-1081.6,-227.4,False,True,False,True
Oregon,2296,2146.6,2621.9,2238.0,2224.9,2255.7,-149.4,325.9,-58.0,-71.1,-40.3,False,True,True,True
Pennsylvania,24306,27398.9,29417.2,28388.0,19667.0,27118.7,3092.9,5111.2,4082.0,-4639.0,2812.7,False,False,False,True
Rhode Island,2541,2423.6,2527.5,2591.0,2192.1,1994.1,79.6,183.5,247.0,-151.9,-349.9,False,False,False,False
South Carolina,8719,8250.1,8370.4,7451.0,7473.4,7634.0,-468.9,-348.6,-1268.0,-1245.6,-1085.0,True,False,False,False
South Dakota,1898,2106.4,2033.6,2176.0,1779.9,1628.3,208.4,135.6,278.0,-118.1,-269.7,True,False,True,False
Tennessee,11543,11568.7,14554.6,12138.0,8643.0,12531.6,25.7,3011.6,595.0,-2900.0,988.6,False,False,False,False
Texas,45249,41396.9,41361.3,41547.0,43464.4,38501.5,-3786.1,-3821.7,-3636.0,-1718.6,-6681.5,False,True,True,False
Utah,1975,2071.6,2436.9,1995.0,1978.5,2062.3,96.6,461.9,20.0,3.5,87.3,False,True,True,True
Vermont,208,255.1,317.4,284.0,327.5,253.3,47.1,109.4,76.0,119.5,45.3,False,False,False,True
Virginia,9519,7515.4,8119.5,7013.0,6821.4,6850.7,-2003.6,-1399.5,-2506.0,-2697.6,-2668.3,True,False,False,False
Washington,5041,5894.7,4444.5,4918.0,4288.1,4958.1,853.7,-596.5,-123.0,-752.9,-82.9,True,True,True,True
West Virginia,2323,2456.6,2870.1,2369.0,2148.3,2699.2,133.6,547.1,46.0,-174.7,376.2,False,True,False,False
Wisconsin,7103,7227.3,7579.5,7396.0,6686.1,7386.3,124.3,476.5,293.0,-416.9,283.3,False,False,False,False
Wyoming,682,1013.7,588.8,728.0,586.6,550.5,331.7,-93.2,46.0,-95.4,-131.5,True,True,True,True
US,525162,515100.6,547277.0,486617.0,446628.2,435870.7,-3678.4,28498.0,-32162.0,-72150.8,-82908.3,False,False,False,False
