,mean_rank
RobertWalraven-ESG,11.8
UMass-MechBayes,11.8
COVIDhub-trained_ensemble,12.3
USC-SI_kJalpha,13.2
Karlen-pypm,13.5
OliverWyman-Navigator,14.1
LNQ-ens1,14.2
SteveMcConnell-CovidComplete,14.9
COVIDhub-ensemble,16.4
UA-EpiCovDA,16.8
CU-select,17.1
IHME-CurveFit,17.2
Covid19Sim-Simulator,17.2
MOBS-GLEAM_COVID,18.0
CovidAnalytics-DELPHI,18.0
LANL-GrowthRate,18.2
BPagano-RtDriven,18.5
Google_Harvard-CPF,18.8
GT-DeepCOVID,19.1
WalmartLabsML-LogForecasting,19.3
CMU-TimeSeries,19.4
Columbia_UNC-SurvCon,19.6
UMich-RidgeTfReg,19.7
Caltech-CS156,20.0
UCLA-SuEIR,20.7
UCSD_NEU-DeepGLEAM,23.5
JHU_IDD-CovidSP,23.9
MIT_ISOLAT-Mixtures,24.1
PSI-DRAFT,24.3
AIpert-pwllnod,24.8
JHU_CSSE-DECOM,24.8
epiforecasts-ensemble1,26.7
JHUAPL-Bucky,27.2
MIT_CritData-GBCF,27.8
Microsoft-DeepSTIA,28.0
COVIDhub-baseline,28.7
DDS-NBDS,28.9
TTU-squider,29.0
IowaStateLW-STEM,29.3
CEID-Walk,29.5
