,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-epiforecasts-ensemble1
Alabama,10149,10217.9,10237.9,10119.2,10299.2,10305.0,10270.0,10219.0,10187.0,10278.0,10214.9,10209.0,9944.8,10306.0,10378.5,,,,10354.4,10177.0,,10140.1,10217.0,10407.1,10254.0,10034.5,10162.0,10067.0,10127.0,10255.0,10284.9,10291.0,10203.1,10227.5,10175.0,,10223.6,10101.4,10109.0,10243.0,8810.4,10121.0,10240.0,,10275.1,10192.7,10174.0,10251.2,10221.0,,10168.0,68.9,88.9,-29.8,150.2,156.0,121.0,70.0,38.0,129.0,65.9,60.0,-204.2,157.0,229.5,,,,205.4,28.0,,-8.9,68.0,258.1,105.0,-114.5,13.0,-82.0,-22.0,106.0,135.9,142.0,54.1,78.5,26.0,,74.6,-47.6,-40.0,94.0,-1338.6,-28.0,91.0,,126.1,43.7,25.0,102.2,72.0,,19.0,False,True,False,False,False,False,True,False,True,True,False,False,False,,,,False,True,,True,True,False,False,False,True,False,True,False,False,False,True,False,True,,False,True,True,False,False,True,False,,False,True,True,False,False,,True
Alaska,305,290.9,292.9,292.5,293.3,295.0,291.0,294.0,293.0,297.0,294.1,293.0,296.0,295.0,293.1,,301.8,,290.0,297.1,,290.5,,330.6,296.0,297.9,293.3,292.0,292.5,316.0,294.3,297.6,293.5,290.9,296.0,,,292.4,296.0,292.0,301.2,292.0,312.0,,293.8,300.4,292.0,,291.0,,293.0,-14.1,-12.1,-12.5,-11.7,-10.0,-14.0,-11.0,-12.0,-8.0,-10.9,-12.0,-9.0,-10.0,-11.9,,-3.2,,-15.0,-7.9,,-14.5,,25.6,-9.0,-7.1,-11.7,-13.0,-12.5,11.0,-10.7,-7.4,-11.5,-14.1,-9.0,,,-12.6,-9.0,-13.0,-3.8,-13.0,7.0,,-11.2,-4.6,-13.0,,-14.0,,-12.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,False,True,,False,,False,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,,True,,True
Arizona,16323,16387.1,16527.0,16340.4,16472.5,16423.0,16454.0,16332.0,16318.0,16332.0,16314.4,16309.0,15966.2,16379.0,16557.2,,16310.7,,16234.4,16264.1,,16193.9,16533.0,16141.4,16401.0,16197.7,16298.6,16316.0,16301.4,16414.0,16427.3,16465.8,16342.8,16381.2,16293.0,,16397.6,16290.6,16298.0,16331.0,16484.5,16248.0,16410.0,,16458.3,16350.4,16286.0,16410.2,16405.0,,16321.0,64.1,204.0,17.4,149.5,100.0,131.0,9.0,-5.0,9.0,-8.6,-14.0,-356.8,56.0,234.2,,-12.3,,-88.6,-58.9,,-129.1,210.0,-181.6,78.0,-125.3,-24.4,-7.0,-21.6,91.0,104.3,142.8,19.8,58.2,-30.0,,74.6,-32.4,-25.0,8.0,161.5,-75.0,87.0,,135.3,27.4,-37.0,87.2,82.0,,-2.0,False,True,False,False,False,True,True,True,True,True,False,True,False,,True,,False,True,,False,False,False,False,False,True,True,True,False,False,False,True,True,True,,False,True,True,True,False,False,False,,False,True,True,False,False,,True
Arkansas,5297,5145.3,5485.4,5468.0,5484.7,5439.0,5486.0,5485.0,5357.0,5498.0,5504.5,5469.0,5442.5,5309.0,5319.4,,,,5464.7,5491.1,,5451.7,5484.0,5455.0,5491.0,5497.2,5474.8,5279.0,5436.0,5535.0,5496.9,5487.7,5500.6,5294.4,5517.0,,5498.8,5460.5,5531.0,5489.0,6196.8,5294.0,5501.9,,5485.1,5529.3,5282.0,,5469.0,,5466.0,-151.7,188.4,171.0,187.7,142.0,189.0,188.0,60.0,201.0,207.5,172.0,145.5,12.0,22.4,,,,167.7,194.1,,154.7,187.0,158.0,194.0,200.2,177.8,-18.0,139.0,238.0,199.9,190.7,203.6,-2.6,220.0,,201.8,163.5,234.0,192.0,899.8,-3.0,204.9,,188.1,232.3,-15.0,,172.0,,169.0,False,False,False,True,False,False,True,False,False,False,True,True,True,,,,False,False,,False,False,False,False,False,False,True,True,False,False,False,False,True,False,,False,False,False,False,False,True,False,,False,False,True,,False,,False
California,54134,54569.1,54154.6,53877.2,54850.4,54699.0,54786.0,53831.0,53878.0,53722.0,53415.7,53479.0,51571.0,54020.0,54718.4,,54051.8,,54372.0,53512.1,,52843.4,54966.0,52703.3,53958.0,52937.8,53171.6,53937.0,54028.1,54179.0,,53921.6,53989.5,54344.2,54394.0,,53459.9,53640.4,53041.0,53365.0,51676.0,53748.0,54782.8,,53923.8,54543.9,53648.0,53876.8,53793.0,,53478.0,435.1,20.6,-256.8,716.4,565.0,652.0,-303.0,-256.0,-412.0,-718.3,-655.0,-2563.0,-114.0,584.4,,-82.2,,238.0,-621.9,,-1290.6,832.0,-1430.7,-176.0,-1196.2,-962.4,-197.0,-105.9,45.0,,-212.4,-144.5,210.2,260.0,,-674.1,-493.6,-1093.0,-769.0,-2458.0,-386.0,648.8,,-210.2,409.9,-486.0,-257.2,-341.0,,-656.0,True,True,False,False,False,True,True,True,False,False,False,True,False,,True,,True,False,,False,False,False,True,False,False,True,True,True,,True,True,True,True,,False,False,False,False,False,True,False,,True,True,False,True,True,,False
Colorado,5986,6001.6,6006.1,5989.0,6003.6,6004.0,6003.0,6006.0,6008.0,6042.0,6013.9,6006.0,5965.3,6036.0,6006.1,,6000.2,,5989.1,6022.2,,5994.9,6005.0,6055.3,6027.0,6031.5,5999.6,6000.0,6012.6,6060.0,5951.9,6007.5,6008.5,6002.9,5985.0,,5993.2,6017.2,6071.0,6004.0,6136.4,6029.0,6017.9,,6006.7,6096.2,6008.0,6026.1,6007.0,,5994.0,15.6,20.1,3.0,17.6,18.0,17.0,20.0,22.0,56.0,27.9,20.0,-20.7,50.0,20.1,,14.2,,3.1,36.2,,8.9,19.0,69.3,41.0,45.5,13.6,14.0,26.6,74.0,-34.1,21.5,22.5,16.9,-1.0,,7.2,31.2,85.0,18.0,150.4,43.0,31.9,,20.7,110.2,22.0,40.1,21.0,,8.0,False,True,False,False,False,False,False,False,False,False,False,False,False,,True,,True,False,,True,False,False,False,False,True,True,False,False,False,False,False,False,True,,True,False,False,False,False,False,False,,False,False,False,False,False,,True
Connecticut,7704,7706.9,7736.9,7686.6,7720.9,7730.0,7721.0,7712.0,7706.0,7713.0,7706.9,7731.0,7706.3,7707.0,7767.1,,7704.7,,7686.6,7721.8,,7706.4,7799.0,7749.0,7737.0,7701.9,7711.7,7721.0,7701.9,7730.0,7712.8,7718.3,7730.1,7711.8,7692.0,,7703.5,7715.7,7805.0,7702.0,7592.8,7682.0,7714.4,,7714.8,7722.9,7703.0,7729.6,7697.0,,7703.0,2.9,32.9,-17.4,16.9,26.0,17.0,8.0,2.0,9.0,2.9,27.0,2.3,3.0,63.1,,0.7,,-17.4,17.8,,2.4,95.0,45.0,33.0,-2.1,7.7,17.0,-2.1,26.0,8.8,14.3,26.1,7.8,-12.0,,-0.5,11.7,101.0,-2.0,-111.2,-22.0,10.4,,10.8,18.9,-1.0,25.6,-7.0,,-1.0,False,False,False,False,False,False,True,False,True,False,True,False,False,,True,,False,False,,True,False,False,False,True,False,False,True,False,False,False,False,False,False,,True,False,False,True,False,False,False,,False,False,True,False,False,,True
Delaware,1464,1469.1,1441.9,1433.0,1472.2,1441.0,1470.0,1440.0,1448.0,1433.0,1471.7,1428.0,1434.8,1436.0,1451.1,,1449.1,,1479.9,1436.7,,1500.6,1446.0,1427.4,1438.0,1448.1,1432.4,1434.0,1449.1,1447.0,,1440.6,1447.9,1467.6,1437.0,,,1431.3,1455.0,1434.0,1470.6,1490.0,1433.1,,1443.0,1462.2,1435.0,1448.2,1441.0,,1440.0,5.1,-22.1,-31.0,8.2,-23.0,6.0,-24.0,-16.0,-31.0,7.7,-36.0,-29.2,-28.0,-12.9,,-14.9,,15.9,-27.3,,36.6,-18.0,-36.6,-26.0,-15.9,-31.6,-30.0,-14.9,-17.0,,-23.4,-16.1,3.6,-27.0,,,-32.7,-9.0,-30.0,6.6,26.0,-30.9,,-21.0,-1.8,-29.0,-15.8,-23.0,,-24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,True,False,,,False,False,False,False,False,False,,False,True,False,False,False,,False
District of Columbia,1030,1035.9,1020.6,1020.1,1025.4,1030.0,1026.0,1025.0,1031.0,1031.0,1027.0,1025.0,1016.2,1035.0,1035.2,,1030.0,,1023.2,1028.5,,1013.6,1030.0,1032.7,1025.0,1026.2,1021.9,1027.0,1029.1,1025.0,,,1030.5,1033.1,1022.0,,,1024.4,1033.0,1023.0,976.3,1043.0,1025.0,,,1026.7,1033.0,,1023.0,,1025.0,5.9,-9.4,-9.9,-4.6,0.0,-4.0,-5.0,1.0,1.0,-3.0,-5.0,-13.8,5.0,5.2,,-0.0,,-6.8,-1.5,,-16.4,0.0,2.7,-5.0,-3.8,-8.1,-3.0,-0.9,-5.0,,,0.5,3.1,-8.0,,,-5.6,3.0,-7.0,-53.7,13.0,-5.0,,,-3.3,3.0,,-7.0,,-5.0,False,False,True,True,True,True,True,True,True,True,False,True,True,,True,,False,True,,False,True,True,True,True,False,True,True,True,,,True,True,False,,,True,True,False,False,False,True,,,True,True,,False,,True
Florida,31620,31662.9,31736.2,31586.6,31661.6,31669.0,31655.0,31608.0,31596.0,31573.0,31542.3,31739.0,30913.9,31715.0,31820.1,,31627.8,,31521.5,31573.6,,31716.4,31911.0,31347.1,31660.0,31508.1,31553.7,31642.0,31622.9,31567.0,31827.9,31550.8,31637.1,31628.7,31629.5,,31685.4,31499.0,31512.0,31601.0,33471.2,31626.0,31535.1,,31552.4,31588.7,31586.0,31637.2,31615.0,,31478.0,42.9,116.2,-33.4,41.6,49.0,35.0,-12.0,-24.0,-47.0,-77.7,119.0,-706.1,95.0,200.1,,7.8,,-98.5,-46.4,,96.4,291.0,-272.9,40.0,-111.9,-66.3,22.0,2.9,-53.0,207.9,-69.2,17.1,8.7,9.5,,65.4,-121.0,-108.0,-19.0,1851.2,6.0,-84.9,,-67.6,-31.3,-34.0,17.2,-5.0,,-142.0,False,True,True,False,True,True,True,False,False,False,False,False,False,,True,,False,False,,False,False,False,True,False,False,True,True,False,False,False,True,True,True,,False,False,False,True,False,True,False,,False,True,True,True,True,,False
