,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,90,146.0,,153.5,,130.0,295.0,145.0,,,,95.4,,,106.6,,,126.0,164.0,,141.4,57.0,,110.0,128.0,,,,158.0,133.0,106.5,,,,,,,,,130.0,188.0,56.0,,63.5,,40.0,205.0,55.0,,,,5.4,,,16.6,,,36.0,74.0,,51.4,-33.0,,20.0,38.0,,,,68.0,43.0,16.5,,,,,,,,,40.0,98.0,,False,,True,False,True,,,,True,,,True,,,True,False,,True,True,,True,True,,,,False,True,True,,,,,,,,,True,False
01003,341,383.0,,407.1,,335.0,664.0,316.0,,,,282.0,,,389.9,,,395.0,334.7,,504.0,252.5,,226.0,313.4,,,,428.0,325.0,303.6,,,,,,291.0,,,357.7,621.1,42.0,,66.1,,-6.0,323.0,-25.0,,,,-59.0,,,48.9,,,54.0,-6.3,,163.0,-88.5,,-115.0,-27.6,,,,87.0,-16.0,-37.4,,,,,,-50.0,,,16.7,280.1,,False,,True,False,True,,,,False,,,False,,,False,True,,False,False,,False,True,,,,False,True,True,,,,,,False,,,True,False
01005,29,38.0,,36.0,,36.0,90.0,43.0,,,,31.8,,,38.6,,,43.0,22.3,,61.5,,,11.0,25.1,,,,43.0,25.0,28.8,,,,,,,,,35.2,59.8,9.0,,7.0,,7.0,61.0,14.0,,,,2.8,,,9.6,,,14.0,-6.7,,32.5,,,-18.0,-3.9,,,,14.0,-4.0,-0.2,,,,,,,,,6.2,30.8,,True,,True,False,False,,,,True,,,False,,,False,True,,False,,,False,True,,,,False,True,True,,,,,,,,,True,False
01007,22,59.0,,56.7,,44.0,104.0,30.0,,,,30.3,,,44.4,,,51.0,19.3,,43.9,,,21.0,34.9,,,,41.0,44.0,43.6,,,,,,,,,45.1,75.2,37.0,,34.7,,22.0,82.0,8.0,,,,8.3,,,22.4,,,29.0,-2.7,,21.9,,,-1.0,12.9,,,,19.0,22.0,21.6,,,,,,,,,23.1,53.2,,True,,True,False,True,,,,True,,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,True,False
01009,83,49.0,,55.0,,69.0,231.0,130.0,,,,80.3,,,37.0,,,160.0,184.6,,105.8,38.0,,12.0,54.1,,,,,74.0,141.4,,,,,,,,,14.3,153.0,-34.0,,-28.0,,-14.0,148.0,47.0,,,,-2.7,,,-46.0,,,77.0,101.6,,22.8,-45.0,,-71.0,-28.9,,,,,-9.0,58.4,,,,,,,,,-68.7,70.0,,True,,True,False,False,,,,True,,,False,,,False,False,,True,False,,False,True,,,,,True,False,,,,,,,,,False,False
01011,12,18.0,,18.0,,17.0,64.0,31.0,,,,16.1,,,11.4,,,16.0,17.2,,28.1,,,14.0,15.8,,,,28.0,16.0,11.9,,,,,,,,,20.5,34.6,6.0,,6.0,,5.0,52.0,19.0,,,,4.1,,,-0.6,,,4.0,5.2,,16.1,,,2.0,3.8,,,,16.0,4.0,-0.1,,,,,,,,,8.5,22.6,,False,,True,False,False,,,,True,,,True,,,True,True,,False,,,True,True,,,,False,True,True,,,,,,,,,False,False
01013,40,35.0,,38.1,,35.0,89.0,29.0,,,,27.3,,,34.6,,,35.0,38.8,,38.9,,,19.0,28.5,,,,39.0,27.0,29.8,,,,,,,,,38.5,50.7,-5.0,,-1.9,,-5.0,49.0,-11.0,,,,-12.7,,,-5.4,,,-5.0,-1.2,,-1.1,,,-21.0,-11.5,,,,-1.0,-13.0,-10.2,,,,,,,,,-1.5,10.7,,True,,False,False,False,,,,False,,,False,,,False,True,,True,,,False,False,,,,True,False,False,,,,,,,,,True,False
01015,286,261.0,,267.4,,264.0,524.0,296.0,,,,182.1,,,247.6,,,276.0,273.2,,271.3,64.5,,259.5,285.1,,,,265.0,216.0,335.6,,,,,,,,,207.9,394.1,-25.0,,-18.6,,-22.0,238.0,10.0,,,,-103.9,,,-38.4,,,-10.0,-12.8,,-14.7,-221.5,,-26.5,-0.9,,,,-21.0,-70.0,49.6,,,,,,,,,-78.1,108.1,,True,,True,False,True,,,,False,,,False,,,True,True,,True,False,,False,True,,,,True,False,False,,,,,,,,,False,False
01017,46,59.0,,62.0,,53.0,144.0,81.0,,,,51.7,,,45.4,,,65.0,18.4,,75.1,13.5,,24.0,41.1,,,,52.0,40.0,39.3,,,,,,,,,81.8,88.6,13.0,,16.0,,7.0,98.0,35.0,,,,5.7,,,-0.6,,,19.0,-27.6,,29.1,-32.5,,-22.0,-4.9,,,,6.0,-6.0,-6.7,,,,,,,,,35.8,42.6,,False,,True,False,False,,,,True,,,True,,,False,False,,False,False,,False,True,,,,True,True,True,,,,,,,,,False,False
01019,11,13.0,,12.8,,15.0,63.0,17.0,,,,22.4,,,22.6,,,63.0,16.4,,30.1,,,8.0,11.8,,,,16.0,10.0,51.2,,,,,,,,,1.5,32.6,2.0,,1.8,,4.0,52.0,6.0,,,,11.4,,,11.6,,,52.0,5.4,,19.1,,,-3.0,0.8,,,,5.0,-1.0,40.2,,,,,,,,,-9.5,21.6,,True,,False,False,False,,,,False,,,False,,,False,False,,False,,,False,True,,,,False,True,False,,,,,,,,,False,False
