,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1245,3474.0,8413.0,,,,,1908.0,1137.0,1078.2,2131.5,,1526.7,,,2229.0,7168.0,,,,,663.0,-108.0,-166.8,886.5,,281.7,,,False,,,,,True,True,True,True,,True,,
01003,4190,7482.0,3308.0,,,,,6198.0,5750.9,5170.4,8280.0,,3618.1,4469.0,,3292.0,-882.0,,,,,2008.0,1560.9,980.4,4090.0,,-571.9,279.0,,True,,,,,True,True,True,False,,True,True,
01005,421,720.0,797.0,,,,,691.0,1121.5,449.4,842.0,,,,,299.0,376.0,,,,,270.0,700.5,28.4,421.0,,,,,False,,,,,True,False,True,False,,,,
01007,377,1050.0,1089.0,,,,,697.0,275.6,465.0,975.5,,,,,673.0,712.0,,,,,320.0,-101.4,88.0,598.5,,,,,False,,,,,True,True,True,True,,,,
01009,995,1908.0,5031.0,,,,,2180.0,795.6,1000.2,1459.0,,1232.8,,,913.0,4036.0,,,,,1185.0,-199.4,5.2,464.0,,237.8,,,False,,,,,False,True,True,True,,True,,
01011,209,348.0,449.0,,,,,202.0,551.6,250.8,324.0,,,,,139.0,240.0,,,,,-7.0,342.6,41.8,115.0,,,,,False,,,,,True,False,True,True,,,,
01013,313,570.0,602.0,,,,,523.0,598.8,349.3,507.0,,,,,257.0,289.0,,,,,210.0,285.8,36.3,194.0,,,,,False,,,,,True,False,True,True,,,,
01015,2462,4566.0,13163.0,,,,,4238.0,1039.7,2175.2,3405.0,,2295.1,,,2104.0,10701.0,,,,,1776.0,-1422.3,-286.8,943.0,,-166.9,,,False,,,,,True,True,True,True,,True,,
01017,744,1404.0,2412.0,,,,,963.0,2385.2,457.5,1898.0,,941.9,,,660.0,1668.0,,,,,219.0,1641.2,-286.5,1154.0,,197.9,,,False,,,,,True,False,True,False,,True,,
01019,231,528.0,886.0,,,,,942.0,113.2,348.4,368.0,,,,,297.0,655.0,,,,,711.0,-117.8,117.4,137.0,,,,,False,,,,,False,True,True,True,,,,
