,mean_rank
LNQ-ens1,8.3
IEM_MED-CovidProject,8.4
Karlen-pypm,9.4
RobertWalraven-ESG,9.5
Microsoft-DeepSTIA,10.4
COVIDhub-ensemble,11.2
Geneva-DetGrowth,11.5
UVA-Ensemble,12.1
CU-select,12.1
LANL-GrowthRate,12.1
USC-SI_kJalpha,14.0
OneQuietNight-ML,14.1
BPagano-RtDriven,14.4
Google_Harvard-CPF,15.1
SigSci-TS,15.2
JHU_CSSE-DECOM,15.4
JHUAPL-Bucky,15.5
JHU_UNC_GAS-StatMechPool,16.0
CovidAnalytics-DELPHI,16.3
MIT_ISOLAT-Mixtures,16.7
OliverWyman-Navigator,17.5
CEID-Walk,18.1
COVIDhub-baseline,18.4
Covid19Sim-Simulator,18.4
UMich-RidgeTfReg,18.9
JHU_IDD-CovidSP,20.4
MOBS-GLEAM_COVID,21.1
IowaStateLW-STEM,21.6
TTU-squider,23.4
COVIDhub-trained_ensemble,29.6
