,predicted_cases,actual_cases,error,perc_error
JHUAPL-Bucky,9320103.6,9016963,303140.6,3.4%
Covid19Sim-Simulator,8392070.7,9016963,-624892.3,-6.9%
UCF-AEM,9940507.9,9016963,923544.9,10.2%
IBF-TimeSeries,10303395.0,9016963,1286432.0,14.3%
COVIDhub-baseline,10616344.0,9016963,1599381.0,17.7%
IowaStateLW-STEM,10626953.0,9016963,1609990.0,17.9%
UCLA-SuEIR,7263633.5,9016963,-1753329.5,-19.4%
Columbia_UNC-SurvCon,11429004.0,9016963,2412041.0,26.8%
USC-SI_kJalpha,5620727.0,9016963,-3396236.0,-37.7%
JCB-PRM,17090785.5,9016963,8073822.5,89.5%
