,count,mean,median,std,min,25%,75%,max
LANL-GrowthRate,51,10067219.7,460362.2,32849468.5,25.0,124258.5,4245459.1,213876000.2
Geneva-DetGrowth,51,17134543.7,558575.4,79518494.0,123.3,62688.5,2026210.7,553498773.3
LNQ-ens1,51,17790605.8,393832.4,112732817.5,48.7,46080.4,1823614.5,806599911.9
Google_Harvard-CPF,51,18583997.8,1178038.9,71287148.5,215.7,77952.2,12447483.0,507443202.2
JHU_CSSE-DECOM,51,19676568.2,1664100.0,88024029.6,2209.0,204404.0,6243700.5,626951521.0
IEM_MED-CovidProject,51,22549299.2,316830.5,145139621.9,282.8,33491.8,1426747.6,1038298568.8
Karlen-pypm,51,26530482.2,228962.2,165028675.0,292.4,30249.3,1655970.3,1180788278.8
CU-select,51,28837282.5,751689.0,156027212.2,900.0,61262.5,4886792.5,1107558400.0
OneQuietNight-ML,51,29121928.0,1570009.0,135786719.0,25.0,102481.0,6348936.5,925619776.0
USC-SI_kJalpha,51,30216809.7,898704.0,146579990.7,9.0,122026.0,10744868.5,1028035969.0
RobertWalraven-ESG,51,35406144.2,189111.9,230183530.0,28.8,30719.7,3660478.8,1646360650.6
Microsoft-DeepSTIA,50,35575322.5,626623.1,223091261.6,1359.1,75146.1,2510923.3,1595074211.5
COVIDhub-ensemble,51,41573721.1,933156.0,265596255.8,49.0,63264.5,4581044.0,1900436836.0
JHU_UNC_GAS-StatMechPool,51,44411023.8,1195742.2,131927735.3,900.0,183840.6,12101294.5,750020382.2
CEID-Walk,51,57104879.2,3329365.9,266972417.5,6.0,255038.7,18232549.5,1854207693.7
UVA-Ensemble,51,58759966.2,562505.7,371395114.9,6.0,39905.8,3409867.9,2655914051.2
COVIDhub-baseline,51,60773727.5,3541924.0,283042132.6,9.0,270980.0,19896102.5,1947192129.0
Covid19Sim-Simulator,51,61043873.4,2902728.0,288754826.2,4.9,196456.4,19627138.3,1980643372.7
SigSci-TS,49,61873364.4,1320201.0,355114228.5,9.0,175631.5,6207878.5,2535928164.0
BPagano-RtDriven,51,63399204.7,921792.0,308636442.4,269.0,149732.1,9358042.8,2170208810.2
OliverWyman-Navigator,51,67508822.3,1962801.0,355731974.7,81.0,183702.5,11773970.0,2523253824.0
IowaStateLW-STEM,49,80529780.9,4363921.0,390172092.3,196.0,630698.0,24503474.0,2787945601.0
UMich-RidgeTfReg,47,100715084.0,2412944.0,556510551.6,0.3,108414.0,23163757.5,3982059749.3
MIT_ISOLAT-Mixtures,50,122512150.0,2268265.1,812166130.5,83.7,169981.7,11926547.2,5807956442.1
CovidAnalytics-DELPHI,51,139612684.3,893025.0,864009071.4,49.0,236694.5,10510165.0,6176073744.0
JHU_IDD-CovidSP,51,145556866.8,3816750.4,654514497.7,1386.3,551939.2,19195743.9,3361326855.9
MOBS-GLEAM_COVID,50,154155666.4,4083919.2,671193931.5,359.1,378099.4,30625460.9,4297463258.9
COVIDhub-trained_ensemble,51,263102836.9,44262409.0,996028265.2,570025.0,7853924.0,115611920.0,6895807681.0
JHUAPL-Bucky,51,267854502.1,1497176.3,1824054287.5,462.4,238058.7,4225112.1,13035812149.4
TTU-squider,51,282119828.2,7225790.2,1509540417.7,10451.8,1063345.3,48423444.9,10638711553.5
