,count,mean,median,std,min,25%,75%,max
OneQuietNight-ML,3135,947193.4,11449.0,11633743.9,0.0,1764.0,76176.0,432640000.0
LANL-GrowthRate,3111,1217763.4,4970.2,18254587.7,0.0,529.0,43264.0,819476502.2
FAIR-NRAR,3137,1521817.7,2520.2,52691139.3,0.0,239.9,22335.6,2907056301.4
LNQ-ens1,3140,1976265.0,1974.2,52268889.9,0.0,183.0,15459.4,2236625160.8
COVIDhub-ensemble,3141,2608344.3,4900.0,51835989.5,0.0,441.0,40804.0,2257485169.0
JHUAPL-Bucky,3141,4281990.5,7432.3,68532364.1,0.0,891.4,58616.9,2091816874.2
PandemicCentral-USCounty,3118,5643007.9,18774.8,91939417.4,0.0,2101.7,148609.9,4052082376.6
Google_Harvard-CPF,3140,6728701.6,2464.0,160860735.2,0.0,312.2,21246.1,8131913873.3
JHU_IDD-CovidSP,3141,6906490.7,4074.3,223201699.1,0.0,413.0,40058.9,12099879231.1
UpstateSU-GRU,2770,9039766.0,17405.6,202663140.5,0.0,1811.7,156852.1,9422426288.3
COVIDhub-baseline,3141,11394649.2,15625.0,320232001.5,0.0,1369.0,142129.0,16797196816.0
CEID-Walk,3141,11569620.2,15168.4,335660785.1,0.0,1327.6,143478.1,17871130318.6
IowaStateLW-STEM,3103,17577838.9,17424.0,538942813.9,0.0,1764.0,156025.0,29313548944.0
UVA-Ensemble,3131,21830146.3,27515.7,326519789.5,0.0,2635.7,266280.6,13633178050.8
CU-select,3019,24855683.2,7744.0,535319644.8,0.0,784.0,77284.0,27008292964.0
