,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,2093,2408.0,,,,2321.0,,3397.2,,,2224.7,,,315.0,,,,228.0,,1304.2,,,131.7,,,,,,True,,False,,,True,,
01003,6684,7888.0,,,,6661.0,,5152.9,,,3497.0,3659.0,,1204.0,,,,-23.0,,-1531.1,,,-3187.0,-3025.0,,,,,True,,False,,,False,False,
01005,671,544.0,,,,832.0,,644.2,,,,,,-127.0,,,,161.0,,-26.8,,,,,,,,,False,,True,,,,,
01007,676,1104.0,,,,895.0,,1284.2,,,,,,428.0,,,,219.0,,608.2,,,,,,,,,True,,False,,,,,
01009,1596,2040.0,,,,2755.0,,1849.4,,,2020.3,,,444.0,,,,1159.0,,253.4,,,424.3,,,,,,False,,True,,,True,,
01011,334,584.0,,,,296.0,,226.0,,,,,,250.0,,,,-38.0,,-108.0,,,,,,,,,True,,True,,,,,
01013,492,424.0,,,,586.0,,328.9,,,,,,-68.0,,,,94.0,,-163.1,,,,,,,,,False,,False,,,,,
01015,3717,4832.0,,,,5532.0,,3250.5,,,2389.4,,,1115.0,,,,1815.0,,-466.5,,,-1327.6,,,,,,False,,True,,,False,,
01017,1161,696.0,,,,1227.0,,290.5,,,609.7,,,-465.0,,,,66.0,,-870.5,,,-551.3,,,,,,True,,False,,,False,,
01019,386,720.0,,,,1142.0,,591.6,,,,,,334.0,,,,756.0,,205.6,,,,,,,,,False,,True,,,,,
