,mean_rank
LNQ-ens1,8.1
Microsoft-DeepSTIA,8.8
IEM_MED-CovidProject,8.9
RobertWalraven-ESG,9.7
Karlen-pypm,10.8
BPagano-RtDriven,11.2
LANL-GrowthRate,11.5
COVIDhub-ensemble,12.2
COVIDhub-trained_ensemble,12.4
JHU_IDD-CovidSP,13.9
USC-SI_kJalpha,14.0
UChicagoCHATTOPADHYAY-UnIT,14.2
Google_Harvard-CPF,14.2
JHUAPL-Bucky,14.4
JHU_UNC_GAS-StatMechPool,14.9
OneQuietNight-ML,15.3
MIT_ISOLAT-Mixtures,15.6
CovidAnalytics-DELPHI,16.7
CU-select,17.0
JHU_CSSE-DECOM,17.2
MOBS-GLEAM_COVID,18.2
Covid19Sim-Simulator,18.5
UCLA-SuEIR,18.7
OliverWyman-Navigator,19.2
CEID-Walk,19.7
COVIDhub-baseline,20.5
IowaStateLW-STEM,20.5
UMich-RidgeTfReg,22.4
DDS-NBDS,22.9
TTU-squider,23.3
