,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,734,816.0,,987.6,,665.0,533.0,,,,,681.0,,474.9,,,828.0,341.5,634.0,522.5,,486.0,560.0,,,,718.0,812.8,,,,,,775.4,,,,853.4,1130.5,82.0,,253.6,,-69.0,-201.0,,,,,-53.0,,-259.1,,,94.0,-392.5,-100.0,-211.5,,-248.0,-174.0,,,,-16.0,78.8,,,,,,41.4,,,,119.4,396.5,,False,,True,False,,,,,True,,False,,,False,False,False,False,,False,False,,,,True,True,,,,,,True,,,,False,False
01003,2264,3808.0,,3829.7,,2781.0,5421.0,,,,,2365.8,,1956.6,,,2837.0,2219.1,3025.6,1674.0,,3245.5,2651.6,,,,2636.0,3250.7,,,,,,1866.2,2746.0,,,5614.4,4025.9,1544.0,,1565.7,,517.0,3157.0,,,,,101.8,,-307.4,,,573.0,-44.9,761.6,-590.0,,981.5,387.6,,,,372.0,986.7,,,,,,-397.8,482.0,,,3350.4,1761.9,,False,,True,False,,,,,True,,True,,,True,True,True,True,,True,True,,,,True,True,,,,,,True,True,,,False,False
01005,264,328.0,,295.6,,259.0,260.0,,,,,224.8,,208.0,,,267.0,124.9,275.5,,,385.0,252.7,,,,261.0,233.6,,,,,,,,,,423.9,323.2,64.0,,31.6,,-5.0,-4.0,,,,,-39.2,,-56.0,,,3.0,-139.1,11.5,,,121.0,-11.3,,,,-3.0,-30.4,,,,,,,,,,159.9,59.2,,True,,True,True,,,,,True,,True,,,True,False,True,,,False,True,,,,True,True,,,,,,,,,,False,True
01007,192,316.0,,303.8,,247.0,115.0,,,,,242.2,,194.3,,,339.0,115.8,247.5,,,197.0,207.9,,,,265.0,211.5,,,,,,399.9,,,,351.2,383.8,124.0,,111.8,,55.0,-77.0,,,,,50.2,,2.3,,,147.0,-76.2,55.5,,,5.0,15.9,,,,73.0,19.5,,,,,,207.9,,,,159.2,191.8,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,True,True,,,,,,False,,,,False,False
01009,580,680.0,,649.6,,579.0,692.0,,,,,614.9,,445.1,,,1025.0,389.1,547.1,195.5,,398.0,449.4,,,,625.0,505.3,,,,,,333.0,,,,814.5,831.6,100.0,,69.6,,-1.0,112.0,,,,,34.9,,-134.9,,,445.0,-190.9,-32.9,-384.5,,-182.0,-130.6,,,,45.0,-74.7,,,,,,-247.0,,,,234.5,251.6,,True,,True,False,,,,,True,,False,,,False,False,True,False,,False,False,,,,True,True,,,,,,False,,,,False,False
01011,125,184.0,,179.3,,110.0,169.0,,,,,113.0,,104.3,,,97.0,63.8,135.1,,,122.0,103.3,,,,118.0,68.7,,,,,,,,,,148.1,215.2,59.0,,54.3,,-15.0,44.0,,,,,-12.0,,-20.7,,,-28.0,-61.2,10.1,,,-3.0,-21.7,,,,-7.0,-56.3,,,,,,,,,,23.1,90.2,,True,,True,True,,,,,True,,True,,,True,False,True,,,True,True,,,,True,True,,,,,,,,,,True,False
01013,207,188.0,,209.5,,171.0,82.0,,,,,194.7,,129.9,,,230.0,105.9,238.6,,,146.0,137.5,,,,172.0,176.3,,,,,,,,,,247.6,202.5,-19.0,,2.5,,-36.0,-125.0,,,,,-12.3,,-77.1,,,23.0,-101.1,31.6,,,-61.0,-69.5,,,,-35.0,-30.7,,,,,,,,,,40.6,-4.5,,True,,False,False,,,,,True,,False,,,False,False,False,,,False,False,,,,False,False,,,,,,,,,,False,True
01015,1419,1672.0,,1503.2,,1375.0,1004.0,,,,,1322.3,,971.0,,,1837.0,1278.5,1419.7,552.5,,1011.0,1170.1,,,,1298.0,2800.6,,,,,,1246.9,,,,1971.4,2060.0,253.0,,84.2,,-44.0,-415.0,,,,,-96.7,,-448.0,,,418.0,-140.5,0.7,-866.5,,-408.0,-248.9,,,,-121.0,1381.6,,,,,,-172.1,,,,552.4,641.0,,True,,True,False,,,,,True,,False,,,False,True,True,False,,False,True,,,,True,False,,,,,,True,,,,False,False
01017,330,864.0,,878.8,,557.0,637.0,,,,,377.5,,392.4,,,415.0,514.5,461.3,510.0,,653.5,504.1,,,,529.0,592.4,,,,,,688.9,,,,1225.8,572.8,534.0,,548.8,,227.0,307.0,,,,,47.5,,62.4,,,85.0,184.5,131.3,180.0,,323.5,174.1,,,,199.0,262.4,,,,,,358.9,,,,895.8,242.8,,False,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,True,True,,,,,,True,,,,False,True
01019,103,204.0,,182.8,,168.0,52.0,,,,,179.4,,182.2,,,396.0,81.8,191.9,,,156.0,166.1,,,,202.0,184.7,,,,,,,,,,233.6,234.2,101.0,,79.8,,65.0,-51.0,,,,,76.4,,79.2,,,293.0,-21.2,88.9,,,53.0,63.1,,,,99.0,81.7,,,,,,,,,,130.6,131.2,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,True,True,,,,,,,,,,False,False
