,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,30404,48420.0,44657.7,44620.0,45748.0,42618.0,45499.0,,51528.8,33632.0,59099.5,,57030.6,,43626.8,55160.0,55132.1,55471.0,37966.2,49190.0,30935.0,61705.5,44209.7,40485.0,50208.9,43729.0,45162.0,38734.0,,38584.5,48420.0,50273.4,,48063.3,41500.1,56913.0,43957.2,,18016.0,14253.7,14216.0,15344.0,12214.0,15095.0,,21124.8,3228.0,28695.5,,26626.6,,13222.8,24756.0,24728.1,25067.0,7562.2,18786.0,531.0,31301.5,13805.7,10081.0,19804.9,13325.0,14758.0,8330.0,,8180.5,18016.0,19869.4,,17659.3,11096.1,26509.0,13553.2,,True,True,True,True,True,,False,True,False,,False,,True,False,False,False,True,False,True,False,True,True,False,True,True,True,,True,False,False,,True,True,False,True,
Alaska,3177,3198.0,3486.3,3146.5,2655.0,3883.0,1668.0,,3227.5,4709.0,2681.7,,3711.6,,2200.2,,5234.5,3130.0,2924.0,2238.0,2590.9,1996.0,2210.5,1167.6,6649.7,2854.5,3301.0,4545.0,,2191.5,2677.0,2023.4,,3057.3,2644.3,2958.0,2243.7,,21.0,309.3,-30.5,-522.0,706.0,-1509.0,,50.5,1532.0,-495.3,,534.6,,-976.8,,2057.5,-47.0,-253.0,-939.0,-586.1,-1181.0,-966.5,-2009.4,3472.7,-322.5,124.0,1368.0,,-985.5,-500.0,-1153.6,,-119.7,-532.7,-219.0,-933.3,,False,False,False,False,False,,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,
Arizona,52784,114066.0,103298.1,112487.3,99174.0,91537.0,120301.0,,118468.5,107341.0,127984.3,,114810.9,,86775.5,119020.0,76160.3,103174.0,84495.0,95359.5,87284.4,67207.0,69125.6,44514.7,81016.5,94441.5,108625.0,78239.0,,75340.6,101546.0,99927.9,,105879.3,124598.1,93511.0,111707.6,,61282.0,50514.1,59703.3,46390.0,38753.0,67517.0,,65684.5,54557.0,75200.3,,62026.9,,33991.5,66236.0,23376.3,50390.0,31711.0,42575.5,34500.4,14423.0,16341.6,-8269.3,28232.5,41657.5,55841.0,25455.0,,22556.6,48762.0,47143.9,,53095.3,71814.1,40727.0,58923.6,,True,True,True,True,False,,False,True,False,,False,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
Arkansas,20843,34176.0,28139.0,34488.8,28665.0,31515.0,26640.0,,33159.3,30428.0,35426.8,,28557.1,,23560.0,36026.0,15356.8,34337.0,24879.2,26922.0,25095.9,21062.5,21345.7,20276.4,20434.3,32201.0,32515.0,31678.0,,21506.8,40589.0,21463.9,,30382.2,45344.2,27337.0,34851.5,,13333.0,7296.0,13645.8,7822.0,10672.0,5797.0,,12316.3,9585.0,14583.8,,7714.1,,2717.0,15183.0,-5486.2,13494.0,4036.2,6079.0,4252.9,219.5,502.7,-566.6,-408.7,11358.0,11672.0,10835.0,,663.8,19746.0,620.9,,9539.2,24501.2,6494.0,14008.5,,True,False,True,True,True,,True,True,False,,True,,True,False,True,False,True,True,True,True,True,True,True,True,True,True,,True,False,True,,True,False,True,False,
California,216389,428763.0,442640.6,441492.4,302397.0,301004.0,415635.0,,366586.8,168337.0,470561.9,,309091.2,,261284.4,321293.0,312978.8,374154.0,368431.8,172736.5,204172.0,220894.0,272485.9,100975.2,450662.8,343265.9,388697.0,230073.0,,247710.3,359554.0,556997.9,,436524.7,270849.9,299563.0,341320.9,,212374.0,226251.6,225103.4,86008.0,84615.0,199246.0,,150197.8,-48052.0,254172.9,,92702.2,,44895.4,104904.0,96589.8,157765.0,152042.8,-43652.5,-12217.0,4505.0,56096.9,-115413.8,234273.8,126876.9,172308.0,13684.0,,31321.3,143165.0,340608.9,,220135.7,54460.9,83174.0,124931.9,,False,False,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,False,True,True,True,
Colorado,24793,30159.0,16835.4,33545.8,22683.0,30667.0,34126.0,,27150.0,27965.0,25217.3,,31987.7,,21865.1,26769.0,11410.5,29104.0,30918.0,24262.0,22877.7,20779.0,20873.6,15052.1,18942.1,23949.6,27273.0,36418.0,,15974.0,5020.0,10239.6,,27828.3,11595.9,23985.0,19557.9,,5366.0,-7957.6,8752.8,-2110.0,5874.0,9333.0,,2357.0,3172.0,424.3,,7194.7,,-2927.9,1976.0,-13382.5,4311.0,6125.0,-531.0,-1915.3,-4014.0,-3919.4,-9740.9,-5850.9,-843.4,2480.0,11625.0,,-8819.0,-19773.0,-14553.4,,3035.3,-13197.1,-808.0,-5235.1,,False,False,True,False,False,,True,True,True,,False,,True,True,False,True,False,True,True,True,True,False,False,True,True,False,,False,False,False,,True,False,True,True,
Connecticut,23078,36624.0,30846.1,36827.9,35622.0,35113.0,38924.0,,36258.7,39569.0,1592724.9,,39288.9,,25621.6,36760.0,18082.7,38043.0,28441.7,36113.5,36853.4,28068.0,27661.5,12818.2,33988.1,36442.0,34127.0,35344.0,,27229.7,36624.0,24942.7,,45706.7,44148.2,24566.0,37542.5,,13546.0,7768.1,13749.9,12544.0,12035.0,15846.0,,13180.7,16491.0,1569646.9,,16210.9,,2543.6,13682.0,-4995.3,14965.0,5363.7,13035.5,13775.4,4990.0,4583.5,-10259.8,10910.1,13364.0,11049.0,12266.0,,4151.7,13546.0,1864.7,,22628.7,21070.2,1488.0,14464.5,,True,False,True,True,False,,True,False,False,,False,,True,False,True,False,True,True,False,True,True,True,True,True,True,True,,True,False,True,,False,False,True,False,
Delaware,6980,10908.0,10479.4,10524.2,9588.0,9055.0,9487.0,,11041.8,7676.0,11836.0,,8998.7,,8469.1,10325.0,6198.1,9923.0,7705.0,9528.0,7326.2,8173.0,8200.4,12799.8,9730.7,10630.5,11353.0,7842.0,,7620.0,11093.0,11118.3,,10867.8,9576.0,9250.0,10725.1,,3928.0,3499.4,3544.2,2608.0,2075.0,2507.0,,4061.8,696.0,4856.0,,2018.7,,1489.1,3345.0,-781.9,2943.0,725.0,2548.0,346.2,1193.0,1220.4,5819.8,2750.7,3650.5,4373.0,862.0,,640.0,4113.0,4138.3,,3887.8,2596.0,2270.0,3745.1,,True,True,True,True,True,,False,True,False,,True,,True,True,True,True,True,True,True,True,True,False,True,True,False,True,,True,False,False,,True,True,True,True,
District of Columbia,2891,4755.0,4176.6,4733.8,4180.0,3370.0,8228.0,,4407.9,6240.0,4357.0,,2416.7,,4040.7,4343.0,3788.7,4778.0,3346.8,3921.5,4278.0,3633.0,3709.3,,,,4520.0,2571.0,,4043.8,4755.0,4698.9,,4973.4,,4002.0,3986.7,,1864.0,1285.6,1842.8,1289.0,479.0,5337.0,,1516.9,3349.0,1466.0,,-474.3,,1149.7,1452.0,897.7,1887.0,455.8,1030.5,1387.0,742.0,818.3,,,,1629.0,-320.0,,1152.8,1864.0,1807.9,,2082.4,,1111.0,1095.7,,True,True,True,True,False,,True,False,True,,True,,True,True,True,False,True,True,True,True,True,,,,True,True,,True,False,True,,False,,True,True,
Florida,150118,221025.0,196586.5,221927.2,195593.0,208517.0,268538.0,,212268.8,261179.0,300504.3,,177283.2,,190885.4,184952.0,151388.6,215422.0,189205.5,165443.5,165917.7,169641.5,164680.6,202283.3,187311.4,200033.3,232481.0,203358.0,,163600.8,212579.0,163054.7,,196526.0,228864.5,192642.0,174791.7,,70907.0,46468.5,71809.2,45475.0,58399.0,118420.0,,62150.8,111061.0,150386.3,,27165.2,,40767.4,34834.0,1270.6,65304.0,39087.5,15325.5,15799.7,19523.5,14562.6,52165.3,37193.4,49915.3,82363.0,53240.0,,13482.8,62461.0,12936.7,,46408.0,78746.5,42524.0,24673.7,,True,False,True,True,False,,True,False,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,,True,False,True,True,
Georgia,77889,131100.0,134730.2,128081.5,124487.0,107678.0,113742.0,,131058.7,158893.0,129595.8,,133758.6,,101294.8,127328.0,134760.3,131428.0,96244.2,107935.5,86790.2,89376.0,91437.6,118833.3,118661.3,113255.1,140776.0,92707.0,,91539.7,137005.0,118573.7,,125622.4,145022.2,121187.0,126514.1,,53211.0,56841.2,50192.5,46598.0,29789.0,35853.0,,53169.7,81004.0,51706.8,,55869.6,,23405.8,49439.0,56871.3,53539.0,18355.2,30046.5,8901.2,11487.0,13548.6,40944.3,40772.3,35366.1,62887.0,14818.0,,13650.7,59116.0,40684.7,,47733.4,67133.2,43298.0,48625.1,,False,True,True,True,True,,True,False,True,,False,,True,True,False,False,True,True,True,True,True,True,True,True,False,True,,True,False,True,,True,False,True,True,
Hawaii,1303,2274.0,2399.7,2284.5,2168.0,2891.0,2107.0,,2207.1,4872.0,1784.5,,2356.0,,1690.9,,1255.6,2535.0,4127.9,1909.5,1615.6,1708.0,1623.2,2785.3,3540.1,2243.0,2383.0,3168.0,,1521.0,2385.0,3649.1,,1931.6,2452.2,1823.0,2130.9,,971.0,1096.7,981.5,865.0,1588.0,804.0,,904.1,3569.0,481.5,,1053.0,,387.9,,-47.4,1232.0,2824.9,606.5,312.6,405.0,320.2,1482.3,2237.1,940.0,1080.0,1865.0,,218.0,1082.0,2346.1,,628.6,1149.2,520.0,827.9,,False,False,True,False,True,,True,False,True,,False,,True,,True,False,False,True,True,True,True,False,False,True,False,False,,True,False,False,,True,False,True,True,
Idaho,6467,10074.0,8966.5,10285.0,8458.0,10550.0,7286.0,,9964.1,5563.0,25255.0,,10080.3,,6425.7,8900.0,6887.7,8963.0,9550.7,8599.5,8753.2,5787.5,6431.6,6828.8,10035.3,8558.8,9224.0,12012.0,,8809.7,9921.0,7600.7,,8081.8,12361.3,7550.0,7175.5,,3607.0,2499.5,3818.0,1991.0,4083.0,819.0,,3497.1,-904.0,18788.0,,3613.3,,-41.3,2433.0,420.7,2496.0,3083.7,2132.5,2286.2,-679.5,-35.4,361.8,3568.3,2091.8,2757.0,5545.0,,2342.7,3454.0,1133.7,,1614.8,5894.3,1083.0,708.5,,True,False,True,False,True,,True,True,False,,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,True,False,True,True,
