,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,142528,188432.0,,212723.6,,233233.0,302992.6,145257.2,,204840.9,99457.0,45904.0,,70195.6,,90705.0,160464.6,2729.2,,62312.9,-43071.0,,False,,False,False,True,,False,True
Alaska,11914,14328.0,,11763.7,,,18918.2,4128.8,,9944.6,6929.0,2414.0,,-150.3,,,7004.2,-7785.2,,-1969.4,-4985.0,,True,,,False,False,,True,False
Arizona,313122,358480.0,,333410.9,,328563.0,502531.9,210147.6,,278766.5,183283.0,45358.0,,20288.9,,15441.0,189409.9,-102974.4,,-34355.5,-129839.0,,True,,True,False,False,,True,False
Arkansas,101261,110840.0,,118297.9,,149094.0,179856.6,72698.7,,89169.3,50796.0,9579.0,,17036.9,,47833.0,78595.6,-28562.3,,-12091.7,-50465.0,,False,,False,False,False,,False,False
California,1382684,2224424.0,,2482415.4,,2086614.0,4543882.6,3812433.9,,1998266.5,1358561.0,841740.0,,1099731.4,,703930.0,3161198.6,2429749.9,,615582.5,-24123.0,,False,,True,False,False,,True,True
Colorado,96193,136168.0,,118978.7,,143403.0,123870.7,35676.3,,138560.1,69349.0,39975.0,,22785.7,,47210.0,27677.7,-60516.7,,42367.1,-26844.0,,True,,False,True,False,,False,True
Connecticut,100358,79688.0,,87230.6,,102598.0,176170.9,44827.6,,102060.5,37567.0,-20670.0,,-13127.4,,2240.0,75812.9,-55530.4,,1702.5,-62791.0,,True,,True,False,False,,True,False
Delaware,30058,34696.0,,36128.3,,32777.0,59259.1,16682.0,,24112.9,19790.0,4638.0,,6070.3,,2719.0,29201.1,-13376.0,,-5945.1,-10268.0,,False,,True,False,False,,False,False
District of Columbia,11843,10944.0,,10962.8,,12469.0,15152.3,6641.6,,15139.0,5972.0,-899.0,,-880.2,,626.0,3309.3,-5201.4,,3296.0,-5871.0,,True,,True,False,False,,False,False
Florida,599119,571384.0,,617214.2,,633535.0,843751.9,381964.6,,490182.2,316442.0,-27735.0,,18095.2,,34416.0,244632.9,-217154.4,,-108936.8,-282677.0,,True,,False,False,False,,False,False
Georgia,354959,371904.0,,404316.5,,414712.0,567409.1,329365.7,,252757.4,191426.0,16945.0,,49357.5,,59753.0,212450.1,-25593.3,,-102201.6,-163533.0,,False,,False,False,False,,False,False
Hawaii,6041,7048.0,,7232.5,,,9959.8,6291.6,,4239.1,3598.0,1007.0,,1191.5,,,3918.8,250.6,,-1801.9,-2443.0,,False,,,False,True,,False,False
Idaho,33363,53744.0,,60881.7,,62493.0,72108.1,26316.9,,29621.6,23553.0,20381.0,,27518.7,,29130.0,38745.1,-7046.1,,-3741.4,-9810.0,,False,,False,False,True,,True,True
Illinois,238594,318200.0,,249289.9,,317979.0,437676.2,104447.6,,203381.1,159422.0,79606.0,,10695.9,,79385.0,199082.2,-134146.4,,-35212.9,-79172.0,,True,,True,False,False,,True,True
Indiana,162639,273200.0,,254261.8,,278277.0,325977.3,88601.5,,93882.2,125555.0,110561.0,,91622.8,,115638.0,163338.3,-74037.5,,-68756.8,-37084.0,,True,,False,False,True,,True,True
Iowa,57389,62672.0,,66093.6,,91486.0,83333.0,22318.5,,39397.5,31071.0,5283.0,,8704.6,,34097.0,25944.0,-35070.5,,-17991.5,-26318.0,,False,,False,False,False,,False,False
Kansas,80634,74720.0,,83460.5,,103507.0,170487.8,50873.6,,82731.3,33485.0,-5914.0,,2826.5,,22873.0,89853.8,-29760.4,,2097.3,-47149.0,,True,,False,False,False,,True,False
Kentucky,140456,119992.0,,123933.7,,133029.0,173478.9,76005.8,,70387.6,65995.0,-20464.0,,-16522.3,,-7427.0,33022.9,-64450.2,,-70068.4,-74461.0,,True,,True,False,False,,False,False
Louisiana,125788,112520.0,,129203.1,,153598.0,135144.5,70394.2,,100709.8,52123.0,-13268.0,,3415.1,,27810.0,9356.5,-55393.8,,-25078.2,-73665.0,,True,,False,True,False,,False,False
Maine,21820,22472.0,,33573.4,,28441.0,52414.2,51026.5,,23744.6,14064.0,652.0,,11753.4,,6621.0,30594.2,29206.5,,1924.6,-7756.0,,False,,False,False,False,,False,False
Maryland,110297,133488.0,,125420.3,,125757.0,156045.5,57608.9,,142164.4,60158.0,23191.0,,15123.3,,15460.0,45748.5,-52688.1,,31867.4,-50139.0,,True,,True,False,False,,False,False
Massachusetts,218162,242656.0,,256261.6,,277674.0,397436.2,139193.3,,146426.1,141708.0,24494.0,,38099.6,,59512.0,179274.2,-78968.7,,-71735.9,-76454.0,,False,,False,False,False,,False,False
Michigan,119943,162160.0,,122394.3,,202736.0,158174.4,40749.6,,366572.4,84499.0,42217.0,,2451.3,,82793.0,38231.4,-79193.4,,246629.4,-35444.0,,True,,False,True,False,,False,True
Minnesota,71612,95280.0,,84460.6,,139160.0,93279.6,18435.0,,60295.7,54225.0,23668.0,,12848.6,,67548.0,21667.6,-53177.0,,-11316.3,-17387.0,,True,,False,True,False,,True,True
Mississippi,85219,103296.0,,108093.0,,121382.0,123098.2,67258.6,,88929.8,53023.0,18077.0,,22874.0,,36163.0,37879.2,-17960.4,,3710.8,-32196.0,,False,,False,False,True,,True,False
Missouri,134277,143400.0,,140974.0,,158790.0,171090.5,56331.5,,137819.0,65075.0,9123.0,,6697.0,,24513.0,36813.5,-77945.5,,3542.0,-69202.0,,True,,False,False,False,,True,False
Montana,19208,22512.0,,20640.3,,29766.0,22575.8,7900.1,,11809.2,11304.0,3304.0,,1432.3,,10558.0,3367.8,-11307.9,,-7398.8,-7904.0,,True,,False,False,False,,False,False
Nebraska,37414,47376.0,,45756.1,,51255.0,60359.7,11348.2,,65679.1,22222.0,9962.0,,8342.1,,13841.0,22945.7,-26065.8,,28265.1,-15192.0,,True,,False,False,False,,False,False
Nevada,75018,110360.0,,99256.6,,119414.0,155560.0,50847.2,,95439.7,52744.0,35342.0,,24238.6,,44396.0,80542.0,-24170.8,,20421.7,-22274.0,,True,,False,False,True,,True,True
New Hampshire,32030,34592.0,,37706.6,,42166.0,64091.4,32840.5,,32558.6,23760.0,2562.0,,5676.6,,10136.0,32061.4,810.5,,528.6,-8270.0,,False,,False,False,True,,True,False
New Jersey,257651,251872.0,,226622.4,,235673.0,339477.9,108091.8,,171992.5,122589.0,-5779.0,,-31028.6,,-21978.0,81826.9,-149559.2,,-85658.5,-135062.0,,False,,False,False,False,,False,False
New Mexico,45249,66368.0,,53924.7,,76898.0,87073.0,21991.6,,25363.2,29794.0,21119.0,,8675.7,,31649.0,41824.0,-23257.4,,-19885.8,-15455.0,,True,,False,False,False,,True,True
New York,661421,611496.0,,557162.0,,530666.0,848533.7,519947.5,,504328.2,293434.0,-49925.0,,-104259.0,,-130755.0,187112.7,-141473.5,,-157092.8,-367987.0,,False,,False,False,False,,False,False
North Carolina,326166,333296.0,,308790.3,,373389.0,462355.4,261535.9,,302208.0,136564.0,7130.0,,-17375.7,,47223.0,136189.4,-64630.1,,-23958.0,-189602.0,,False,,False,False,False,,False,False
