,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,46544,75044.0,78803.6,68382.9,67340.0,71627.0,,68919.5,54571.0,65316.2,,70514.1,,59265.7,70753.0,34856.6,72173.0,59310.5,71297.5,36740.1,54808.5,51271.1,48361.2,73254.0,74884.8,68921.0,,66152.9,,78928.1,,62434.4,110904.1,89574.3,68418.0,91539.0,,28500.0,32259.6,21838.9,20796.0,25083.0,,22375.5,8027.0,18772.2,,23970.1,,12721.7,24209.0,-11687.4,25629.0,12766.5,24753.5,-9803.9,8264.5,4727.1,1817.2,26710.0,28340.8,22377.0,,19608.9,,32384.1,,15890.4,64360.1,43030.3,21874.0,44995.0,,False,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,False,,True,False,False,True,False,
Alaska,4243,5988.0,3517.6,5636.4,4416.0,2223.0,,5689.6,14245.0,4474.4,,5296.1,,4389.0,,3982.0,6676.0,4388.1,3324.0,3834.1,3464.5,3799.0,2560.4,11172.0,5207.0,8363.0,,3389.0,,3107.7,,5589.1,2596.6,10111.9,4597.0,6722.7,,1745.0,-725.4,1393.4,173.0,-2020.0,,1446.6,10002.0,231.4,,1053.1,,146.0,,-261.0,2433.0,145.1,-919.0,-408.9,-778.5,-444.0,-1682.6,6929.0,964.0,4120.0,,-854.0,,-1135.3,,1346.1,-1646.4,5868.9,354.0,2479.7,,True,True,True,False,,True,False,True,,True,,True,,True,False,True,True,True,True,True,True,False,True,False,,True,,True,,True,True,False,True,False,
Arizona,90806,193824.0,161804.5,185928.1,172074.0,296755.0,,192007.5,157927.0,184090.8,,148425.6,,176632.0,173251.0,94282.7,196664.0,162590.0,184290.5,128917.9,135603.0,164769.0,148292.4,113536.7,204799.3,133255.0,,172670.2,,148104.0,,165058.8,349516.0,205719.7,174838.0,251995.0,,103018.0,70998.5,95122.1,81268.0,205949.0,,101201.5,67121.0,93284.8,,57619.6,,85826.0,82445.0,3476.7,105858.0,71784.0,93484.5,38111.9,44797.0,73963.0,57486.4,22730.7,113993.3,42449.0,,81864.2,,57298.0,,74252.8,258710.0,114913.7,84032.0,161189.0,,True,True,True,False,,True,True,True,,True,,True,True,True,False,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,False,
Arkansas,32235,51268.0,47736.0,50052.4,44699.0,31479.0,,53947.0,43513.0,47248.1,,46597.9,,44505.6,57762.0,18423.6,50127.0,38444.9,50510.0,41921.4,33830.5,34303.0,32437.1,41682.1,64027.0,46188.0,,39284.6,,29545.4,,45227.0,104070.5,60760.3,37473.0,62792.7,,19033.0,15501.0,17817.4,12464.0,-756.0,,21712.0,11278.0,15013.1,,14362.9,,12270.6,25527.0,-13811.4,17892.0,6209.9,18275.0,9686.4,1595.5,2068.0,202.1,9447.1,31792.0,13953.0,,7049.6,,-2689.6,,12992.0,71835.5,28525.3,5238.0,30557.7,,True,True,True,True,,False,True,True,,True,,True,False,True,True,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,False,
California,359310,751488.0,822529.9,759374.0,646942.0,488062.0,,730357.6,315614.0,782116.2,,811982.5,,449000.8,762427.0,533004.6,910713.0,634935.3,560442.0,692386.0,373584.5,509885.7,493798.4,813125.0,806500.3,420880.0,,589711.2,,818339.6,,722627.8,1353005.1,767158.6,497437.0,880480.4,,392178.0,463219.9,400064.0,287632.0,128752.0,,371047.6,-43696.0,422806.2,,452672.5,,89690.8,403117.0,173694.6,551403.0,275625.3,201132.0,333076.0,14274.5,150575.7,134488.4,453815.0,447190.3,61570.0,,230401.2,,459029.6,,363317.8,993695.1,407848.6,138127.0,521170.4,,False,False,True,True,,True,True,False,,False,,True,False,True,False,True,True,True,True,True,True,False,False,True,,True,,False,,True,False,False,True,False,
Colorado,34846,45932.0,30439.7,42764.8,40799.0,35453.0,,45513.5,40234.0,36212.8,,48653.8,,33876.7,41735.0,13418.0,50617.0,47233.7,46535.0,33312.9,33740.5,32340.9,28083.5,34229.6,49929.4,55487.0,,40192.6,,15057.5,,55023.7,57694.0,44575.1,35694.0,55908.0,,11086.0,-4406.3,7918.8,5953.0,607.0,,10667.5,5388.0,1366.8,,13807.8,,-969.3,6889.0,-21428.0,15771.0,12387.7,11689.0,-1533.1,-1105.5,-2505.1,-6762.5,-616.4,15083.4,20641.0,,5346.6,,-19788.5,,20177.7,22848.0,9729.1,848.0,21062.0,,True,True,True,True,,True,True,True,,False,,True,True,False,False,False,False,True,True,True,True,True,False,False,,True,,False,,False,False,True,True,False,
Connecticut,35286,57572.0,50060.2,62004.3,56130.0,105094.0,,58551.8,143102.0,1879469.2,,56102.5,,57026.4,58374.0,25699.4,54670.0,51331.4,53983.0,56972.6,44114.0,42063.3,22137.4,46772.7,65653.6,52190.0,,66739.1,,32067.3,,28809.5,85517.2,73532.5,38962.0,62321.5,,22286.0,14774.2,26718.3,20844.0,69808.0,,23265.8,107816.0,1844183.2,,20816.5,,21740.4,23088.0,-9586.6,19384.0,16045.4,18697.0,21686.6,8828.0,6777.3,-13148.6,11486.7,30367.6,16904.0,,31453.1,,-3218.7,,-6476.5,50231.2,38246.5,3676.0,27035.5,,True,False,True,False,,False,False,False,,True,,True,False,True,True,True,True,True,True,True,True,True,False,True,,False,,True,,True,False,False,True,False,
Delaware,10616,18172.0,14585.4,18387.6,16392.0,18903.0,,18158.5,10028.0,20345.9,,19032.5,,16626.7,16538.0,8876.3,18976.0,12610.0,14309.5,16672.2,12542.5,14928.1,14240.7,13418.0,20620.1,15917.0,,19204.0,,16424.5,,15561.6,26560.3,19891.2,15297.0,21730.4,,7556.0,3969.4,7771.6,5776.0,8287.0,,7542.5,-588.0,9729.9,,8416.5,,6010.7,5922.0,-1739.7,8360.0,1994.0,3693.5,6056.2,1926.5,4312.1,3624.7,2802.0,10004.1,5301.0,,8588.0,,5808.5,,4945.6,15944.3,9275.2,4681.0,11114.4,,True,False,True,False,,True,True,False,,False,,True,True,True,False,True,True,True,True,True,True,True,False,True,,False,,True,,True,False,False,True,False,
District of Columbia,4476,6160.0,6622.0,6083.5,6235.0,4985.0,,6575.6,18923.0,6369.3,,4012.9,,6309.7,6634.0,6021.2,6797.0,6204.3,4788.5,7063.5,4261.0,5105.7,,,,2617.0,,5903.3,,6530.5,,6304.1,11035.6,,5511.0,5159.9,,1684.0,2146.0,1607.5,1759.0,509.0,,2099.6,14447.0,1893.3,,-463.1,,1833.7,2158.0,1545.2,2321.0,1728.3,312.5,2587.5,-215.0,629.7,,,,-1859.0,,1427.3,,2054.5,,1828.1,6559.6,,1035.0,683.9,,False,True,False,True,,False,False,False,,True,,False,False,True,False,False,True,False,True,True,,,,False,,True,,False,,False,False,,True,True,
Florida,223793,318912.0,295708.6,325803.7,296930.0,339950.0,,338401.3,2088134.0,279415.0,,248865.5,,265015.8,301575.0,166320.4,,300042.6,342152.5,263767.7,243415.5,257616.1,409361.9,260459.8,345864.2,309257.0,,335011.3,,261159.3,,299943.5,529481.2,283410.9,278811.0,401225.0,,95119.0,71915.6,102010.7,73137.0,116157.0,,114608.3,1864341.0,55622.0,,25072.5,,41222.8,77782.0,-57472.6,,76249.6,118359.5,39974.7,19622.5,33823.1,185568.9,36666.8,122071.2,85464.0,,111218.3,,37366.3,,76150.5,305688.2,59617.9,55018.0,177432.0,,True,False,True,False,,False,False,True,,True,,True,True,True,,True,False,True,True,True,False,True,False,True,,False,,True,,True,False,True,True,False,
