,mean_rank
LNQ-ens1,5.0
LANL-GrowthRate,5.2
USC-SI_kJalpha,8.0
JHUAPL-Bucky,9.7
MOBS-GLEAM_COVID,10.8
JHU_IDD-CovidSP,10.9
IEM_MED-CovidProject,10.9
RobertWalraven-ESG,11.5
UCLA-SuEIR,11.7
Karlen-pypm,12.4
COVIDhub-ensemble,12.6
DDS-NBDS,12.7
BPagano-RtDriven,13.4
TTU-squider,14.4
MIT_ISOLAT-Mixtures,14.7
CU-select,15.0
CovidAnalytics-DELPHI,15.4
JHU_UNC_GAS-StatMechPool,16.9
Google_Harvard-CPF,17.5
CEID-Walk,17.7
OneQuietNight-ML,17.7
COVIDhub-baseline,18.6
Covid19Sim-Simulator,19.1
JHU_CSSE-DECOM,19.2
IowaStateLW-STEM,19.3
Microsoft-DeepSTIA,21.8
UMich-RidgeTfReg,22.0
UVA-Ensemble,24.4
UCSB-ACTS,26.8
