,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,6130,8545.0,11109.7,8111.2,8168.0,12719.0,8616.0,,9183.4,6979.0,,4877.9,10683.8,,7510.3,10808.0,8225.2,7205.0,10557.2,8393.5,6032.8,4908.5,7241.9,9358.0,11356.3,7686.5,9001.0,5986.0,,8551.4,7916.0,12819.0,,11568.8,7833.0,7507.5,,2415.0,4979.7,1981.2,2038.0,6589.0,2486.0,,3053.4,849.0,,-1252.1,4553.8,,1380.3,4678.0,2095.2,1075.0,4427.2,2263.5,-97.2,-1221.5,1111.9,3228.0,5226.3,1556.5,2871.0,-144.0,,2421.4,1786.0,6689.0,,5438.8,1703.0,1377.5,,False,True,True,False,False,,False,True,,True,False,,True,False,True,True,False,True,True,True,True,False,False,True,False,True,,False,True,False,,False,True,True,
Alaska,988,1146.0,369.0,1101.0,1037.0,2137.0,597.0,,1145.5,386.0,,317.8,76.9,,1155.5,,1213.9,1341.0,748.1,521.5,699.8,634.0,804.4,767.6,1073.8,1096.5,997.0,1120.0,,772.4,1178.0,514.4,,1266.3,857.0,1036.7,,158.0,-619.0,113.0,49.0,1149.0,-391.0,,157.5,-602.0,,-670.2,-911.1,,167.5,,225.9,353.0,-239.9,-466.5,-288.2,-354.0,-183.6,-220.4,85.8,108.5,9.0,132.0,,-215.6,190.0,-473.6,,278.3,-131.0,48.7,,False,True,True,False,False,,True,False,,False,False,,False,,False,False,False,False,False,False,False,False,True,True,True,True,,False,False,False,,False,True,True,
Arizona,10840,16230.0,16739.1,16313.8,13078.0,19539.0,12701.0,,17282.8,20706.0,,10092.6,11378.6,,11784.2,19588.0,10361.5,13189.0,22895.1,7325.0,13123.4,8473.0,12220.8,9660.6,19171.9,13260.9,15755.0,6458.0,,14394.0,12130.0,25846.3,,10976.7,15050.0,12181.9,,5390.0,5899.1,5473.8,2238.0,8699.0,1861.0,,6442.8,9866.0,,-747.4,538.6,,944.2,8748.0,-478.5,2349.0,12055.1,-3515.0,2283.4,-2367.0,1380.8,-1179.4,8331.9,2420.9,4915.0,-4382.0,,3554.0,1290.0,15006.3,,136.7,4210.0,1341.9,,False,False,True,False,True,,False,False,,True,True,,True,False,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,False,,True,True,True,
Arkansas,2668,6498.0,6352.0,6769.5,6784.0,10873.0,6801.0,,7731.6,7821.0,,2827.6,5500.2,,6661.0,9670.0,8826.0,6318.0,7120.6,3197.0,6577.8,4518.0,5297.2,7956.0,6825.3,6596.0,7639.0,6754.0,,7041.6,5702.0,5682.4,,7760.9,6033.0,6948.2,,3830.0,3684.0,4101.5,4116.0,8205.0,4133.0,,5063.6,5153.0,,159.6,2832.2,,3993.0,7002.0,6158.0,3650.0,4452.6,529.0,3909.8,1850.0,2629.2,5288.0,4157.3,3928.0,4971.0,4086.0,,4373.6,3034.0,3014.4,,5092.9,3365.0,4280.2,,True,False,False,False,False,,False,False,,True,True,,False,False,False,True,False,True,False,True,True,False,False,False,False,False,,False,True,True,,False,True,False,
California,47110,71987.0,61511.9,69936.9,52289.0,90516.0,60234.0,,72566.1,28139.0,,45810.7,38810.0,,46679.5,63202.0,50068.3,54767.0,105087.0,25646.5,45853.3,40255.5,51462.2,40038.0,94536.5,56169.2,67386.0,29127.0,,49001.4,57797.0,150254.1,,31243.4,62680.0,43734.1,,24877.0,14401.9,22826.9,5179.0,43406.0,13124.0,,25456.1,-18971.0,,-1299.3,-8300.0,,-430.5,16092.0,2958.3,7657.0,57977.0,-21463.5,-1256.7,-6854.5,4352.2,-7072.0,47426.5,9059.2,20276.0,-17983.0,,1891.4,10687.0,103144.1,,-15866.6,15570.0,-3375.9,,True,True,True,False,True,,False,True,,True,True,,True,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,False,,True,True,True,
Colorado,6829,8727.0,4213.5,8593.2,7881.0,14255.0,8380.0,,8728.9,7989.0,,8806.3,6163.2,,7589.6,7904.0,4828.3,8822.0,9057.3,3488.5,6267.0,6220.0,7773.8,5735.1,7857.2,7629.6,8513.0,8515.0,,7592.5,8480.0,3168.9,,6930.6,8874.0,8174.1,,1898.0,-2615.5,1764.2,1052.0,7426.0,1551.0,,1899.9,1160.0,,1977.3,-665.8,,760.6,1075.0,-2000.7,1993.0,2228.3,-3340.5,-562.0,-609.0,944.8,-1093.9,1028.2,800.6,1684.0,1686.0,,763.5,1651.0,-3660.1,,101.6,2045.0,1345.1,,False,True,True,False,True,,False,True,,False,True,,True,True,False,False,False,False,True,True,True,True,True,True,True,True,,True,True,False,,True,False,True,
Connecticut,5764,7965.0,5082.0,7909.0,6939.0,14352.0,6995.0,,7644.8,6113.0,,8184.9,1297.0,,6165.5,6962.0,4150.8,7102.0,7460.5,4659.5,5033.3,4014.0,6021.8,7457.3,9265.1,7018.2,7271.0,6752.0,,7698.8,8004.0,6975.6,,9778.9,4830.0,7434.3,,2201.0,-682.0,2145.0,1175.0,8588.0,1231.0,,1880.8,349.0,,2420.9,-4467.0,,401.5,1198.0,-1613.2,1338.0,1696.5,-1104.5,-730.7,-1750.0,257.8,1693.3,3501.1,1254.2,1507.0,988.0,,1934.8,2240.0,1211.6,,4014.9,-934.0,1670.3,,True,True,True,False,True,,True,True,,False,False,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,False,True,,False,True,True,
Delaware,1859,2840.0,1215.7,2941.9,2107.0,4173.0,1781.0,,2478.3,1924.0,,2574.2,2214.3,,2066.2,2081.0,965.0,2876.0,2100.0,1712.5,1929.8,1571.0,1993.1,1962.6,2254.0,2231.6,2372.0,2411.0,,2132.9,2973.0,3000.0,,2294.4,2277.0,2436.9,,981.0,-643.3,1082.9,248.0,2314.0,-78.0,,619.3,65.0,,715.2,355.3,,207.2,222.0,-894.0,1017.0,241.0,-146.5,70.8,-288.0,134.1,103.6,395.0,372.6,513.0,552.0,,273.9,1114.0,1141.0,,435.4,418.0,577.9,,True,False,True,False,True,,True,True,,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,False,False,,True,True,True,
District of Columbia,757,919.0,948.6,931.3,851.0,1694.0,812.0,,999.9,982.0,,433.1,775.0,,836.4,1070.0,778.5,1071.0,1093.5,677.5,806.5,607.0,750.0,,,,981.0,684.0,,865.0,787.0,1193.1,,,950.0,944.0,,162.0,191.6,174.3,94.0,937.0,55.0,,242.9,225.0,,-323.9,18.0,,79.4,313.0,21.5,314.0,336.5,-79.5,49.5,-150.0,-7.0,,,,224.0,-73.0,,108.0,30.0,436.1,,,193.0,187.0,,False,False,True,False,True,,False,False,,False,True,,True,False,True,False,False,True,True,True,True,,,,False,True,,True,True,False,,,False,False,
Florida,41770,50578.0,37577.2,49490.4,46669.0,76491.0,42485.0,,48863.0,54537.0,,52761.2,36850.9,,43180.7,51036.0,40546.4,49907.0,50341.6,21942.0,42037.5,35369.0,41826.4,49900.0,61272.8,43622.7,50499.0,44393.0,,47748.9,47805.0,51240.5,,55735.0,46749.0,35157.5,,8808.0,-4192.8,7720.4,4899.0,34721.0,715.0,,7093.0,12767.0,,10991.2,-4919.1,,1410.7,9266.0,-1223.6,8137.0,8571.6,-19828.0,267.5,-6401.0,56.4,8130.0,19502.8,1852.7,8729.0,2623.0,,5978.9,6035.0,9470.5,,13965.0,4979.0,-6612.5,,True,True,True,False,True,,True,False,,False,True,,True,False,True,True,True,False,True,True,True,True,False,True,True,True,,True,True,False,,False,True,True,
Georgia,20939,25406.0,20955.4,25339.6,21458.0,35961.0,21486.0,,25295.5,21429.0,,19884.6,24269.0,,20117.7,24861.0,19616.0,22818.0,25165.4,11137.0,20734.7,15268.0,18485.1,14987.1,31857.7,20682.5,25818.0,18533.0,,20602.3,23448.0,30151.9,,25233.5,23281.0,22555.9,,4467.0,16.4,4400.6,519.0,15022.0,547.0,,4356.5,490.0,,-1054.4,3330.0,,-821.3,3922.0,-1323.0,1879.0,4226.4,-9802.0,-204.3,-5671.0,-2453.9,-5951.9,10918.7,-256.5,4879.0,-2406.0,,-336.7,2509.0,9212.9,,4294.5,2342.0,1616.9,,True,True,True,False,True,,True,True,,True,True,,True,True,True,True,True,False,True,False,True,False,False,True,False,True,,True,True,False,,True,True,True,
Hawaii,282,404.0,323.2,401.7,404.0,2094.0,341.0,,444.0,263.0,,243.8,443.0,,369.0,,1136.3,377.0,1015.5,418.0,380.1,287.0,327.1,411.8,717.3,441.0,475.0,758.0,,370.4,309.0,977.0,,571.2,421.0,379.5,,122.0,41.2,119.7,122.0,1812.0,59.0,,162.0,-19.0,,-38.2,161.0,,87.0,,854.3,95.0,733.5,136.0,98.1,5.0,45.1,129.8,435.3,159.0,193.0,476.0,,88.4,27.0,695.0,,289.2,139.0,97.5,,True,True,False,False,True,,False,True,,True,False,,True,,False,True,False,False,True,True,True,False,False,False,False,False,,True,True,False,,False,False,True,
Idaho,1667,2274.0,1299.0,2243.5,1986.0,4349.0,1873.0,,2252.1,1498.0,,1781.6,941.6,,1830.9,2597.0,1169.8,2129.0,2551.2,1755.0,1488.1,1069.0,1790.4,2039.0,2419.8,1987.2,2086.0,2920.0,,1514.7,2172.0,2009.2,,2335.7,2291.0,1806.0,,607.0,-368.0,576.5,319.0,2682.0,206.0,,585.1,-169.0,,114.6,-725.4,,163.9,930.0,-497.2,462.0,884.2,88.0,-178.9,-598.0,123.4,372.0,752.8,320.2,419.0,1253.0,,-152.3,505.0,342.2,,668.7,624.0,139.0,,True,True,True,False,True,,True,True,,True,False,,True,False,True,True,False,True,True,True,True,True,False,True,True,False,,True,True,True,,False,False,True,
Illinois,12213,16242.0,11252.9,15891.8,14195.0,26931.0,14681.0,,16715.8,12106.0,,12318.4,10553.1,,13230.9,15495.0,8452.2,15315.0,22191.2,6977.5,16175.3,10764.0,13410.0,7702.0,18284.7,13938.2,15597.0,14455.0,,11757.7,14113.0,6933.3,,14278.7,15437.0,12373.0,,4029.0,-960.1,3678.8,1982.0,14718.0,2468.0,,4502.8,-107.0,,105.4,-1659.9,,1017.9,3282.0,-3760.8,3102.0,9978.2,-5235.5,3962.3,-1449.0,1197.0,-4511.0,6071.7,1725.2,3384.0,2242.0,,-455.3,1900.0,-5279.7,,2065.7,3224.0,160.0,,True,True,True,False,True,,False,True,,True,True,,True,True,True,True,False,False,True,True,True,False,False,True,True,True,,True,True,False,,True,True,True,
Indiana,7003,9670.0,9915.8,9828.0,8082.0,15373.0,8834.0,,10186.5,9463.0,,7812.3,8570.0,,7857.7,11306.0,6474.5,9256.0,10755.2,4095.0,7320.7,6324.5,7829.0,6772.4,10689.7,8203.5,8955.0,7871.0,,7899.4,8104.0,5740.8,,7377.7,9157.0,6821.6,,2667.0,2912.8,2825.0,1079.0,8370.0,1831.0,,3183.5,2460.0,,809.3,1567.0,,854.7,4303.0,-528.5,2253.0,3752.2,-2908.0,317.7,-678.5,826.0,-230.6,3686.7,1200.5,1952.0,868.0,,896.4,1101.0,-1262.2,,374.7,2154.0,-181.4,,False,False,True,False,True,,False,True,,True,True,,True,False,True,True,False,False,True,True,True,True,False,True,True,True,,True,True,True,,True,True,True,
Iowa,3143,4733.0,4835.5,4763.3,4145.0,7905.0,3536.0,,4291.6,3626.0,,3992.0,2122.4,,3901.7,3628.0,4509.0,4435.0,4979.3,3017.5,3743.4,3040.5,4144.7,3408.0,4338.8,3857.6,4266.0,4609.0,,3846.8,4607.0,621.1,,9363.5,4146.0,4130.5,,1590.0,1692.5,1620.3,1002.0,4762.0,393.0,,1148.6,483.0,,849.0,-1020.6,,758.7,485.0,1366.0,1292.0,1836.3,-125.5,600.4,-102.5,1001.7,265.0,1195.8,714.6,1123.0,1466.0,,703.8,1464.0,-2521.8,,6220.5,1003.0,987.5,,False,False,True,False,True,,True,True,,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,True,
