,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,496,714.0,,813.6,,602.0,654.0,616.0,,,,,472.5,,308.8,,,665.0,260.0,,511.2,357.0,,667.0,590.5,,,,622.0,441.0,671.7,,,,,,506.9,,,,568.0,860.7,218.0,,317.6,,106.0,158.0,120.0,,,,,-23.5,,-187.2,,,169.0,-236.0,,15.2,-139.0,,171.0,94.5,,,,126.0,-55.0,175.7,,,,,,10.9,,,,72.0,364.7,,False,,True,True,True,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True,False
01003,1470,2382.0,,2383.5,,2214.0,2251.0,2583.0,,,,,1401.6,,1254.1,,,2288.0,3472.1,,1845.6,1262.0,,2780.0,2135.4,,,,2456.0,1499.0,2255.9,,,,,,1313.8,2298.0,,,2139.3,2492.8,912.0,,913.5,,744.0,781.0,1113.0,,,,,-68.4,,-215.9,,,818.0,2002.1,,375.6,-208.0,,1310.0,665.4,,,,986.0,29.0,785.9,,,,,,-156.2,828.0,,,669.3,1022.8,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,False,True,,,,False,True,True,,,,,,True,True,,,True,False
01005,138,378.0,,356.3,,308.0,288.0,366.0,,,,,175.3,,107.6,,,224.0,358.1,,226.5,,,422.0,249.0,,,,395.0,204.0,247.5,,,,,,,,,,320.0,282.7,240.0,,218.3,,170.0,150.0,228.0,,,,,37.3,,-30.4,,,86.0,220.1,,88.5,,,284.0,111.0,,,,257.0,66.0,109.5,,,,,,,,,,182.0,144.7,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,False,True,,,,False,True,True,,,,,,,,,,True,True
01007,131,183.0,,166.7,,149.0,194.0,118.0,,,,,165.5,,114.7,,,270.0,98.4,,148.1,,,138.0,172.8,,,,149.0,133.0,167.3,,,,,,210.5,,,,121.0,296.7,52.0,,35.7,,18.0,63.0,-13.0,,,,,34.5,,-16.3,,,139.0,-32.6,,17.1,,,7.0,41.8,,,,18.0,2.0,36.3,,,,,,79.5,,,,-10.0,165.7,,True,,True,False,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,True,True,,,,,,False,,,,True,False
01009,387,579.0,,570.6,,500.0,505.0,565.0,,,,,386.4,,170.1,,,775.0,310.0,,412.7,280.0,,502.5,509.2,,,,443.0,399.0,493.7,,,,,,550.9,,,,459.5,568.8,192.0,,183.6,,113.0,118.0,178.0,,,,,-0.6,,-216.9,,,388.0,-77.0,,25.7,-107.0,,115.5,122.2,,,,56.0,12.0,106.7,,,,,,163.9,,,,72.5,181.8,,True,,True,True,True,,,,,True,,False,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True,True
01011,79,126.0,,121.1,,122.0,136.0,149.0,,,,,85.8,,46.6,,,84.0,186.1,,89.8,,,144.0,116.4,,,,144.0,73.0,99.6,,,,,,,,,,119.0,197.0,47.0,,42.1,,43.0,57.0,70.0,,,,,6.8,,-32.4,,,5.0,107.1,,10.8,,,65.0,37.4,,,,65.0,-6.0,20.6,,,,,,,,,,40.0,118.0,,True,,True,False,False,,,,,True,,True,,,True,False,,True,,,False,True,,,,False,True,True,,,,,,,,,,True,False
01013,138,207.0,,215.3,,149.0,162.0,131.0,,,,,141.6,,70.3,,,194.0,84.5,,129.3,,,165.0,139.8,,,,171.0,117.0,155.2,,,,,,,,,,179.9,205.4,69.0,,77.3,,11.0,24.0,-7.0,,,,,3.6,,-67.7,,,56.0,-53.5,,-8.7,,,27.0,1.8,,,,33.0,-21.0,17.2,,,,,,,,,,41.9,67.4,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,,True,True
01015,997,1266.0,,1145.8,,1076.0,1274.0,1032.0,,,,,867.9,,630.6,,,1405.0,820.6,,905.3,355.5,,1184.0,1049.3,,,,1003.0,828.0,2173.9,,,,,,829.0,,,,1074.3,1475.0,269.0,,148.8,,79.0,277.0,35.0,,,,,-129.1,,-366.4,,,408.0,-176.4,,-91.7,-641.5,,187.0,52.3,,,,6.0,-169.0,1176.9,,,,,,-168.0,,,,77.3,478.0,,True,,True,False,True,,,,,True,,False,,,False,True,,True,False,,True,True,,,,True,True,False,,,,,,True,,,,True,False
01017,190,420.0,,435.4,,360.0,335.0,493.0,,,,,276.5,,183.9,,,324.0,918.3,,299.2,270.0,,225.0,355.5,,,,468.0,256.0,226.4,,,,,,327.3,,,,404.1,445.3,230.0,,245.4,,170.0,145.0,303.0,,,,,86.5,,-6.1,,,134.0,728.3,,109.2,80.0,,35.0,165.5,,,,278.0,66.0,36.4,,,,,,137.3,,,,214.1,255.3,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,False,True,True,,,,,,True,,,,True,False
01019,65,111.0,,103.2,,108.0,126.0,86.0,,,,,116.6,,90.2,,,287.0,72.7,,110.0,,,82.0,115.6,,,,104.0,90.0,184.7,,,,,,,,,,100.5,172.8,46.0,,38.2,,43.0,61.0,21.0,,,,,51.6,,25.2,,,222.0,7.7,,45.0,,,17.0,50.6,,,,39.0,25.0,119.7,,,,,,,,,,35.5,107.8,,True,,True,False,True,,,,,False,,True,,,False,True,,True,,,True,False,,,,True,True,False,,,,,,,,,,True,False
01021,246,264.0,,278.2,,216.0,261.0,170.0,,,,,261.1,,163.5,,,532.0,110.9,,260.7,199.0,,147.5,186.1,,,,199.0,203.0,474.7,,,,,,192.4,,,,239.7,339.5,18.0,,32.2,,-30.0,15.0,-76.0,,,,,15.1,,-82.5,,,286.0,-135.1,,14.7,-47.0,,-98.5,-59.9,,,,-47.0,-43.0,228.7,,,,,,-53.6,,,,-6.3,93.5,,False,,False,True,False,,,,,True,,False,,,False,False,,True,False,,False,False,,,,False,False,False,,,,,,False,,,,True,False
01023,16,33.0,,31.6,,34.0,47.0,22.0,,,,,40.3,,9.0,,,139.0,16.7,,33.5,,,45.0,37.3,,,,10.0,27.0,,,,,,,,,,,32.6,69.4,17.0,,15.6,,18.0,31.0,6.0,,,,,24.3,,-7.0,,,123.0,0.7,,17.5,,,29.0,21.3,,,,-6.0,11.0,,,,,,,,,,,16.6,53.4,,True,,False,False,True,,,,,False,,True,,,False,True,,False,,,False,False,,,,True,True,,,,,,,,,,,True,False
01025,236,606.0,,605.4,,596.0,575.0,668.0,,,,,321.7,,132.5,,,273.0,638.8,,299.8,,,629.0,505.0,,,,702.0,342.0,477.9,,,,,,371.4,,,,621.9,827.1,370.0,,369.4,,360.0,339.0,432.0,,,,,85.7,,-103.5,,,37.0,402.8,,63.8,,,393.0,269.0,,,,466.0,106.0,241.9,,,,,,135.4,,,,385.9,591.1,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,False,True,,,,False,True,True,,,,,,True,,,,False,False
01027,93,78.0,,83.1,,88.0,86.0,68.0,,,,,89.5,,47.7,,,156.0,118.3,,60.6,,,47.0,56.5,,,,53.0,66.0,164.7,,,,,,,,,,94.4,110.3,-15.0,,-9.9,,-5.0,-7.0,-25.0,,,,,-3.5,,-45.3,,,63.0,25.3,,-32.4,,,-46.0,-36.5,,,,-40.0,-27.0,71.7,,,,,,,,,,1.4,17.3,,True,,True,True,False,,,,,True,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,,,,True,False
01029,87,153.0,,136.1,,132.0,135.0,69.0,,,,,88.3,,61.9,,,184.0,119.9,,92.5,,,154.0,133.0,,,,125.0,99.0,182.4,,,,,,,,,,149.8,135.3,66.0,,49.1,,45.0,48.0,-18.0,,,,,1.3,,-25.1,,,97.0,32.9,,5.5,,,67.0,46.0,,,,38.0,12.0,95.4,,,,,,,,,,62.8,48.3,,True,,True,True,True,,,,,True,,True,,,False,True,,True,,,False,True,,,,True,True,False,,,,,,,,,,True,True
01031,342,750.0,,798.7,,601.0,648.0,554.0,,,,,408.8,,267.0,,,576.0,384.1,,456.1,391.0,,711.5,606.4,,,,657.0,514.0,710.3,,,,,,546.7,,,,751.9,732.6,408.0,,456.7,,259.0,306.0,212.0,,,,,66.8,,-75.0,,,234.0,42.1,,114.1,49.0,,369.5,264.4,,,,315.0,172.0,368.3,,,,,,204.7,,,,409.9,390.6,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,False,True
01033,256,672.0,,683.9,,472.0,498.0,674.0,,,,,403.9,,293.0,,,705.0,375.7,,424.9,220.5,,410.0,432.0,,,,502.0,448.0,572.9,,,,,,473.7,,,,531.8,593.4,416.0,,427.9,,216.0,242.0,418.0,,,,,147.9,,37.0,,,449.0,119.7,,168.9,-35.5,,154.0,176.0,,,,246.0,192.0,316.9,,,,,,217.7,,,,275.8,337.4,,False,,True,True,False,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True,True
01035,63,69.0,,70.9,,79.0,78.0,84.0,,,,,71.3,,40.8,,,114.0,115.3,,64.2,,,83.0,66.5,,,,92.0,55.0,100.2,,,,,,,,,,67.6,83.0,6.0,,7.9,,16.0,15.0,21.0,,,,,8.3,,-22.2,,,51.0,52.3,,1.2,,,20.0,3.5,,,,29.0,-8.0,37.2,,,,,,,,,,4.6,20.0,,False,,False,False,False,,,,,False,,False,,,False,False,,True,,,False,True,,,,False,False,False,,,,,,,,,,True,False
01037,184,120.0,,107.8,,81.0,79.0,111.0,,,,,49.3,,29.1,,,98.0,74.9,,59.7,,,85.0,71.8,,,,130.0,60.0,77.9,,,,,,,,,,109.8,87.7,-64.0,,-76.2,,-103.0,-105.0,-73.0,,,,,-134.7,,-154.9,,,-86.0,-109.1,,-124.3,,,-99.0,-112.2,,,,-54.0,-124.0,-106.1,,,,,,,,,,-74.2,-96.3,,False,,False,False,False,,,,,False,,False,,,False,False,,False,,,False,False,,,,True,False,False,,,,,,,,,,False,False
01039,364,441.0,,471.4,,368.0,384.0,613.0,,,,,275.1,,148.3,,,416.0,205.8,,298.9,153.0,,423.0,387.2,,,,355.0,296.0,338.2,,,,,,395.3,,,,386.5,434.5,77.0,,107.4,,4.0,20.0,249.0,,,,,-88.9,,-215.7,,,52.0,-158.2,,-65.1,-211.0,,59.0,23.2,,,,-9.0,-68.0,-25.8,,,,,,31.3,,,,22.5,70.5,,False,,True,True,False,,,,,False,,False,,,True,False,,True,False,,True,True,,,,True,True,True,,,,,,True,,,,True,True
01041,128,168.0,,245.8,,136.0,157.0,134.0,,,,,107.5,,63.8,,,143.0,62.0,,124.9,,,145.0,134.4,,,,132.0,106.0,119.0,,,,,,,,,,154.8,238.7,40.0,,117.8,,8.0,29.0,6.0,,,,,-20.5,,-64.2,,,15.0,-66.0,,-3.1,,,17.0,6.4,,,,4.0,-22.0,-9.0,,,,,,,,,,26.8,110.7,,False,,True,True,True,,,,,True,,False,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,,,,True,False
