,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Alabama,14675,31458.0,27258.4,30014.9,27420.0,25948.0,30980.0,,26984.8,17212.0,28320.9,,23203.1,,22196.0,28599.0,39752.8,30689.0,21977.1,23991.0,23513.3,18979.0,22242.2,20608.3,40829.7,23206.7,26463.0,25800.0,,23705.5,,30707.1,,31349.9,25068.6,28933.7,29505.0,,16783.0,12583.4,15339.9,12745.0,11273.0,16305.0,,12309.8,2537.0,13645.9,,8528.1,,7521.0,13924.0,25077.8,16014.0,7302.1,9316.0,8838.3,4304.0,7567.2,5933.3,26154.7,8531.7,11788.0,11125.0,,9030.5,,16032.1,,16674.9,10393.6,14258.7,14830.0,,True,True,True,True,True,,True,True,True,,True,,True,True,False,True,True,True,True,True,True,True,False,True,True,True,,True,,True,,True,True,True,True,
Alaska,2134,2086.0,1337.2,2023.2,1690.0,2092.0,897.0,,1966.4,769.0,959.9,,1645.9,,2152.7,,2066.1,2629.0,1620.5,1003.5,1543.3,1167.0,1536.9,778.7,4233.7,1597.9,1825.0,2464.0,,1151.7,2510.0,1175.4,,2028.5,1838.0,1647.7,1880.0,,-48.0,-796.8,-110.8,-444.0,-42.0,-1237.0,,-167.6,-1365.0,-1174.1,,-488.1,,18.7,,-67.9,495.0,-513.5,-1130.5,-590.7,-967.0,-597.1,-1355.3,2099.7,-536.1,-309.0,330.0,,-982.3,376.0,-958.6,,-105.5,-296.0,-486.3,-254.0,,False,False,False,True,False,,False,False,False,,False,,True,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,
Arizona,27070,51428.0,47796.9,51005.5,41771.0,31362.0,64801.0,,49162.5,54486.0,51454.5,,55922.9,,29499.8,52171.0,46605.8,41377.0,48808.5,22730.5,35731.0,21078.0,33578.5,31497.4,38493.4,34518.0,47550.0,24630.0,,35552.0,45010.0,59078.9,,48216.9,31858.5,45458.8,39869.0,,24358.0,20726.9,23935.5,14701.0,4292.0,37731.0,,22092.5,27416.0,24384.5,,28852.9,,2429.8,25101.0,19535.8,14307.0,21738.5,-4339.5,8661.0,-5992.0,6508.5,4427.4,11423.4,7448.0,20480.0,-2440.0,,8482.0,17940.0,32008.9,,21146.9,4788.5,18388.8,12799.0,,True,True,True,True,False,,True,False,False,,False,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,True,True,True,
Arkansas,9166,23354.0,14440.2,22964.1,19856.0,17486.0,20214.0,,20859.6,18807.0,20965.3,,19289.3,,19651.8,22743.0,12378.8,21565.0,14983.0,17220.0,15807.0,15604.5,18242.1,21626.9,15438.2,19783.8,21767.0,19737.0,,15742.4,,12589.4,,22957.1,17755.7,23929.7,22099.0,,14188.0,5274.2,13798.1,10690.0,8320.0,11048.0,,11693.6,9641.0,11799.3,,10123.3,,10485.8,13577.0,3212.8,12399.0,5817.0,8054.0,6641.0,6438.5,9076.1,12460.9,6272.2,10617.8,12601.0,10571.0,,6576.4,,3423.4,,13791.1,8589.7,14763.7,12933.0,,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,False,True,
California,119097,194584.0,168447.9,198145.5,144186.0,120243.0,181139.0,,180383.0,78749.0,268687.4,,178436.2,,115363.6,197629.0,133995.2,132947.0,211811.9,70159.5,111263.4,95411.5,145303.1,93028.6,228979.6,139273.8,181749.0,63064.0,,136312.5,,326812.2,,234759.0,157491.5,40176.8,156557.0,,75487.0,49350.9,79048.5,25089.0,1146.0,62042.0,,61286.0,-40348.0,149590.4,,59339.2,,-3733.4,78532.0,14898.2,13850.0,92714.9,-48937.5,-7833.6,-23685.5,26206.1,-26068.4,109882.6,20176.8,62652.0,-56033.0,,17215.5,,207715.2,,115662.0,38394.5,-78920.2,37460.0,,True,False,True,True,True,,True,True,False,,True,,True,False,True,True,False,True,True,True,True,True,False,True,True,True,,True,,False,,False,True,False,True,
Colorado,15556,18474.0,6660.6,19633.6,15908.0,15485.0,19176.0,,18114.1,17433.0,14411.9,,17281.8,,16036.9,15582.0,8344.3,17309.0,16665.8,16165.5,13635.1,14496.5,16473.8,10539.3,18470.8,15396.4,17333.0,16421.0,,14589.3,18903.0,5618.8,,20934.6,15773.2,11544.7,17251.0,,2918.0,-8895.4,4077.6,352.0,-71.0,3620.0,,2558.1,1877.0,-1144.1,,1725.8,,480.9,26.0,-7211.7,1753.0,1109.8,609.5,-1920.9,-1059.5,917.8,-5016.7,2914.8,-159.6,1777.0,865.0,,-966.7,3347.0,-9937.2,,5378.6,217.2,-4011.3,1695.0,,False,False,True,True,False,,True,True,True,,True,,True,True,False,True,True,True,True,True,True,False,True,True,True,True,,True,False,False,,False,True,False,True,
Connecticut,13729,18698.0,13650.0,18717.4,16673.0,15227.0,17836.0,,17659.9,17640.0,1598351.6,,18899.4,,13301.8,17749.0,13691.5,16581.0,14503.7,18980.5,20308.2,9873.5,15276.3,17033.3,14702.2,16158.4,17579.0,15773.0,,16741.4,15197.0,19140.8,,21154.1,12625.5,23525.0,11167.0,,4969.0,-79.0,4988.4,2944.0,1498.0,4107.0,,3930.9,3911.0,1584622.6,,5170.4,,-427.2,4020.0,-37.5,2852.0,774.7,5251.5,6579.2,-3855.5,1547.3,3304.3,973.2,2429.4,3850.0,2044.0,,3012.4,1468.0,5411.8,,7425.1,-1103.5,9796.0,-2562.0,,True,False,True,True,True,,True,True,False,,False,,True,True,True,True,True,False,False,True,True,True,True,True,True,True,,True,True,False,,False,True,False,True,
Delaware,4699,4562.0,4594.4,4566.3,4506.0,4041.0,3233.0,,5071.3,4460.0,8179.9,,3667.8,,3881.7,5304.0,4497.2,4531.0,4298.4,3006.0,3946.6,3507.0,4360.5,5408.3,6180.7,4734.7,4689.0,4093.0,,4107.4,3131.0,6773.4,,5884.4,3712.2,4923.6,4007.0,,-137.0,-104.6,-132.7,-193.0,-658.0,-1466.0,,372.3,-239.0,3480.9,,-1031.2,,-817.3,605.0,-201.8,-168.0,-400.6,-1693.0,-752.4,-1192.0,-338.5,709.3,1481.7,35.7,-10.0,-606.0,,-591.6,-1568.0,2074.4,,1185.4,-986.8,224.6,-692.0,,True,True,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,False,False,False,,False,False,False,False,
District of Columbia,1676,2430.0,1851.6,2569.2,2306.0,1326.0,2365.0,,2414.8,2229.0,2418.3,,1737.9,,2212.6,2528.0,1972.6,2370.0,1922.8,1463.0,2075.7,2393.5,2056.8,,,,2556.0,1168.0,,2236.0,2910.0,3006.1,,2428.6,1722.7,,2835.0,,754.0,175.6,893.2,630.0,-350.0,689.0,,738.8,553.0,742.3,,61.9,,536.6,852.0,296.6,694.0,246.8,-213.0,399.7,717.5,380.8,,,,880.0,-508.0,,560.0,1234.0,1330.1,,752.6,46.7,,1159.0,,True,False,True,True,True,,True,True,True,,True,,True,False,True,True,True,True,True,True,True,,,,False,True,,True,False,False,,True,True,,False,
Florida,92348,115540.0,92124.0,114570.1,107444.0,97819.0,145421.0,,114948.9,129198.0,125616.8,,93644.9,,102331.1,122688.0,116082.9,109243.0,104248.0,100206.5,96371.5,75217.0,90885.3,136215.3,95354.3,100883.3,123052.0,95042.0,,98264.0,,103055.3,,101419.9,87378.1,123049.9,104501.0,,23192.0,-224.0,22222.1,15096.0,5471.0,53073.0,,22600.9,36850.0,33268.8,,1296.9,,9983.1,30340.0,23734.9,16895.0,11900.0,7858.5,4023.5,-17131.0,-1462.7,43867.3,3006.3,8535.3,30704.0,2694.0,,5916.0,,10707.3,,9071.9,-4969.9,30701.9,12153.0,,True,True,True,True,False,,True,False,False,,True,,True,False,False,True,True,True,True,True,True,False,True,True,False,True,,True,,True,,True,True,False,True,
