,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,938,1535.0,1577.0,,,,,1258.0,3117.3,1268.8,,1565.0,,,1259.8,,,597.0,639.0,,,,,320.0,2179.3,330.8,,627.0,,,321.8,,,False,,,,,True,False,True,,False,,,True,,
01003,3216,4870.0,3905.0,,,,,4978.0,2719.5,3862.6,,3577.5,,,1860.7,3085.0,,1654.0,689.0,,,,,1762.0,-496.5,646.6,,361.5,,,-1355.3,-131.0,,True,,,,,False,True,True,,True,,,True,True,
01005,346,375.0,102.0,,,,,467.0,267.0,386.6,,371.0,,,,,,29.0,-244.0,,,,,121.0,-79.0,40.6,,25.0,,,,,,False,,,,,False,False,False,,True,,,,,
01007,271,530.0,388.0,,,,,476.0,601.3,378.4,,430.0,,,236.6,,,259.0,117.0,,,,,205.0,330.3,107.4,,159.0,,,-34.4,,,True,,,,,True,False,True,,True,,,True,,
01009,750,1225.0,1959.0,,,,,1612.0,801.4,936.2,,936.0,,,1210.7,,,475.0,1209.0,,,,,862.0,51.4,186.2,,186.0,,,460.7,,,False,,,,,False,True,True,,True,,,True,,
01011,171,185.0,90.0,,,,,138.0,51.4,218.5,,147.0,,,,,,14.0,-81.0,,,,,-33.0,-119.6,47.5,,-24.0,,,,,,False,,,,,False,False,False,,False,,,,,
01013,254,295.0,181.0,,,,,404.0,183.9,338.5,,319.0,,,,,,41.0,-73.0,,,,,150.0,-70.1,84.5,,65.0,,,,,,False,,,,,False,False,False,,False,,,,,
01015,1837,3125.0,4995.0,,,,,3039.0,3416.6,2088.0,,2859.0,,,1292.7,,,1288.0,3158.0,,,,,1202.0,1579.6,251.0,,1022.0,,,-544.3,,,False,,,,,True,False,True,,True,,,True,,
01017,546,990.0,1086.0,,,,,637.0,950.6,599.6,,620.0,,,611.9,,,444.0,540.0,,,,,91.0,404.6,53.6,,74.0,,,65.9,,,False,,,,,True,True,True,,True,,,True,,
01019,154,385.0,403.0,,,,,664.0,529.6,277.6,,288.0,,,,,,231.0,249.0,,,,,510.0,375.6,123.6,,134.0,,,,,,False,,,,,False,False,True,,True,,,,,
01021,424,580.0,164.0,,,,,1026.0,587.0,616.2,,521.0,,,528.9,,,156.0,-260.0,,,,,602.0,163.0,192.2,,97.0,,,104.9,,,False,,,,,False,False,False,,True,,,True,,
01023,34,60.0,9.0,,,,,301.0,36.9,68.9,,11.0,,,,,,26.0,-25.0,,,,,267.0,2.9,34.9,,-23.0,,,,,,True,,,,,False,True,False,,True,,,,,
01025,622,885.0,1543.0,,,,,560.0,533.4,483.3,,989.5,,,491.6,,,263.0,921.0,,,,,-62.0,-88.6,-138.7,,367.5,,,-130.4,,,False,,,,,True,True,True,,False,,,True,,
01027,155,190.0,78.0,,,,,300.0,185.6,131.6,,143.0,,,,,,35.0,-77.0,,,,,145.0,30.6,-23.4,,-12.0,,,,,,False,,,,,False,True,True,,True,,,,,
01029,181,275.0,78.0,,,,,381.0,316.7,240.4,,225.0,,,,,,94.0,-103.0,,,,,200.0,135.7,59.4,,44.0,,,,,,False,,,,,False,False,True,,True,,,,,
01031,818,1375.0,1875.0,,,,,1150.0,2197.8,1011.4,,1281.0,,,908.6,,,557.0,1057.0,,,,,332.0,1379.8,193.4,,463.0,,,90.6,,,False,,,,,True,False,True,,True,,,True,,
01033,668,1220.0,948.0,,,,,1586.0,688.7,1088.4,,1010.0,,,527.5,,,552.0,280.0,,,,,918.0,20.7,420.4,,342.0,,,-140.5,,,True,,,,,False,True,True,,True,,,True,,
01035,122,185.0,231.0,,,,,210.0,167.3,126.1,,168.0,,,,,,63.0,109.0,,,,,88.0,45.3,4.1,,46.0,,,,,,False,,,,,False,True,True,,True,,,,,
01037,253,135.0,76.0,,,,,175.0,150.6,110.8,,36.0,,,,,,-118.0,-177.0,,,,,-78.0,-102.4,-142.2,,-217.0,,,,,,False,,,,,True,True,False,,False,,,,,
01039,627,620.0,409.0,,,,,838.0,837.8,472.3,,496.5,,,468.8,,,-7.0,-218.0,,,,,211.0,210.8,-154.7,,-130.5,,,-158.2,,,False,,,,,False,False,False,,False,,,False,,
01041,235,335.0,112.0,,,,,255.0,1108.1,323.3,,126.0,,,,,,100.0,-123.0,,,,,20.0,873.1,88.3,,-109.0,,,,,,False,,,,,True,False,True,,False,,,,,
01043,824,1665.0,2166.0,,,,,2795.0,692.5,1314.0,,1187.5,,,1402.1,,,841.0,1342.0,,,,,1971.0,-131.5,490.0,,363.5,,,578.1,,,False,,,,,False,True,True,,True,,,True,,
01045,644,1280.0,1570.0,,,,,1128.0,1137.0,933.0,,1296.5,,,652.5,,,636.0,926.0,,,,,484.0,493.0,289.0,,652.5,,,8.5,,,False,,,,,True,True,True,,False,,,True,,
01047,304,560.0,564.0,,,,,712.0,95.0,486.9,,393.0,,,310.6,,,256.0,260.0,,,,,408.0,-209.0,182.9,,89.0,,,6.6,,,False,,,,,False,True,True,,True,,,True,,
01049,728,1595.0,4503.0,,,,,2491.0,1100.6,1011.6,,1244.5,,,781.7,,,867.0,3775.0,,,,,1763.0,372.6,283.6,,516.5,,,53.7,,,False,,,,,False,True,True,,True,,,True,,
01051,1445,2245.0,1109.0,,,,,1599.0,1489.4,1814.6,,1752.5,,,1381.8,,,800.0,-336.0,,,,,154.0,44.4,369.6,,307.5,,,-63.2,,,True,,,,,True,True,True,,True,,,True,,
01053,579,1040.0,392.0,,,,,882.0,909.8,854.8,,1031.5,,,572.7,,,461.0,-187.0,,,,,303.0,330.8,275.8,,452.5,,,-6.3,,,True,,,,,True,True,True,,True,,,True,,
01055,1355,3145.0,5835.0,,,,,2945.0,2259.3,2036.4,,2326.0,,,969.1,,,1790.0,4480.0,,,,,1590.0,904.3,681.4,,971.0,,,-385.9,,,False,,,,,True,True,True,,True,,,True,,
