,predicted_cases,actual_cases,error,perc_error
USC-SI_kJalpha,6326749.0,5845916,480833.0,8.2%
JHU_IDD-CovidSP,6961940.7,5845916,1116024.7,19.1%
IowaStateLW-STEM,8943239.0,5845916,3097323.0,53.0%
CovidAnalytics-DELPHI,9434534.0,5845916,3588618.0,61.4%
Columbia_UNC-SurvCon,10131834.0,5845916,4285918.0,73.3%
COVIDhub-baseline,10236600.0,5845916,4390684.0,75.1%
JHUAPL-Bucky,10462734.7,5845916,4616818.7,79.0%
UCF-AEM,10613203.0,5845916,4767287.0,81.5%
IBF-TimeSeries,10722178.0,5845916,4876262.0,83.4%
UCLA-SuEIR,10774571.6,5845916,4928655.6,84.3%
Covid19Sim-Simulator,11124848.9,5845916,5278932.9,90.3%
LANL-GrowthRate,11287148.0,5845916,5441232.0,93.1%
CU-select,17156511.0,5845916,11310595.0,193.5%
