,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
01001,236,520.0,,554.7,,345.0,345.0,454.0,,,,,285.5,,265.6,,,355.0,453.3,,284.5,243.5,,253.0,323.1,,,,455.0,371.0,290.3,,,,,,387.9,440.7,,,,525.1,284.0,,318.7,,109.0,109.0,218.0,,,,,49.5,,29.6,,,119.0,217.3,,48.5,7.5,,17.0,87.1,,,,219.0,135.0,54.3,,,,,,151.9,204.7,,,,289.1,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01003,724,1492.0,,1491.0,,1025.0,1055.0,1315.0,,,,,887.3,,1008.8,,,1148.0,1639.1,,901.6,579.5,,987.5,952.0,,,,1372.0,1104.0,711.3,,,,,,997.1,1270.2,708.0,,,1479.3,768.0,,767.0,,301.0,331.0,591.0,,,,,163.3,,284.8,,,424.0,915.1,,177.6,-144.5,,263.5,228.0,,,,648.0,380.0,-12.7,,,,,,273.1,546.2,-16.0,,,755.3,,True,,True,True,True,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,True,,,True
01005,67,142.0,,126.6,,117.0,102.0,156.0,,,,,102.2,,96.4,,,140.0,761.2,,127.7,,,89.0,100.4,,,,157.0,88.0,48.9,,,,,,,99.5,,,,136.6,75.0,,59.6,,50.0,35.0,89.0,,,,,35.2,,29.4,,,73.0,694.2,,60.7,,,22.0,33.4,,,,90.0,21.0,-18.1,,,,,,,32.5,,,,69.6,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,False,True,True,,,,,,,True,,,,True
01007,81,100.0,,92.4,,86.0,79.0,72.0,,,,,93.6,,48.2,,,142.0,83.7,,83.2,,,32.0,64.9,,,,77.0,86.0,60.9,,,,,,123.8,99.4,,,,132.6,19.0,,11.4,,5.0,-2.0,-9.0,,,,,12.6,,-32.8,,,61.0,2.7,,2.2,,,-49.0,-16.1,,,,-4.0,5.0,-20.1,,,,,,42.8,18.4,,,,51.6,,True,,True,True,True,,,,,True,,False,,,False,True,,True,,,False,True,,,,True,True,False,,,,,,False,True,,,,False
01009,134,506.0,,504.6,,364.0,307.0,443.0,,,,,244.6,,283.3,,,391.0,382.5,,296.7,124.0,,185.0,311.6,,,,399.0,342.0,352.7,,,,,,459.5,335.6,,,,400.9,372.0,,370.6,,230.0,173.0,309.0,,,,,110.6,,149.3,,,257.0,248.5,,162.7,-10.0,,51.0,177.6,,,,265.0,208.0,218.7,,,,,,325.5,201.6,,,,266.9,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01011,31,92.0,,89.6,,77.0,72.0,99.0,,,,,53.6,,62.4,,,55.0,189.7,,58.6,,,78.0,75.5,,,,90.0,60.0,42.1,,,,,,,80.8,,,,115.6,61.0,,58.6,,46.0,41.0,68.0,,,,,22.6,,31.4,,,24.0,158.7,,27.6,,,47.0,44.5,,,,59.0,29.0,11.1,,,,,,,49.8,,,,84.6,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
01013,75,126.0,,133.0,,95.0,78.0,97.0,,,,,80.5,,91.1,,,115.0,179.7,,84.5,,,60.0,76.8,,,,118.0,90.0,58.6,,,,,,,84.1,,,,113.4,51.0,,58.0,,20.0,3.0,22.0,,,,,5.5,,16.1,,,40.0,104.7,,9.5,,,-15.0,1.8,,,,43.0,15.0,-16.4,,,,,,,9.1,,,,38.4,,False,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True
01015,547,900.0,,886.2,,629.0,597.0,941.0,,,,,530.3,,448.7,,,687.0,613.1,,577.7,286.0,,563.0,603.5,,,,738.0,627.0,706.5,,,,,,675.7,591.4,,,,928.5,353.0,,339.2,,82.0,50.0,394.0,,,,,-16.7,,-98.3,,,140.0,66.1,,30.7,-261.0,,16.0,56.5,,,,191.0,80.0,159.5,,,,,,128.7,44.4,,,,381.5,,True,,True,True,False,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01017,105,170.0,,166.9,,125.0,114.0,137.0,,,,,158.9,,115.9,,,185.0,246.8,,148.8,115.5,,33.0,110.8,,,,166.0,111.0,59.4,,,,,,160.6,155.7,,,,187.8,65.0,,61.9,,20.0,9.0,32.0,,,,,53.9,,10.9,,,80.0,141.8,,43.8,10.5,,-72.0,5.8,,,,61.0,6.0,-45.6,,,,,,55.6,50.7,,,,82.8,,True,,True,True,True,,,,,True,,True,,,False,False,,True,True,,False,True,,,,True,True,True,,,,,,True,True,,,,False
01019,24,82.0,,80.2,,74.0,63.0,54.0,,,,,70.7,,71.0,,,153.0,74.8,,76.5,,,22.0,42.3,,,,61.0,66.0,124.8,,,,,,,75.2,,,,78.4,58.0,,56.2,,50.0,39.0,30.0,,,,,46.7,,47.0,,,129.0,50.8,,52.5,,,-2.0,18.3,,,,37.0,42.0,100.8,,,,,,,51.2,,,,54.4,,True,,True,True,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,True,False,,,,,,,True,,,,True
01021,168,156.0,,164.9,,141.0,118.0,94.0,,,,,154.9,,190.5,,,284.0,196.9,,129.9,59.0,,72.0,120.3,,,,125.0,132.0,165.1,,,,,,117.2,123.1,,,,138.1,-12.0,,-3.1,,-27.0,-50.0,-74.0,,,,,-13.1,,22.5,,,116.0,28.9,,-38.1,-109.0,,-96.0,-47.7,,,,-43.0,-36.0,-2.9,,,,,,-50.8,-44.9,,,,-29.9,,True,,False,False,False,,,,,False,,False,,,False,False,,False,False,,False,False,,,,False,False,True,,,,,,False,False,,,,False
01023,6,20.0,,19.6,,20.0,35.0,14.0,,,,,22.0,,20.1,,,81.0,28.9,,21.0,,,14.0,10.2,,,,8.0,22.0,26.3,,,,,,,74.8,,,,35.1,14.0,,13.6,,14.0,29.0,8.0,,,,,16.0,,14.1,,,75.0,22.9,,15.0,,,8.0,4.2,,,,2.0,16.0,20.3,,,,,,,68.8,,,,29.1,,True,,False,False,True,,,,,False,,False,,,False,False,,False,,,True,True,,,,True,False,False,,,,,,,False,,,,False
01025,91,290.0,,288.5,,196.0,201.0,305.0,,,,,185.6,,83.4,,,147.0,654.0,,199.0,,,133.0,176.7,,,,322.0,209.0,39.5,,,,,,219.5,247.5,,,,384.2,199.0,,197.5,,105.0,110.0,214.0,,,,,94.6,,-7.6,,,56.0,563.0,,108.0,,,42.0,85.7,,,,231.0,118.0,-51.5,,,,,,128.5,156.5,,,,293.2,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,False,True,True,,,,,,True,True,,,,False
01027,62,62.0,,65.1,,51.0,50.0,40.0,,,,,53.8,,68.2,,,83.0,41.5,,47.3,,,29.0,50.8,,,,39.0,49.0,71.8,,,,,,,59.0,,,,70.5,0.0,,3.1,,-11.0,-12.0,-22.0,,,,,-8.2,,6.2,,,21.0,-20.5,,-14.7,,,-33.0,-11.2,,,,-23.0,-13.0,9.8,,,,,,,-3.0,,,,8.5,,False,,False,False,False,,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False
01029,35,104.0,,97.6,,76.0,66.0,40.0,,,,,54.8,,39.1,,,100.0,124.1,,57.6,,,55.0,62.9,,,,84.0,79.0,97.1,,,,,,,76.2,,,,77.8,69.0,,62.6,,41.0,31.0,5.0,,,,,19.8,,4.1,,,65.0,89.1,,22.6,,,20.0,27.9,,,,49.0,44.0,62.1,,,,,,,41.2,,,,42.8,,True,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True
01031,128,428.0,,446.6,,336.0,306.0,440.0,,,,,240.3,,208.8,,,322.0,509.0,,311.7,135.0,,280.0,290.0,,,,392.0,331.0,432.5,,,,,,411.1,290.9,,,,381.5,300.0,,318.6,,208.0,178.0,312.0,,,,,112.3,,80.8,,,194.0,381.0,,183.7,7.0,,152.0,162.0,,,,264.0,203.0,304.5,,,,,,283.1,162.9,,,,253.5,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,False,,,,,,True,True,,,,True
