,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,116528,182000.0,,171743.7,,170361.0,113208.5,,196483.9,99023.0,65472.0,,55215.7,,53833.0,-3319.5,,79955.9,-17505.0,,True,,True,True,,False,True
Alaska,9592,16254.0,,10824.9,,,24149.6,,9207.7,7416.0,6662.0,,1232.9,,,14557.6,,-384.3,-2176.0,,True,,,False,,True,True
Arizona,267013,322763.0,,270503.6,,278591.0,360465.7,,268392.5,204239.0,55750.0,,3490.6,,11578.0,93452.7,,1379.5,-62774.0,,True,,True,False,,True,False
Arkansas,83788,122311.0,,107560.2,,119002.0,136554.7,,114253.2,58886.0,38523.0,,23772.2,,35214.0,52766.7,,30465.2,-24902.0,,True,,True,False,,True,True
California,1112092,1875629.0,,2131069.7,,1558701.0,1305051.3,,1777294.4,1103022.0,763537.0,,1018977.7,,446609.0,192959.3,,665202.4,-9070.0,,False,,True,True,,True,True
Colorado,80640,108871.0,,102618.7,,85343.0,59644.4,,91960.9,54758.0,28231.0,,21978.7,,4703.0,-20995.6,,11320.9,-25882.0,,True,,True,True,,True,True
Connecticut,82981,121639.0,,92924.7,,86161.0,192780.3,,137112.4,33403.0,38658.0,,9943.7,,3180.0,109799.3,,54131.4,-49578.0,,True,,True,False,,False,False
Delaware,25658,30800.0,,30685.5,,27629.0,25382.7,,11026.5,17695.0,5142.0,,5027.5,,1971.0,-275.3,,-14631.5,-7963.0,,True,,True,True,,False,False
District of Columbia,10044,12593.0,,12513.7,,10325.0,18586.3,,9167.6,6087.0,2549.0,,2469.7,,281.0,8542.3,,-876.4,-3957.0,,True,,True,False,,True,False
Florida,508874,631715.0,,621113.0,,409249.0,615339.5,,547148.5,352094.0,122841.0,,112239.0,,-99625.0,106465.5,,38274.5,-156780.0,,True,,True,True,,True,False
Georgia,298625,394338.0,,425160.6,,359136.0,308040.0,,352039.2,216935.0,95713.0,,126535.6,,60511.0,9415.0,,53414.2,-81690.0,,False,,True,True,,True,True
Hawaii,5116,6475.0,,6130.1,,,7215.6,,3833.5,3122.0,1359.0,,1014.1,,,2099.6,,-1282.5,-1994.0,,True,,,False,,True,False
Idaho,26951,44884.0,,40421.1,,40315.0,18700.5,,29801.0,21858.0,17933.0,,13470.1,,13364.0,-8250.5,,2850.0,-5093.0,,True,,True,True,,True,True
Illinois,197384,288470.0,,238888.0,,232034.0,174877.7,,204803.3,132619.0,91086.0,,41504.0,,34650.0,-22506.3,,7419.3,-64765.0,,True,,True,True,,True,True
Indiana,131570,217483.0,,208864.5,,188540.0,127859.9,,227113.8,109042.0,85913.0,,77294.5,,56970.0,-3710.1,,95543.8,-22528.0,,True,,True,True,,False,True
Iowa,48287,63714.0,,61160.8,,61228.0,34898.3,,21931.7,26386.0,15427.0,,12873.8,,12941.0,-13388.7,,-26355.3,-21901.0,,True,,True,True,,False,False
Kansas,63264,121275.0,,91696.8,,75508.0,224364.7,,126117.8,46952.0,58011.0,,28432.8,,12244.0,161100.7,,62853.8,-16312.0,,True,,True,False,,False,True
Kentucky,122048,128856.0,,103386.1,,115389.0,182766.6,,82855.0,69469.0,6808.0,,-18661.9,,-6659.0,60718.6,,-39193.0,-52579.0,,False,,True,False,,False,False
Louisiana,107012,131432.0,,135104.2,,123517.0,182099.5,,137775.2,44239.0,24420.0,,28092.2,,16505.0,75087.5,,30763.2,-62773.0,,False,,True,False,,False,False
Maine,18122,25886.0,,30298.8,,22464.0,28855.2,,18128.3,19438.0,7764.0,,12176.8,,4342.0,10733.2,,6.3,1316.0,,False,,True,False,,True,True
Maryland,92566,124117.0,,128639.8,,112270.0,138410.4,,124883.2,69154.0,31551.0,,36073.8,,19704.0,45844.4,,32317.2,-23412.0,,False,,True,False,,False,True
Massachusetts,183583,242053.0,,246185.0,,243753.0,264836.0,,286222.8,149591.0,58470.0,,62602.0,,60170.0,81253.0,,102639.8,-33992.0,,False,,False,False,,False,True
Michigan,98148,152565.0,,117389.1,,132809.0,151451.6,,253996.7,66948.0,54417.0,,19241.1,,34661.0,53303.6,,155848.7,-31200.0,,True,,True,True,,False,True
Minnesota,60325,79009.0,,64604.5,,83065.0,43743.7,,65858.8,39380.0,18684.0,,4279.5,,22740.0,-16581.3,,5533.8,-20945.0,,True,,False,True,,True,False
Mississippi,69965,106778.0,,94073.8,,100005.0,95371.3,,67905.4,54837.0,36813.0,,24108.8,,30040.0,25406.3,,-2059.6,-15128.0,,True,,True,True,,True,True
Missouri,108313,138873.0,,121365.9,,122900.0,95375.7,,129598.4,64975.0,30560.0,,13052.9,,14587.0,-12937.3,,21285.4,-43338.0,,True,,True,True,,True,False
Montana,16697,17577.0,,15907.5,,19797.0,15992.9,,10912.4,6985.0,880.0,,-789.5,,3100.0,-704.1,,-5784.6,-9712.0,,True,,False,True,,False,False
Nebraska,30489,48475.0,,43098.7,,37049.0,33053.9,,67517.8,23513.0,17986.0,,12609.7,,6560.0,2564.9,,37028.8,-6976.0,,True,,True,True,,False,True
Nevada,61800,92526.0,,83845.4,,86309.0,51354.8,,86286.1,50659.0,30726.0,,22045.4,,24509.0,-10445.2,,24486.1,-11141.0,,True,,True,True,,True,True
New Hampshire,26547,36911.0,,35340.4,,38324.0,63917.1,,26200.2,23335.0,10364.0,,8793.4,,11777.0,37370.1,,-346.8,-3212.0,,True,,False,False,,True,True
New Jersey,223173,206297.0,,235998.6,,189860.0,186377.4,,128730.5,116036.0,-16876.0,,12825.6,,-33313.0,-36795.6,,-94442.5,-107137.0,,True,,False,False,,False,False
New Mexico,37096,57071.0,,49497.5,,51384.0,50408.3,,22075.4,28036.0,19975.0,,12401.5,,14288.0,13312.3,,-15020.6,-9060.0,,True,,True,True,,True,True
New York,573770,613557.0,,868274.9,,500110.0,1082509.9,,1345869.6,333521.0,39787.0,,294504.9,,-73660.0,508739.9,,772099.6,-240249.0,,False,,False,False,,False,False
North Carolina,281659,311549.0,,306599.5,,328054.0,358054.7,,282318.9,149059.0,29890.0,,24940.5,,46395.0,76395.7,,659.9,-132600.0,,True,,False,False,,True,False
North Dakota,6346,10759.0,,8338.1,,14526.0,5831.7,,14476.4,4237.0,4413.0,,1992.1,,8180.0,-514.3,,8130.4,-2109.0,,True,,False,True,,False,True
Ohio,237633,350035.0,,334053.5,,342584.0,239705.4,,202031.9,212735.0,112402.0,,96420.5,,104951.0,2072.4,,-35601.1,-24898.0,,True,,True,True,,True,True
Oklahoma,122263,136829.0,,119007.9,,139600.0,107150.2,,109282.7,80945.0,14566.0,,-3255.1,,17337.0,-15112.8,,-12980.3,-41318.0,,True,,False,False,,True,False
Oregon,36363,56154.0,,43591.4,,46219.0,46155.2,,50113.3,34250.0,19791.0,,7228.4,,9856.0,9792.2,,13750.3,-2113.0,,True,,True,True,,True,True
Pennsylvania,253332,362691.0,,334021.1,,356733.0,245266.2,,404775.6,202610.0,109359.0,,80689.1,,103401.0,-8065.8,,151443.6,-50722.0,,True,,True,True,,False,True
Rhode Island,35196,41181.0,,36699.0,,31567.0,42840.0,,28750.7,8441.0,5985.0,,1503.0,,-3629.0,7644.0,,-6445.3,-26755.0,,True,,True,False,,False,False
South Carolina,188559,166782.0,,176826.4,,154612.0,207849.7,,190972.7,70278.0,-21777.0,,-11732.6,,-33947.0,19290.7,,2413.7,-118281.0,,True,,False,True,,True,False
South Dakota,11336,20062.0,,17325.7,,19319.0,7471.2,,20096.5,8424.0,8726.0,,5989.7,,7983.0,-3864.8,,8760.5,-2912.0,,True,,True,True,,False,True
Tennessee,159876,302680.0,,294862.1,,283404.0,92342.2,,224013.4,177956.0,142804.0,,134986.1,,123528.0,-67533.8,,64137.4,18080.0,,True,,True,True,,True,True
Texas,792635,877205.0,,793320.0,,772844.0,1613826.8,,738407.9,393245.0,84570.0,,685.0,,-19791.0,821191.8,,-54227.1,-399390.0,,True,,True,False,,True,False
Utah,84380,123032.0,,120423.2,,110244.0,78851.1,,76628.8,62089.0,38652.0,,36043.2,,25864.0,-5528.9,,-7751.2,-22291.0,,True,,True,True,,True,True
Vermont,6670,5061.0,,4596.3,,5093.0,14690.0,,8608.3,3041.0,-1609.0,,-2073.7,,-1577.0,8020.0,,1938.3,-3629.0,,False,,True,False,,False,False
Virginia,203057,204246.0,,198723.7,,173954.0,233220.3,,88318.9,92583.0,1189.0,,-4333.3,,-29103.0,30163.3,,-114738.1,-110474.0,,False,,False,False,,False,False
Washington,87042,70231.0,,111233.7,,93650.0,107648.4,,60892.1,46557.0,-16811.0,,24191.7,,6608.0,20606.4,,-26149.9,-40485.0,,False,,True,False,,False,False
West Virginia,40037,64050.0,,58150.3,,54357.0,63072.1,,51680.7,34118.0,24013.0,,18113.3,,14320.0,23035.1,,11643.7,-5919.0,,True,,True,True,,True,True
Wisconsin,88137,123410.0,,96840.1,,117873.0,77642.5,,129042.6,50769.0,35273.0,,8703.1,,29736.0,-10494.5,,40905.6,-37368.0,,True,,True,True,,False,False
Wyoming,9110,9989.0,,9223.5,,11150.0,10713.3,,12249.5,4765.0,879.0,,113.5,,2040.0,1603.3,,3139.5,-4345.0,,True,,False,False,,False,False
US,7563362,10038406.0,7363414.0,10339451.2,10794752.0,8366796.0,10042770.6,10231580.0,7813101.6,5308133.0,2475044.0,-199948.0,2776089.2,3231390.0,803434.0,2479408.6,2668218.0,249739.6,-2255229.0,True,False,False,True,False,False,True,True
