,mean_rank
LNQ-ens1,5.8
IEM_MED-CovidProject,7.2
LANL-GrowthRate,7.3
RobertWalraven-ESG,8.3
Karlen-pypm,8.6
USC-SI_kJalpha,11.7
JHU_IDD-CovidSP,11.8
JHU_UNC_GAS-StatMechPool,12.6
JHUAPL-Bucky,12.8
COVIDhub-ensemble,13.3
UVA-Ensemble,14.3
Microsoft-DeepSTIA,15.1
BPagano-RtDriven,15.5
MOBS-GLEAM_COVID,15.6
Google_Harvard-CPF,16.0
CU-select,17.0
UCLA-SuEIR,17.0
MIT_ISOLAT-Mixtures,17.1
CovidAnalytics-DELPHI,18.2
TTU-squider,18.8
OneQuietNight-ML,19.1
COVIDhub-trained_ensemble,19.3
DDS-NBDS,19.5
OliverWyman-Navigator,20.6
SigSci-TS,20.8
Covid19Sim-Simulator,21.2
IowaStateLW-STEM,21.4
CEID-Walk,21.4
JHU_CSSE-DECOM,21.6
COVIDhub-baseline,22.2
UMich-RidgeTfReg,25.0
