,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,65305,107655.0,91817.0,,115280.2,79117.0,,118622.0,92240.8,83070.8,187820.3,62714.0,,,94797.9,88490.0,42350.0,26512.0,,49975.2,13812.0,,53317.0,26935.8,17765.8,122515.3,-2591.0,,,29492.9,23185.0,True,,False,True,,False,True,True,False,True,,,True,True
Alaska,5740,8475.0,3451.0,,8357.2,35381.0,,,10624.9,6058.7,5213.6,7277.0,,,6681.3,6207.0,2735.0,-2289.0,,2617.2,29641.0,,,4884.9,318.7,-526.4,1537.0,,,941.3,467.0,True,,True,False,,,False,True,True,True,,,True,True
Arizona,139262,297780.0,462116.0,,312561.2,207404.0,,273251.0,260303.7,207295.2,330659.8,251458.5,,,211733.4,252911.0,158518.0,322854.0,,173299.2,68142.0,,133989.0,121041.7,68033.2,191397.8,112196.5,,,72471.4,113649.0,False,,False,True,,True,True,True,False,True,,,True,True
Arkansas,45052,92160.0,67724.0,,93372.5,54866.0,,103821.0,57764.7,56860.2,80696.8,74881.5,,,66345.5,67987.0,47108.0,22672.0,,48320.5,9814.0,,58769.0,12712.7,11808.2,35644.8,29829.5,,,21293.5,22935.0,True,,False,True,,False,True,True,True,True,,,True,True
California,544189,1423005.0,1988793.0,,1340189.9,445660.0,,1361133.0,904701.2,956969.8,1170658.4,1203068.5,,,1233476.2,1103953.0,878816.0,1444604.0,,796000.9,-98529.0,,816944.0,360512.2,412780.8,626469.4,658879.5,,,689287.2,559764.0,False,,True,True,,True,True,True,True,True,,,True,True
Colorado,46329,72680.0,59310.0,,75080.8,11828.0,,71067.0,53400.0,69257.9,44489.0,60710.5,,,47419.3,55800.0,26351.0,12981.0,,28751.8,-34501.0,,24738.0,7071.0,22928.9,-1840.0,14381.5,,,1090.3,9471.0,True,,False,False,,True,True,True,True,True,,,True,True
Connecticut,49679,87140.0,119314.0,,91927.7,181280.0,,90268.0,83257.0,71699.4,67820.4,82463.0,,,47425.0,45249.0,37461.0,69635.0,,42248.7,131601.0,,40589.0,33578.0,22020.4,18141.4,32784.0,,,-2254.0,-4430.0,False,,False,False,,False,True,True,True,True,,,True,True
Delaware,15159,24485.0,18248.0,,25035.6,8982.0,,25483.0,19190.9,16959.7,23240.2,24826.5,,,17011.8,18575.0,9326.0,3089.0,,9876.6,-6177.0,,10324.0,4031.9,1800.7,8081.2,9667.5,,,1852.8,3416.0,True,,False,True,,False,True,True,True,False,,,True,True
District of Columbia,6016,10400.0,10340.0,,10205.6,28212.0,,10073.0,29427.4,11133.2,11056.7,11625.0,,,10933.5,8392.0,4384.0,4324.0,,4189.6,22196.0,,4057.0,23411.4,5117.2,5040.7,5609.0,,,4917.5,2376.0,True,,True,False,,True,False,False,False,False,,,False,True
Florida,303521,477445.0,436649.0,,518022.8,3040677.0,,470527.0,496780.0,432662.9,660628.8,474159.0,,,366227.0,388460.0,173924.0,133128.0,,214501.8,2737156.0,,167006.0,193259.0,129141.9,357107.8,170638.0,,,62706.0,84939.0,True,,False,False,,True,False,True,False,True,,,True,True
Georgia,174084,304055.0,244988.0,,342759.8,345742.0,,324536.0,219844.1,208885.5,392175.7,313515.5,,,287392.6,263448.0,129971.0,70904.0,,168675.8,171658.0,,150452.0,45760.1,34801.5,218091.7,139431.5,,,113308.6,89364.0,True,,False,False,,False,True,True,False,False,,,True,True
Hawaii,2823,5330.0,2928.0,,6373.5,15436.0,,,9881.1,13351.6,6432.1,5400.5,,,4325.4,4931.0,2507.0,105.0,,3550.5,12613.0,,,7058.1,10528.6,3609.1,2577.5,,,1502.4,2108.0,True,,False,False,,,False,False,False,False,,,True,True
Idaho,13874,30205.0,30194.0,,27910.5,9702.0,,31455.0,16018.0,23478.7,19541.3,23949.0,,,19367.9,20913.0,16331.0,16320.0,,14036.5,-4172.0,,17581.0,2144.0,9604.7,5667.3,10075.0,,,5493.9,7039.0,True,,True,True,,False,True,True,True,True,,,True,True
Illinois,108069,203140.0,208672.0,,185838.8,19101.0,,200462.0,166775.1,154912.2,122389.4,180527.5,,,130366.9,144349.0,95071.0,100603.0,,77769.8,-88968.0,,92393.0,58706.1,46843.2,14320.4,72458.5,,,22297.9,36280.0,False,,True,True,,True,True,True,True,True,,,True,True
Indiana,67611,142445.0,108423.0,,139381.1,63771.0,,151182.0,96030.3,100630.7,114523.4,112817.0,,,76088.9,106115.0,74834.0,40812.0,,71770.1,-3840.0,,83571.0,28419.3,33019.7,46912.4,45206.0,,,8477.9,38504.0,True,,True,True,,False,True,True,True,True,,,True,True
Iowa,27434,42885.0,29917.0,,44722.7,366189.0,,46877.0,22514.8,37685.1,37449.0,28083.0,,,30518.8,29454.0,15451.0,2483.0,,17288.7,338755.0,,19443.0,-4919.2,10251.1,10015.0,649.0,,,3084.8,2020.0,True,,False,False,,False,True,True,True,True,,,True,True
Kansas,34861,68855.0,53534.0,,67403.7,77502.0,,75269.0,44359.9,47841.6,47903.6,14177.0,,,68469.9,45444.0,33994.0,18673.0,,32542.7,42641.0,,40408.0,9498.9,12980.6,13042.6,-20684.0,,,33608.9,10583.0,True,,True,False,,False,True,True,True,True,,,True,True
Kentucky,71694,119635.0,97412.0,,136328.4,52313.0,,124238.0,233025.8,82950.8,97297.5,80243.5,,,67516.0,100252.0,47941.0,25718.0,,64634.4,-19381.0,,52544.0,161331.8,11256.8,25603.5,8549.5,,,-4178.0,28558.0,True,,False,True,,False,False,True,True,True,,,True,True
Louisiana,57434,117110.0,119310.0,,121577.8,62723.0,,121752.0,106518.7,84599.9,121473.8,92470.5,,,79833.5,84256.0,59676.0,61876.0,,64143.8,5289.0,,64318.0,49084.7,27165.9,64039.8,35036.5,,,22399.5,26822.0,False,,False,True,,False,True,True,False,True,,,True,True
Maine,10148,21000.0,25403.0,,20588.4,10424.0,,19591.0,12251.9,23678.1,35320.6,22165.5,,,17866.7,20768.0,10852.0,15255.0,,10440.4,276.0,,9443.0,2103.9,13530.1,25172.6,12017.5,,,7718.7,10620.0,False,,True,True,,True,True,False,False,False,,,True,True
Maryland,51706,103335.0,77452.0,,104106.5,902802.0,,108304.0,82313.3,91311.6,98897.0,106843.5,,,83988.2,84743.0,51629.0,25746.0,,52400.5,851096.0,,56598.0,30607.3,39605.6,47191.0,55137.5,,,32282.2,33037.0,True,,False,False,,False,True,True,True,False,,,True,True
Massachusetts,102038,192955.0,179058.0,,196934.6,106428.0,,218486.0,208201.7,120892.3,209653.6,177587.0,,,95668.0,163948.0,90917.0,77020.0,,94896.6,4390.0,,116448.0,106163.7,18854.3,107615.6,75549.0,,,-6370.0,61910.0,True,,False,True,,False,False,True,False,True,,,True,True
Michigan,54484,96160.0,101425.0,,83382.3,14675.0,,113297.0,102807.0,124570.4,51239.7,60744.5,,,103268.7,72684.0,41676.0,46941.0,,28898.3,-39809.0,,58813.0,48323.0,70086.4,-3244.3,6260.5,,,48784.7,18200.0,False,,True,True,,False,False,False,True,True,,,False,True
Minnesota,33110,53170.0,34174.0,,54909.5,6800.0,,73468.0,43945.0,51804.4,33178.4,29032.0,,,28856.9,39312.0,20060.0,1064.0,,21799.5,-26310.0,,40358.0,10835.0,18694.4,68.4,-4078.0,,,-4253.1,6202.0,True,,False,False,,False,True,True,True,True,,,True,True
Mississippi,39373,70005.0,62135.0,,74907.9,51094.0,,88203.0,55965.2,51000.6,96013.1,59197.0,,,54840.9,53908.0,30632.0,22762.0,,35534.9,11721.0,,48830.0,16592.2,11627.6,56640.1,19824.0,,,15467.9,14535.0,True,,False,True,,False,True,True,False,True,,,True,True
Missouri,56834,79990.0,44424.0,,87376.5,34781.0,,94792.0,68546.9,66048.9,59814.8,60764.0,,,55316.3,63241.0,23156.0,-12410.0,,30542.5,-22053.0,,37958.0,11712.9,9214.9,2980.8,3930.0,,,-1517.7,6407.0,True,,False,True,,False,True,True,True,True,,,True,True
Montana,9585,14770.0,15863.0,,14878.5,2835.0,,19449.0,34066.0,9754.0,9275.4,13256.0,,,7015.2,10753.0,5185.0,6278.0,,5293.5,-6750.0,,9864.0,24481.0,169.0,-309.6,3671.0,,,-2569.8,1168.0,False,,False,False,,False,False,True,True,True,,,True,True
Nebraska,17841,26450.0,13873.0,,31273.3,2177.0,,31786.0,22279.1,28617.6,14443.5,32820.0,,,23618.2,20108.0,8609.0,-3968.0,,13432.3,-15664.0,,13945.0,4438.1,10776.6,-3397.5,14979.0,,,5777.2,2267.0,True,,False,False,,False,True,False,True,False,,,True,True
Nevada,30581,68905.0,135246.0,,70665.6,27306.0,,76810.0,73052.7,48304.4,53201.2,57963.0,,,55115.5,51508.0,38324.0,104665.0,,40084.6,-3275.0,,46229.0,42471.7,17723.4,22620.2,27382.0,,,24534.5,20927.0,False,,False,True,,False,False,True,True,True,,,True,True
