,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1824,1883.0,,,,1525.0,587.8,,,746.2,,,59.0,,,,-299.0,-1236.2,,,-1077.8,,,,,,False,False,,,False,,
01003,5437,8729.0,,,,5123.0,6133.1,,,4909.3,7166.0,,3292.0,,,,-314.0,696.1,,,-527.7,1729.0,,,,,True,True,,,True,True,
01005,541,910.0,,,,618.0,2035.0,,,,,,369.0,,,,77.0,1494.0,,,,,,,,,True,False,,,,,
01007,552,868.0,,,,621.0,359.3,,,,,,316.0,,,,69.0,-192.7,,,,,,,,,True,True,,,,,
01009,1313,1981.0,,,,1772.0,497.6,,,1282.3,,,668.0,,,,459.0,-815.4,,,-30.7,,,,,,True,False,,,True,,
01011,267,469.0,,,,173.0,1825.4,,,,,,202.0,,,,-94.0,1558.4,,,,,,,,,True,False,,,,,
01013,408,588.0,,,,460.0,455.1,,,,,,180.0,,,,52.0,47.1,,,,,,,,,True,True,,,,,
01015,3223,3458.0,,,,3755.0,761.3,,,1427.3,,,235.0,,,,532.0,-2461.7,,,-1795.7,,,,,,False,False,,,False,,
01017,978,1281.0,,,,874.0,1818.9,,,784.0,,,303.0,,,,-104.0,840.9,,,-194.0,,,,,,True,False,,,True,,
01019,319,469.0,,,,724.0,163.1,,,,,,150.0,,,,405.0,-155.9,,,,,,,,,False,False,,,,,
01021,758,1449.0,,,,1208.0,1252.0,,,726.7,,,691.0,,,,450.0,494.0,,,-31.3,,,,,,True,True,,,True,,
01023,55,42.0,,,,396.0,7.4,,,,,,-13.0,,,,341.0,-47.6,,,,,,,,,False,False,,,,,
01025,980,1085.0,,,,632.0,586.9,,,550.3,,,105.0,,,,-348.0,-393.1,,,-429.7,,,,,,False,False,,,False,,
01027,260,385.0,,,,359.0,147.4,,,,,,125.0,,,,99.0,-112.6,,,,,,,,,True,True,,,,,
01029,308,371.0,,,,465.0,105.0,,,,,,63.0,,,,157.0,-203.0,,,,,,,,,False,False,,,,,
01031,1521,1988.0,,,,1367.0,1003.5,,,1348.8,,,467.0,,,,-154.0,-517.5,,,-172.2,,,,,,True,False,,,True,,
01033,1236,2303.0,,,,1901.0,1096.7,,,951.4,,,1067.0,,,,665.0,-139.3,,,-284.6,,,,,,True,True,,,True,,
01035,199,273.0,,,,265.0,106.8,0.0,,,,,74.0,,,,66.0,-92.2,-199.0,,,,,,,,True,False,False,,,,
01037,335,322.0,,,,203.0,534.8,3.1,,,,,-13.0,,,,-132.0,199.8,-331.9,,,,,,,,False,False,False,,,,
01039,948,1092.0,,,,1026.0,458.7,127.5,,1129.5,,,144.0,,,,78.0,-489.3,-820.5,,181.5,,,,,,True,False,False,,False,,
01041,458,448.0,,,,308.0,219.4,30.1,,,,,-10.0,,,,-150.0,-238.6,-427.9,,,,,,,,False,False,False,,,,
01043,1581,3619.0,,,,3022.0,1158.3,378.6,,2684.9,,,2038.0,,,,1441.0,-422.7,-1202.4,,1103.9,,,,,,True,True,True,,True,,
01045,1183,1694.0,,,,1349.0,811.8,210.7,,840.6,,,511.0,,,,166.0,-371.2,-972.3,,-342.4,,,,,,True,True,False,,True,,
01047,507,994.0,,,,823.0,698.4,62.0,,470.6,,,487.0,,,,316.0,191.4,-445.0,,-36.4,,,,,,True,True,True,,True,,
01049,1395,2058.0,,,,2752.0,356.4,0.0,,991.1,,,663.0,,,,1357.0,-1038.6,-1395.0,,-403.9,,,,,,False,False,False,,True,,
01051,2603,4788.0,,,,2060.0,2850.2,252.7,,3224.0,,,2185.0,,,,-543.0,247.2,-2350.3,,621.0,,,,,,True,True,False,,True,,
01053,1027,1358.0,,,,1043.0,976.1,66.4,,595.7,,,331.0,,,,16.0,-50.9,-960.6,,-431.3,,,,,,True,True,False,,False,,
01055,2777,4522.0,,,,3542.0,1017.7,0.0,,3178.9,,,1745.0,,,,765.0,-1759.3,-2777.0,,401.9,,,,,,True,False,False,,True,,
01057,526,525.0,,,,566.0,130.8,0.0,,,,,-1.0,,,,40.0,-395.2,-526.0,,,,,,,,False,False,False,,,,
01059,637,1274.0,,,,1419.0,730.4,49.9,,616.6,,,637.0,,,,782.0,93.4,-587.1,,-20.4,,,,,,False,True,True,,True,,
01061,651,945.0,,,,788.0,851.4,72.8,,,,,294.0,,,,137.0,200.4,-578.2,,,,,,,,True,True,False,,,,
01063,183,399.0,,,,172.0,318.9,9.7,,,,,216.0,,,,-11.0,135.9,-173.3,,,,,,,,True,True,True,,,,
01065,570,833.0,,,,408.0,213.3,45.1,,,,,263.0,,,,-162.0,-356.7,-524.9,,,,,,,,True,False,False,,,,
01067,517,868.0,,,,406.0,563.9,59.2,,,,,351.0,,,,-111.0,46.9,-457.8,,,,,,,,True,True,False,,,,
01069,2537,4081.0,,,,2588.0,3234.3,375.9,,2121.6,,,1544.0,,,,51.0,697.3,-2161.1,,-415.4,,,,,,True,True,False,,True,,
01071,1216,2331.0,,,,1799.0,1062.1,0.0,,1091.0,,,1115.0,,,,583.0,-153.9,-1216.0,,-125.0,,,,,,True,True,False,,True,,
01073,16457,30401.0,,,,21676.0,15070.6,4810.7,,9158.2,14327.0,,13944.0,,,,5219.0,-1386.4,-11646.3,,-7298.8,-2130.0,,,,,True,True,True,,True,True,
01075,226,420.0,,,,431.0,99.8,0.0,,,,,194.0,,,,205.0,-126.2,-226.0,,,,,,,,False,True,False,,,,
01077,1902,4018.0,,,,3208.0,1987.1,525.8,,2767.5,,,2116.0,,,,1306.0,85.1,-1376.2,,865.5,,,,,,True,True,True,,True,,
01079,692,1246.0,,,,1223.0,453.4,38.4,,,,,554.0,,,,531.0,-238.6,-653.6,,,,,,,,True,True,False,,,,
01081,4271,4956.0,,,,3859.0,3613.9,0.5,,3766.7,3850.0,,685.0,,,,-412.0,-657.1,-4270.5,,-504.3,-421.0,,,,,True,True,False,,True,True,
01083,2261,3591.0,,,,2798.0,1086.7,0.0,,3659.2,,,1330.0,,,,537.0,-1174.3,-2261.0,,1398.2,,,,,,True,True,False,,False,,
01085,343,273.0,,,,139.0,144.3,0.0,,,,,-70.0,,,,-204.0,-198.7,-343.0,,,,,,,,False,False,False,,,,
01087,381,357.0,,,,278.0,214.4,20.1,,,,,-24.0,,,,-103.0,-166.6,-360.9,,,,,,,,False,False,False,,,,
01089,8754,14539.0,,,,10220.0,5757.1,1767.8,,7255.7,0.0,,5785.0,,,,1466.0,-2996.9,-6986.2,,-1498.3,-8754.0,,,,,True,True,False,,True,False,
01091,482,567.0,,,,515.0,142.9,0.0,,,,,85.0,,,,33.0,-339.1,-482.0,,,,,,,,True,False,False,,,,
01093,596,1008.0,,,,1008.0,333.4,0.0,,,,,412.0,,,,412.0,-262.6,-596.0,,,,,,,,False,True,False,,,,
01095,1872,3234.0,,,,3401.0,872.7,0.0,,1632.7,,,1362.0,,,,1529.0,-999.3,-1872.0,,-239.3,,,,,,False,True,False,,True,,
01097,8858,12341.0,,,,10065.0,25118.3,0.3,,9783.6,0.0,,3483.0,,,,1207.0,16260.3,-8857.7,,925.6,-8858.0,,,,,True,False,False,,True,False,
01099,422,889.0,,,,518.0,722.0,46.2,,,,,467.0,,,,96.0,300.0,-375.8,,,,,,,,True,True,True,,,,
01101,5901,6265.0,,,,5026.0,3349.4,684.5,,4561.8,4060.0,,364.0,,,,-875.0,-2551.6,-5216.5,,-1339.2,-1841.0,,,,,False,False,False,,False,False,
01103,2556,5516.0,,,,4268.0,1732.0,705.8,,2199.3,,,2960.0,,,,1712.0,-824.0,-1850.2,,-356.7,,,,,,True,True,True,,True,,
01105,205,413.0,,,,178.0,242.1,0.0,,,,,208.0,,,,-27.0,37.1,-205.0,,,,,,,,True,True,True,,,,
01107,456,749.0,,,,583.0,233.3,0.0,,,,,293.0,,,,127.0,-222.7,-456.0,,,,,,,,True,True,False,,,,
01109,871,980.0,,,,765.0,1549.8,81.9,,,,,109.0,,,,-106.0,678.8,-789.1,,,,,,,,True,False,False,,,,
01111,335,413.0,,,,615.0,301.9,30.0,,,,,78.0,,,,280.0,-33.1,-305.0,,,,,,,,False,True,False,,,,
01113,1142,1120.0,,,,1372.0,2129.9,0.0,,1094.3,,,-22.0,,,,230.0,987.9,-1142.0,,-47.7,,,,,,False,False,False,,False,,
01115,1996,3612.0,,,,2258.0,1378.2,294.8,,1542.3,,,1616.0,,,,262.0,-617.8,-1701.2,,-453.7,,,,,,True,True,False,,True,,
01117,5531,8078.0,,,,6200.0,4014.2,928.5,,5424.0,4996.0,,2547.0,,,,669.0,-1516.8,-4602.5,,-107.0,-535.0,,,,,True,True,False,,True,True,
01119,118,329.0,,,,240.0,65.0,0.0,,,,,211.0,,,,122.0,-53.0,-118.0,,,,,,,,True,True,True,,,,
01121,2137,2359.0,,,,2336.0,1409.2,164.9,,877.0,,,222.0,,,,199.0,-727.8,-1972.1,,-1260.0,,,,,,True,False,False,,False,,
01123,1169,714.0,,,,963.0,436.4,0.0,,204.9,,,-455.0,,,,-206.0,-732.6,-1169.0,,-964.1,,,,,,True,False,False,,False,,
01125,4790,8841.0,,,,6215.0,3705.4,1515.4,,7256.2,0.0,,4051.0,,,,1425.0,-1084.6,-3274.6,,2466.2,-4790.0,,,,,True,True,True,,True,False,
01127,1086,2345.0,,,,2356.0,1030.0,128.5,,695.6,,,1259.0,,,,1270.0,-56.0,-957.5,,-390.4,,,,,,False,True,True,,True,,
01129,337,434.0,,,,570.0,156.3,0.0,,,,,97.0,,,,233.0,-180.7,-337.0,,,,,,,,False,False,False,,,,
