,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,86836,178152.0,277824.0,,170336.4,96599.0,,184769.0,111716.5,97660.9,170967.5,,179117.6,110173.0,91316.0,190988.0,,83500.4,9763.0,,97933.0,24880.5,10824.9,84131.5,,92281.6,23337.0,False,,True,True,,False,True,True,True,,False,True
Alaska,7435,12942.0,7678.0,,12425.6,44093.0,,,25836.4,7381.2,11287.0,,15803.8,6932.0,5507.0,243.0,,4990.6,36658.0,,,18401.4,-53.8,3852.0,,8368.8,-503.0,True,,True,False,,,False,True,True,,False,True
Arizona,198818,409170.0,671566.0,,387683.9,219427.0,,348774.0,591844.4,231821.1,427999.5,,315146.9,243450.0,210352.0,472748.0,,188865.9,20609.0,,149956.0,393026.4,33003.1,229181.5,,116328.9,44632.0,False,,True,True,,True,False,True,False,,True,True
Arkansas,63484,121824.0,142606.0,,120729.8,69591.0,,148599.0,156947.8,58351.7,122277.5,,104144.4,74638.0,58340.0,79122.0,,57245.8,6107.0,,85115.0,93463.8,-5132.3,58793.5,,40660.4,11154.0,False,,True,True,,False,False,True,False,,True,True
California,822855,1720230.0,3213743.0,,1784767.0,670108.0,,1425693.0,1062032.3,1031266.1,1730210.5,,1548721.0,1198910.0,897375.0,2390888.0,,961912.0,-152747.0,,602838.0,239177.3,208411.1,907355.5,,725866.0,376055.0,False,,False,True,,True,True,True,False,,True,True
Colorado,60865,118650.0,286942.0,,96680.6,16242.0,,97390.0,66192.1,49012.2,123927.5,,144508.7,66626.0,57785.0,226077.0,,35815.6,-44623.0,,36525.0,5327.1,-11852.8,63062.5,,83643.7,5761.0,False,,True,True,,True,True,True,False,,False,True
Connecticut,67107,95244.0,168741.0,,88696.7,35545.0,,91770.0,160411.1,92298.4,68597.0,,91365.6,60328.0,28137.0,101634.0,,21589.7,-31562.0,,24663.0,93304.1,25191.4,1490.0,,24258.6,-6779.0,False,,True,False,,True,False,True,True,,True,True
Delaware,20056,33612.0,52380.0,,31467.0,12048.0,,28153.0,23125.6,21239.0,36687.5,,19895.5,19498.0,13556.0,32324.0,,11411.0,-8008.0,,8097.0,3069.6,1183.0,16631.5,,-160.5,-558.0,False,,True,True,,True,True,True,False,,True,True
District of Columbia,8096,11688.0,14038.0,,12012.4,6296.0,,10499.0,14284.4,15515.2,13676.5,,9864.0,7340.0,3592.0,5942.0,,3916.4,-1800.0,,2403.0,6188.4,7419.2,5580.5,,1768.0,-756.0,False,,False,True,,True,False,False,False,,True,True
Florida,399010,659184.0,1041173.0,,741903.1,3337706.0,,565976.0,902934.0,505256.2,692291.5,,507589.1,383721.0,260174.0,642163.0,,342893.1,2938696.0,,166966.0,503924.0,106246.2,293281.5,,108579.1,-15289.0,False,,False,False,,True,False,True,False,,True,True
