,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Algeria,1424,1428.3,1429.9,1445.1,4.3,5.9,21.1,False,False
Argentina,6848,6643.3,6621.8,6431.0,-204.7,-226.2,-417.0,False,False
Australia,502,513.6,512.9,491.9,11.6,10.9,-10.1,True,True
Austria,732,734.0,733.5,724.8,2.0,1.5,-7.2,True,False
Bangladesh,3907,3878.1,3861.6,4064.0,-28.9,-45.4,157.0,False,False
Belarus,637,629.7,629.8,655.8,-7.3,-7.2,18.8,True,False
Belgium,9988,9996.4,9993.4,9986.4,8.4,5.4,-1.6,True,True
Bolivia,4442,4416.3,4409.8,4809.1,-25.7,-32.2,367.1,False,False
Brazil,114250,113683.1,113615.8,123392.6,-566.9,-634.2,9142.6,False,False
Bulgaria,539,541.7,536.9,549.3,2.7,-2.1,10.3,True,False
Canada,9117,9113.4,9107.1,9027.7,-3.6,-9.9,-89.3,False,False
Chile,10792,10773.4,10767.9,11315.8,-18.6,-24.1,523.8,False,False
Colombia,16968,17029.9,16996.3,18135.5,61.9,28.3,1167.5,True,False
Croatia,170,173.7,173.9,184.5,3.7,3.9,14.5,False,False
Cuba,89,88.0,90.0,87.2,-1.0,1.0,-1.8,True,False
Cyprus,20,20.9,20.7,19.3,0.9,0.7,-0.7,True,True
Czechia,411,403.0,403.9,419.8,-8.0,-7.1,8.8,True,False
Denmark,622,624.4,625.2,621.3,2.4,3.2,-0.7,False,True
Dominican Republic,1554,1576.4,1570.8,1583.0,22.4,16.8,29.0,True,False
Ecuador,6277,6196.9,6215.8,17872.3,-80.1,-61.2,11595.3,True,False
Egypt,5243,5289.4,5279.1,5385.9,46.4,36.1,142.9,True,False
Estonia,63,63.0,63.5,62.8,0.0,0.5,-0.2,False,False
Finland,334,334.7,334.8,327.2,0.7,0.8,-6.8,False,False
France,30517,30481.1,30487.8,30954.7,-35.9,-29.2,437.7,True,False
Germany,9272,9263.3,9277.3,9217.5,-8.7,5.3,-54.5,True,False
Greece,240,241.7,241.4,218.4,1.7,1.4,-21.6,True,False
Honduras,1643,1643.6,1673.0,2255.2,0.6,30.0,612.2,False,False
Hungary,611,613.1,612.6,594.1,2.1,1.6,-16.9,True,False
Iceland,10,10.0,10.1,10.5,0.0,0.1,0.5,False,False
Indonesia,6594,6516.0,6542.2,6616.0,-78.0,-51.8,22.0,True,True
Iran,20502,20677.9,20636.9,21805.1,175.9,134.9,1303.1,True,False
Ireland,1777,1775.7,1778.8,1807.4,-1.3,1.8,30.4,False,False
Israel,819,757.9,751.9,765.5,-61.1,-67.1,-53.5,False,True
Italy,35430,35559.7,35451.3,35403.1,129.7,21.3,-26.9,True,True
Japan,1179,1151.0,1146.0,1032.4,-28.0,-33.0,-146.6,False,False
Kuwait,513,520.7,521.1,555.8,7.7,8.1,42.8,False,False
Latvia,33,32.0,32.3,32.1,-1.0,-0.7,-0.9,True,True
Lithuania,84,81.0,81.7,78.8,-3.0,-2.3,-5.2,True,False
Luxembourg,124,125.6,125.7,122.3,1.6,1.7,-1.7,False,False
Malaysia,125,125.0,126.1,125.7,0.0,1.1,0.7,False,False
Malta,10,9.0,9.1,9.3,-1.0,-0.9,-0.7,True,True
Mexico,60254,60579.0,60517.6,60257.5,325.0,263.6,3.5,True,True
Moldova,935,939.7,939.7,967.0,4.7,4.7,32.0,False,False
Morocco,858,795.1,810.4,891.4,-62.9,-47.6,33.4,True,True
Netherlands,6225,6207.7,6212.1,6197.0,-17.3,-12.9,-28.0,True,False
Nigeria,997,1000.7,1004.8,992.8,3.7,7.8,-4.2,False,False
Norway,264,265.3,264.5,255.1,1.3,0.5,-8.9,True,False
Pakistan,6231,6254.7,6288.9,6349.2,23.7,57.9,118.2,False,False
Panama,1878,1876.7,1882.8,1987.8,-1.3,4.8,109.8,False,False
Peru,27245,30363.3,27522.8,35951.9,3118.3,277.8,8706.9,True,False
Philippines,2966,3003.6,3011.3,2737.3,37.6,45.3,-228.7,False,False
Poland,1951,1937.0,1943.2,1948.8,-14.0,-7.8,-2.2,True,True
Portugal,1794,1796.9,1798.3,1785.9,2.9,4.3,-8.1,False,False
Romania,3233,3240.4,3256.3,3110.0,7.4,23.3,-123.0,False,False
Russia,16268,16295.9,16304.6,16384.1,27.9,36.6,116.1,False,False
Saudi Arabia,3619,3614.6,3601.8,3402.4,-4.4,-17.2,-216.6,False,False
Serbia,695,702.3,705.2,715.0,7.3,10.2,20.0,False,False
Slovakia,33,31.0,31.5,28.9,-2.0,-1.5,-4.1,True,False
Slovenia,131,130.7,130.8,128.8,-0.3,-0.2,-2.2,True,False
South Africa,12987,13065.6,13067.9,13523.6,78.6,80.9,536.6,False,False
South Korea,309,305.0,307.3,306.1,-4.0,-1.7,-2.9,True,True
Spain,28838,28714.7,28716.1,28758.5,-123.3,-121.9,-79.5,True,True
Sweden,5816,5800.1,5806.2,5894.5,-15.9,-9.8,78.5,True,False
Switzerland,2000,1995.3,1997.7,1989.3,-4.7,-2.3,-10.7,True,False
Turkey,6102,6085.4,6091.2,6049.2,-16.6,-10.8,-52.8,True,False
Ukraine,2286,2250.0,2262.0,2154.1,-36.0,-24.0,-131.9,True,False
United Arab Emirates,372,370.0,370.5,365.9,-2.0,-1.5,-6.1,True,False
United Kingdom,41509,46904.1,46933.3,47614.0,5395.1,5424.3,6105.0,False,False
