,mean_rank
UMass-MechBayes,5.7
LANL-GrowthRate,6.0
UCLA-SuEIR,6.1
COVIDhub-ensemble,6.2
YYG-ParamSearch,7.3
IowaStateLW-STEM,7.8
MIT_CovidAnalytics-DELPHI,7.9
IHME-CurveFit,8.1
USACE-ERDC_SEIR,8.2
MOBS_NEU-GLEAM_COVID,8.5
UT-Mobility,8.5
CU-select,8.6
PSI-DRAFT,9.4
Auquan-SEIR,10.8
UA-EpiCovDA,11.9
JHU_IDD-CovidSP,15.2
