,count,mean,median,std,min,25%,75%,max
Baseline_0.98,51.0,6249.9,158.7,21085.8,0.0,12.3,1624.0,109687.2
Baseline,51.0,7394.9,130.6,26439.0,0.0,23.6,1264.5,169626.3
YYG-ParamSearch,51.0,7591.9,277.4,32193.8,0.0,23.3,1631.2,226518.3
COVIDhub-ensemble,51.0,10032.4,163.4,38904.3,0.8,20.0,1204.0,231434.9
LANL-GrowthRate,51.0,15088.3,152.2,65945.7,0.0,29.3,5067.0,458466.8
MOBS_NEU-GLEAM_COVID,51.0,19748.7,811.1,71574.6,1.0,37.7,11083.8,495895.6
UMass-MechBayes,51.0,36529.4,961.0,173054.2,0.0,65.0,5812.0,1210000.0
IHME-CurveFit,51.0,37895.1,468.2,142248.9,0.1,55.9,6925.2,856404.0
CU-select,51.0,38858.7,1225.0,174425.1,0.0,53.0,3788.5,1113025.0
Auquan-SEIR,51.0,82538.7,1089.0,518104.9,4.0,156.5,7937.0,3705625.0
MIT_CovidAnalytics-DELPHI,51.0,209521.4,1024.0,1343419.7,0.0,56.5,9061.0,9603801.0
UCLA-SuEIR,51.0,439660.6,693.2,3027503.1,0.1,75.9,10936.4,21633614.0
IowaStateLW-STEM,51.0,491477.2,900.0,3419692.4,0.0,56.5,14162.0,24433249.0
UT-Mobility,51.0,829957.7,161.7,5869006.9,0.0,13.9,5414.1,41921000.1
GT-DeepCOVID,51.0,1444145.8,3853.3,9536871.5,0.0,272.3,47087.4,68180582.3
