,total_deaths_2020-04-27,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
Baseline_0.98,56502,78282.9,79122,22620,-839.1,-3.7%
CU-select,56502,78094.0,79122,22620,-1028.0,-4.5%
YYG-ParamSearch,56502,77336.1,79122,22620,-1785.9,-7.9%
Baseline,56502,81188.0,79122,22620,2066.0,9.1%
COVIDhub-ensemble,56502,73704.4,79122,22620,-5417.6,-24.0%
LANL-GrowthRate,56502,84836.5,79122,22620,5714.5,25.3%
MOBS_NEU-GLEAM_COVID,56502,70155.5,79122,22620,-8966.5,-39.6%
IHME-CurveFit,56502,67730.6,79122,22620,-11391.4,-50.4%
UT-Mobility,56502,65902.6,79122,22620,-13219.4,-58.4%
JHU_IDD-CovidSP,56502,95218.0,79122,22620,16096.0,71.2%
IowaStateLW-STEM,56502,,79122,22620,,
MIT_CovidAnalytics-DELPHI,56502,,79122,22620,,
NotreDame-FRED,56502,,79122,22620,,
UMass-MechBayes,56502,,79122,22620,,
