,mean_rank
YYG-ParamSearch,3.4
LANL-GrowthRate,4.1
IHME-CurveFit,4.4
UCLA-SuEIR,4.6
MIT_CovidAnalytics-DELPHI,5.0
CU-select,5.0
IowaStateLW-STEM,5.5
UT-Mobility,5.9
Auquan-SEIR,7.0
