,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,51.9,16.0,87.7,1.5,7.3,43.6,388.8
UMass-MechBayes,51.0,66.4,32.0,80.9,0.0,8.0,109.5,382.0
LANL-GrowthRate,51.0,70.0,29.1,108.9,0.1,9.4,58.5,486.5
Baseline_0.98,51.0,73.7,19.0,147.1,0.0,3.9,51.0,799.1
COVIDhub-ensemble,51.0,74.0,22.3,132.8,1.0,8.7,86.0,779.8
CU-select,51.0,85.0,38.5,104.5,1.0,11.5,119.0,499.0
UT-Mobility,51.0,91.3,28.6,177.9,0.4,12.3,91.5,1130.4
IHME-CurveFit,51.0,102.8,27.0,223.4,0.5,7.6,65.8,1013.3
Baseline,51.0,103.8,24.1,223.8,0.0,7.3,69.9,1199.9
UCLA-SuEIR,51.0,115.0,38.9,344.5,1.6,7.7,88.2,2394.0
MIT_CovidAnalytics-DELPHI,51.0,154.5,68.0,234.1,0.0,12.0,157.0,1105.0
MOBS_NEU-GLEAM_COVID,51.0,170.0,25.8,430.5,0.7,7.4,123.0,2753.2
CovidActNow-SEIR_CAN,51.0,284.9,93.6,473.4,9.7,64.9,269.2,2524.5
