,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,1868.0,108.4,4239.5,0.0,4.1,900.8,22702.7
Baseline_0.98,51.0,2918.7,134.2,7803.2,0.0,10.9,886.8,44747.9
UMass-MechBayes,51.0,3399.2,256.0,7873.4,0.0,9.0,1522.0,33124.0
Baseline,51.0,4537.8,102.9,13326.2,0.0,4.3,1171.3,65975.6
LANL-GrowthRate,51.0,6331.6,159.6,16004.7,0.0,18.1,1500.8,67957.9
COVIDhub-ensemble,51.0,7429.3,221.3,28663.9,0.0,24.0,1685.2,182329.0
UT-Mobility,51.0,10731.3,246.9,43482.6,0.5,20.4,1858.4,297726.1
CU-select,51.0,11154.3,900.0,30078.8,0.0,42.5,4226.0,178084.0
MIT_CovidAnalytics-DELPHI,51.0,23647.7,2116.0,60130.4,0.0,65.0,10202.0,334084.0
UCLA-SuEIR,51.0,27937.6,539.0,155015.3,0.2,27.5,4587.8,1104536.9
IHME-CurveFit,51.0,32596.8,262.0,119641.7,0.2,24.7,4577.2,634799.4
MOBS_NEU-GLEAM_COVID,51.0,41942.3,282.6,232499.0,0.4,32.5,4161.1,1650878.3
CovidActNow-SEIR_CAN,51.0,349184.6,4648.0,1620058.7,15.2,633.4,43109.8,11348476.8
