,mean_rank
UMass-MechBayes,6.7
YYG-ParamSearch,6.8
COVIDhub-ensemble,7.0
MIT_CovidAnalytics-DELPHI,7.1
UCLA-SuEIR,7.2
UT-Mobility,7.3
MOBS_NEU-GLEAM_COVID,7.4
LANL-GrowthRate,7.4
PSI-DRAFT,9.8
SWC-TerminusCM,9.9
IHME-CurveFit,10.3
CU-select,10.4
CovidActNow-SEIR_CAN,11.7
UA-EpiCovDA,12.0
USACE-ERDC_SEIR,12.1
IowaStateLW-STEM,12.3
COVID19SimCons-COVID19Sim,12.8
JHU_IDD-CovidSP,13.4
Auquan-SEIR,18.5
