,count,mean,median,std,min,25%,75%,max
Baseline_0.98,51.0,22.2,9.8,25.5,0.0,4.1,35.0,93.7
Baseline,51.0,22.8,11.7,25.7,0.0,5.1,38.4,104.1
YYG-ParamSearch,51.0,22.8,7.2,37.4,0.3,3.7,26.8,232.9
COVIDhub-ensemble,51.0,23.8,9.7,38.5,0.2,3.5,25.7,230.4
LANL-GrowthRate,51.0,25.5,7.6,36.6,0.2,2.3,32.3,141.5
UCLA-SuEIR,51.0,26.4,10.5,40.9,0.3,2.7,30.0,213.8
UT-Mobility,51.0,27.8,9.8,46.9,0.1,2.9,31.8,269.3
MOBS_NEU-GLEAM_COVID,51.0,28.4,9.2,45.9,0.1,3.6,36.5,271.7
UMass-MechBayes,51.0,29.6,13.0,51.4,0.0,4.0,32.5,248.0
MIT_CovidAnalytics-DELPHI,51.0,35.5,12.0,62.4,0.0,3.0,42.5,301.0
CovidActNow-SEIR_CAN,51.0,48.2,20.4,70.7,0.7,8.4,54.1,412.8
IHME-CurveFit,51.0,52.8,18.7,72.3,0.4,4.9,81.2,356.7
CU-select,51.0,57.7,20.0,88.8,0.0,6.0,72.5,452.0
SWC-TerminusCM,51.0,60.4,18.0,140.8,0.0,4.5,52.0,937.0
JHU_IDD-CovidSP,51.0,65.6,32.2,118.7,1.3,11.4,81.1,789.2
PSI-DRAFT,51.0,70.3,15.5,167.7,0.0,5.0,45.8,1031.5
UA-EpiCovDA,51.0,88.2,27.0,170.6,0.0,5.5,92.0,910.0
Covid19Sim-Simulator,51.0,89.8,47.5,116.1,0.3,8.5,120.6,392.6
IowaStateLW-STEM,51.0,91.1,31.0,141.7,0.0,5.0,94.5,776.0
USACE-ERDC_SEIR,51.0,135.3,27.1,305.8,0.3,7.0,117.9,1707.3
Auquan-SEIR,51.0,275.1,99.0,530.8,4.0,45.0,306.5,3478.0
